,ID,SYMBOL,ICUvsNON_LFC,ICUvsNON_FDR
3,ENSG00000115604,IL18R1,4.06119516,0.00020696
45,ENSG00000239998,LILRA2,5.7020778,0.000255518
84,ENSG00000028137,TNFRSF1B,5.265164948,0.000329229
93,ENSG00000108688,CCL7,5.450761911,0.000347676
116,ENSG00000100368,CSF2RB,5.525224606,0.000363173
134,ENSG00000120949,TNFRSF8,5.580772684,0.000388993
157,ENSG00000147168,IL2RG,3.506420761,0.00041101
168,ENSG00000115607,IL18RAP,4.780932397,0.000421862
169,ENSG00000123610,TNFAIP6,5.763492904,0.000421862
178,ENSG00000204577,LILRB3,5.424793245,0.000421862
203,ENSG00000169429,CXCL8,5.259400299,0.000458106
205,ENSG00000081041,CXCL2,3.461132853,0.000458301
208,ENSG00000187116,LILRA5,5.362521114,0.0004629
253,ENSG00000271605,MILR1,2.891541009,0.000595378
301,ENSG00000115590,IL1R2,5.145946238,0.000662998
310,ENSG00000136689,IL1RN,4.893863972,0.000691124
313,ENSG00000125735,TNFSF14,3.774810249,0.000703046
346,ENSG00000244482,LILRA6,6.657098606,0.000860895
385,ENSG00000165030,NFIL3,2.616688855,0.001029867
400,ENSG00000177663,IL17RA,2.420886475,0.001108925
416,ENSG00000115602,IL1RL1,5.790628587,0.001161239
429,ENSG00000173530,TNFRSF10D,3.076685084,0.001219469
444,ENSG00000119535,CSF3R,6.40972559,0.001260168
497,ENSG00000125538,IL1B,5.791347637,0.001574745
536,ENSG00000173535,TNFRSF10C,5.174048508,0.001806064
542,ENSG00000132205,EMILIN2,2.52496163,0.001841526
565,ENSG00000131042,LILRB2,4.381184378,0.002020454
570,ENSG00000159128,IFNGR2,1.896085863,0.00204119
574,ENSG00000110324,IL10RA,2.918678696,0.002074057
597,ENSG00000077238,IL4R,2.676632999,0.002234394
606,ENSG00000104974,LILRA1,3.951352427,0.002289324
644,ENSG00000115598,IL1RL2,3.069913297,0.002524875
656,ENSG00000123496,IL13RA2,5.41792329,0.002600003
687,ENSG00000196083,IL1RAP,2.710779205,0.002723866
717,ENSG00000163154,TNFAIP8L2,2.018957011,0.002900417
738,ENSG00000115009,CCL20,4.243482842,0.003021276
761,ENSG00000163734,CXCL3,3.428001838,0.003192431
807,ENSG00000136634,IL10,4.650070444,0.003514737
853,ENSG00000085514,PILRA,3.263665283,0.003848406
951,ENSG00000106952,TNFSF8,3.761639537,0.004617707
956,ENSG00000160712,IL6R,2.075965856,0.004650553
957,ENSG00000027697,IFNGR1,1.64082379,0.004678944
1003,ENSG00000091181,IL5RA,-2.119692694,0.00509306
1036,ENSG00000104689,TNFRSF10A,1.828074291,0.005420177
1100,ENSG00000120889,TNFRSF10B,1.211598675,0.005748556
1197,ENSG00000163735,CXCL5,7.557769921,0.006491157
1204,ENSG00000115008,IL1A,4.432732085,0.006521291
1271,ENSG00000150977,RILPL2,1.923030645,0.007315352
1315,ENSG00000108691,CCL2,4.902602764,0.007619596
1415,ENSG00000181634,TNFSF15,2.899466003,0.008428815
1419,ENSG00000185291,IL3RA,2.445167892,0.008460069
1428,ENSG00000167107,ACSF2,-1.456875373,0.00860904
1429,ENSG00000167994,RAB3IL1,3.901404037,0.008609513
1434,ENSG00000102524,TNFSF13B,2.894495074,0.008656302
1494,ENSG00000198223,CSF2RA,2.28368671,0.009223873
1566,ENSG00000145824,CXCL14,3.461336186,0.009956399
1581,ENSG00000067182,TNFRSF1A,1.662212796,0.010005075
1587,ENSG00000161921,CXCL16,2.234434699,0.010042289
1626,ENSG00000163739,CXCL1,2.006510205,0.010399354
1645,ENSG00000186827,TNFRSF4,2.743947836,0.010778649
1660,ENSG00000125657,TNFSF9,3.553060071,0.010988664
1695,ENSG00000232810,TNF,3.383618714,0.011179724
1725,ENSG00000136603,SKIL,1.274800951,0.011389807
1733,ENSG00000115594,IL1R1,2.002523359,0.011422017
1878,ENSG00000185250,PPIL6,-1.811667197,0.012807159
1939,ENSG00000136688,IL36G,3.0586532,0.013479068
2004,ENSG00000183578,TNFAIP8L3,-1.362306529,0.014217899
2010,ENSG00000186891,TNFRSF18,1.466760326,0.014292936
2014,ENSG00000184371,CSF1,2.612352702,0.014351319
2067,ENSG00000127863,TNFRSF19,-1.87900123,0.015096507
2079,ENSG00000267100,ILF3-AS1,-1.232423755,0.015135261
2093,ENSG00000124875,CXCL6,2.175954834,0.015205888
2208,ENSG00000197272,IL27,3.28252993,0.016902518
2237,ENSG00000118503,TNFAIP3,2.336310097,0.017237742
2345,ENSG00000104972,LILRB1,2.539541658,0.018740906
2446,ENSG00000197321,SVIL,1.181039367,0.019713988
2465,ENSG00000277632,CCL3,3.733157516,0.020031357
2521,ENSG00000275302,CCL4,2.897684933,0.020821058
2525,ENSG00000275385,CCL18,2.204273403,0.02084114
2606,ENSG00000164509,IL31RA,2.521173371,0.021636427
2661,ENSG00000105609,LILRB5,3.106860052,0.022543409
2833,ENSG00000186818,LILRB4,2.490301229,0.024506557
2932,ENSG00000108342,CSF3,3.10463489,0.0263155
2936,ENSG00000081985,IL12RB2,1.617039439,0.02643602
2967,ENSG00000142166,IFNAR1,0.9022942,0.026764278
