"","ICU_06","ICU_25","ICU_26","ICU_27","NON_07","NON_19","NON_20","NON_22","NON_23","NON_26","NON_28","ENSGID","SYMBOL"
"ENSG00000000003",15937,7496,5819,10069,13345,10431,15810,22919,22571,11980,13303,"ENSG00000000003","TSPAN6"
"ENSG00000000419",3901,2122,1316,2816,2791,1607,2332,5326,2827,2174,3000,"ENSG00000000419","DPM1"
"ENSG00000000457",1116,560,647,812,771,732,891,1558,1009,525,599,"ENSG00000000457","SCYL3"
"ENSG00000000460",282,158,127,225,136,70,65,208,133,53,153,"ENSG00000000460","C1orf112"
"ENSG00000000938",6825,7174,28846,23849,1939,1843,189,84,207,185,115,"ENSG00000000938","FGR"
"ENSG00000000971",14532,5829,3089,7254,11202,5991,3856,11396,10962,5018,12492,"ENSG00000000971","CFH"
"ENSG00000001036",4441,2158,1317,1764,2362,3296,2712,5704,4543,2467,1530,"ENSG00000001036","FUCA2"
"ENSG00000001084",14920,8723,2378,8795,9523,3761,12324,31532,14125,5255,8279,"ENSG00000001084","GCLC"
"ENSG00000001167",1972,1018,1297,1594,924,986,769,1239,1122,634,685,"ENSG00000001167","NFYA"
"ENSG00000001460",846,538,273,823,1357,1493,1347,1714,1550,2841,875,"ENSG00000001460","STPG1"
"ENSG00000001461",1714,1198,1362,1399,2019,2096,1263,2717,2081,1244,1206,"ENSG00000001461","NIPAL3"
"ENSG00000001497",1604,688,515,1136,1450,2293,1169,2524,2307,2099,1578,"ENSG00000001497","LAS1L"
"ENSG00000001561",5623,3245,1149,4321,3326,2014,5588,13162,5996,2762,3958,"ENSG00000001561","ENPP4"
"ENSG00000001617",3524,2608,2098,2636,3464,2817,1070,3061,2376,1285,1563,"ENSG00000001617","SEMA3F"
"ENSG00000001626",1951,323,148,700,1831,345,1071,2493,753,339,2588,"ENSG00000001626","CFTR"
"ENSG00000001629",4009,1552,605,2088,2360,838,1706,4666,2246,1085,3032,"ENSG00000001629","ANKIB1"
"ENSG00000001630",19,11,0,61,0,0,5,10,5,5,10,"ENSG00000001630","CYP51A1"
"ENSG00000001631",894,384,170,470,640,339,698,1403,846,559,733,"ENSG00000001631","KRIT1"
"ENSG00000002016",284,173,65,160,412,262,113,475,402,242,350,"ENSG00000002016","RAD52"
"ENSG00000002079",13,14,4,27,8,18,2,12,24,2,9,"ENSG00000002079","MYH16"
"ENSG00000002330",768,439,411,909,986,1398,670,1146,1310,2914,1825,"ENSG00000002330","BAD"
"ENSG00000002549",5838,2783,1747,4507,5008,4593,4286,17588,10071,3906,11823,"ENSG00000002549","LAP3"
"ENSG00000002586",3285,2583,2903,4569,2896,3755,2536,3819,4758,6150,3778,"ENSG00000002586","CD99"
"ENSG00000002587",4928,4594,2047,3515,3494,2318,1625,3374,2417,2988,1386,"ENSG00000002587","HS3ST1"
"ENSG00000002726",2,6,39,185,2,9,38,4,22,30,1,"ENSG00000002726","AOC1"
"ENSG00000002745",31,110,56,13,8,5,8,13,31,12,2,"ENSG00000002745","WNT16"
"ENSG00000002834",3890,3639,9367,7809,2576,4184,1689,2256,2432,3852,1888,"ENSG00000002834","LASP1"
"ENSG00000002919",1199,955,984,1331,911,1043,715,1385,1219,1344,912,"ENSG00000002919","SNX11"
"ENSG00000002933",80,40,53,337,74,69,181,80,165,81,91,"ENSG00000002933","TMEM176A"
"ENSG00000003056",1362,594,1332,1786,905,987,397,952,566,362,1056,"ENSG00000003056","M6PR"
"ENSG00000003096",365,78,0,279,435,47,400,642,571,422,847,"ENSG00000003096","KLHL13"
"ENSG00000003137",42,31,34,108,11,1,2,0,14,0,9,"ENSG00000003137","CYP26B1"
"ENSG00000003147",1918,762,478,1092,1319,1918,862,2054,967,1931,973,"ENSG00000003147","ICA1"
"ENSG00000003249",137,113,23,114,102,268,102,137,253,507,66,"ENSG00000003249","DBNDD1"
"ENSG00000003393",1991,1175,445,1379,1906,989,1896,3542,2492,1448,1460,"ENSG00000003393","ALS2"
"ENSG00000003400",1148,721,537,1251,1037,945,729,1361,1393,1226,1155,"ENSG00000003400","CASP10"
"ENSG00000003402",13367,9105,14724,22323,6700,8024,7463,10863,7556,6441,6071,"ENSG00000003402","CFLAR"
"ENSG00000003436",326,649,1614,742,293,415,249,570,212,267,104,"ENSG00000003436","TFPI"
"ENSG00000003509",992,504,367,621,624,440,603,1025,729,504,481,"ENSG00000003509","NDUFAF7"
"ENSG00000003756",6665,3592,2688,4731,6214,7789,4430,11234,8411,4551,4241,"ENSG00000003756","RBM5"
"ENSG00000003987",289,103,63,150,154,101,232,469,251,130,213,"ENSG00000003987","MTMR7"
"ENSG00000003989",2027,974,105,2280,1716,956,3215,6493,7827,4147,6659,"ENSG00000003989","SLC7A2"
"ENSG00000004059",3417,1882,2321,3677,2796,3873,2106,3469,2884,5306,3126,"ENSG00000004059","ARF5"
"ENSG00000004139",114,45,35,42,68,136,64,149,100,143,69,"ENSG00000004139","SARM1"
"ENSG00000004142",1935,1729,2260,2215,1804,3014,1234,2337,1863,4632,1793,"ENSG00000004142","POLDIP2"
"ENSG00000004399",170,215,412,640,115,157,98,156,96,114,63,"ENSG00000004399","PLXND1"
"ENSG00000004455",6471,3312,2677,4552,5082,5375,3190,7867,5835,5710,5448,"ENSG00000004455","AK2"
"ENSG00000004468",1237,475,102,966,1678,938,1480,3396,4139,1877,3952,"ENSG00000004468","CD38"
"ENSG00000004478",2114,2257,1059,1964,2148,1800,662,1377,1479,3479,1282,"ENSG00000004478","FKBP4"
"ENSG00000004487",2725,1691,893,2217,3342,4388,2293,3779,3304,6497,2343,"ENSG00000004487","KDM1A"
"ENSG00000004534",8114,4216,1980,5678,7245,7986,5321,11439,9684,4897,3497,"ENSG00000004534","RBM6"
"ENSG00000004660",553,573,1068,874,296,384,154,455,236,250,221,"ENSG00000004660","CAMKK1"
"ENSG00000004700",382,149,313,430,215,114,211,327,173,68,286,"ENSG00000004700","RECQL"
"ENSG00000004766",2633,1210,438,1185,1649,514,1268,2815,1787,733,1610,"ENSG00000004766","VPS50"
"ENSG00000004777",132,48,12,197,319,813,261,797,432,437,228,"ENSG00000004777","ARHGAP33"
"ENSG00000004779",5610,3842,1482,4027,5352,4264,6056,9759,7338,10598,4351,"ENSG00000004779","NDUFAB1"
"ENSG00000004799",1514,1084,1273,939,1665,698,2832,8402,1083,1088,2346,"ENSG00000004799","PDK4"
"ENSG00000004809",1811,111,48,15,7,205,39,66,154,56,3,"ENSG00000004809","SLC22A16"
"ENSG00000004838",4831,1786,707,6200,11960,32243,11763,17116,16894,35010,9930,"ENSG00000004838","ZMYND10"
"ENSG00000004848",84,43,0,90,170,33,414,936,322,298,325,"ENSG00000004848","ARX"
"ENSG00000004864",2004,1381,3144,2075,1067,1058,902,2304,1363,1146,1968,"ENSG00000004864","SLC25A13"
"ENSG00000004866",670,440,221,473,808,852,528,1021,737,1209,506,"ENSG00000004866","ST7"
"ENSG00000004897",3567,2336,1153,2315,2423,1173,2101,5167,2475,1672,2055,"ENSG00000004897","CDC27"
"ENSG00000004961",1861,1409,888,1186,1490,1181,1089,2164,1606,1646,962,"ENSG00000004961","HCCS"
"ENSG00000004975",1175,758,820,1070,1366,1220,910,1489,1193,1179,901,"ENSG00000004975","DVL2"
"ENSG00000005001",3548,5648,14180,10691,3191,3644,966,1620,1646,1845,1231,"ENSG00000005001","PRSS22"
"ENSG00000005007",3781,2338,3072,5353,3362,6059,2593,4093,2944,8477,3400,"ENSG00000005007","UPF1"
"ENSG00000005020",1857,1332,1726,4306,264,405,154,219,411,166,187,"ENSG00000005020","SKAP2"
"ENSG00000005022",13740,9419,7461,8659,9647,10957,7956,18220,12047,14178,7992,"ENSG00000005022","SLC25A5"
"ENSG00000005059",1639,1467,767,1219,1090,930,467,1650,1442,853,875,"ENSG00000005059","MCUB"
"ENSG00000005075",1833,1017,1189,1690,1531,3092,1194,1694,2234,4623,1896,"ENSG00000005075","POLR2J"
"ENSG00000005100",1458,907,341,896,899,402,673,1625,1052,717,871,"ENSG00000005100","DHX33"
"ENSG00000005102",125,103,42,73,70,38,8,60,35,12,33,"ENSG00000005102","MEOX1"
"ENSG00000005108",219,39,71,160,127,50,207,236,29,0,29,"ENSG00000005108","THSD7A"
"ENSG00000005156",888,514,298,722,1072,634,827,1134,1099,1466,1048,"ENSG00000005156","LIG3"
"ENSG00000005175",2568,1337,572,1756,1927,993,1962,4243,2210,1538,1969,"ENSG00000005175","RPAP3"
"ENSG00000005187",185,37,7,53,198,68,31,142,142,47,241,"ENSG00000005187","ACSM3"
"ENSG00000005189",579,178,76,276,504,1265,593,1349,934,863,422,"ENSG00000005189","AC004381.6"
"ENSG00000005194",1647,923,754,807,842,1420,739,2034,1127,1677,860,"ENSG00000005194","CIAPIN1"
"ENSG00000005206",1260,706,563,2506,2150,4044,1894,3926,2776,3459,2157,"ENSG00000005206","SPPL2B"
"ENSG00000005238",1614,2329,4335,3170,755,1433,654,1449,1296,1168,621,"ENSG00000005238","FAM214B"
"ENSG00000005243",289,143,186,177,265,481,172,246,182,706,206,"ENSG00000005243","COPZ2"
"ENSG00000005249",6068,1129,860,1720,1743,2295,3120,5421,1511,1019,862,"ENSG00000005249","PRKAR2B"
"ENSG00000005302",4431,2092,2092,4910,2631,3991,3474,7004,3621,2709,2462,"ENSG00000005302","MSL3"
"ENSG00000005339",4312,2684,3315,4972,1931,1826,2217,4017,2659,1871,2200,"ENSG00000005339","CREBBP"
"ENSG00000005379",1318,623,517,1715,1781,2500,1264,2551,2252,2523,2369,"ENSG00000005379","TSPOAP1"
"ENSG00000005381",18,38,94,26,2,9,8,21,0,6,0,"ENSG00000005381","MPO"
"ENSG00000005421",17,7,0,12,13,6,2,64,20,0,33,"ENSG00000005421","PON1"
"ENSG00000005436",1072,526,233,563,888,486,774,2008,1415,790,1227,"ENSG00000005436","GCFC2"
"ENSG00000005448",1601,585,253,2263,4124,13678,4324,6769,6519,15189,4136,"ENSG00000005448","WDR54"
"ENSG00000005469",3308,1832,853,1381,1724,563,1211,2762,1543,834,1389,"ENSG00000005469","CROT"
"ENSG00000005471",51,19,23,11,24,14,8,47,13,15,28,"ENSG00000005471","ABCB4"
"ENSG00000005483",4604,2821,3802,4706,1968,1406,2176,4345,2711,1306,2485,"ENSG00000005483","KMT2E"
"ENSG00000005486",3334,1778,3444,5249,2540,8666,3959,8947,6415,7785,5342,"ENSG00000005486","RHBDD2"
"ENSG00000005700",7357,4153,1914,5166,3931,3504,5857,12893,6032,5270,3752,"ENSG00000005700","IBTK"
"ENSG00000005801",2779,1670,770,1487,1607,637,1146,3186,1696,943,1526,"ENSG00000005801","ZNF195"
"ENSG00000005810",3746,1155,1032,1664,1930,1005,1488,3516,2042,912,2815,"ENSG00000005810","MYCBP2"
"ENSG00000005812",4585,2070,1211,2827,2302,1230,2284,5380,2724,1510,2935,"ENSG00000005812","FBXL3"
"ENSG00000005844",547,327,997,1579,137,401,150,139,358,277,148,"ENSG00000005844","ITGAL"
"ENSG00000005882",182,56,132,172,224,183,136,183,102,339,345,"ENSG00000005882","PDK2"
"ENSG00000005884",3442,3147,1145,4627,4133,2602,1147,3518,3458,2771,3179,"ENSG00000005884","ITGA3"
"ENSG00000005889",2204,1552,1002,1674,1494,974,638,2279,1056,683,942,"ENSG00000005889","ZFX"
"ENSG00000005893",14007,7545,9535,14858,5732,3782,5473,12355,6008,3413,7528,"ENSG00000005893","LAMP2"
"ENSG00000005981",14,17,0,20,45,22,52,226,92,108,99,"ENSG00000005981","ASB4"
"ENSG00000006007",3137,2095,3689,2698,2623,3044,2514,3926,2565,3319,2016,"ENSG00000006007","GDE1"
"ENSG00000006015",934,463,214,967,1000,1099,607,1429,1449,2257,1766,"ENSG00000006015","C19orf60"
"ENSG00000006016",213,326,49,422,362,142,336,609,394,620,242,"ENSG00000006016","CRLF1"
"ENSG00000006025",374,265,300,556,186,755,384,1275,463,587,284,"ENSG00000006025","OSBPL7"
"ENSG00000006042",1380,479,275,1320,1222,2841,958,2084,2507,2448,1764,"ENSG00000006042","TMEM98"
"ENSG00000006047",33,87,33,130,59,123,38,107,31,260,25,"ENSG00000006047","YBX2"
"ENSG00000006062",258,137,231,369,284,353,162,374,447,187,378,"ENSG00000006062","MAP3K14"
"ENSG00000006118",599,638,532,987,731,447,79,371,213,110,289,"ENSG00000006118","TMEM132A"
"ENSG00000006125",6524,2397,1749,6183,6631,11075,4888,10010,9375,8873,7093,"ENSG00000006125","AP2B1"
"ENSG00000006194",2261,1462,1200,1749,1892,1327,1546,2805,2647,1648,1813,"ENSG00000006194","ZNF263"
"ENSG00000006210",2744,568,272,1706,2975,2114,1024,2946,3872,1139,5382,"ENSG00000006210","CX3CL1"
"ENSG00000006282",1279,415,298,1519,1245,2749,998,2692,1413,2293,1494,"ENSG00000006282","SPATA20"
"ENSG00000006327",1303,5351,1655,2085,997,306,546,893,944,2846,846,"ENSG00000006327","TNFRSF12A"
"ENSG00000006432",638,1191,1413,1036,542,628,319,531,401,1001,236,"ENSG00000006432","MAP3K9"
"ENSG00000006451",5242,4728,6474,4004,2876,2701,1936,3843,3154,3260,2072,"ENSG00000006451","RALA"
"ENSG00000006453",4888,4208,1642,4243,5768,5110,4761,7932,7170,9894,3506,"ENSG00000006453","BAIAP2L1"
"ENSG00000006459",3229,1735,2143,3135,1593,2183,1188,3193,2131,1485,1851,"ENSG00000006459","KDM7A"
"ENSG00000006468",302,91,39,156,215,132,49,273,145,66,248,"ENSG00000006468","ETV1"
"ENSG00000006530",1321,577,413,856,1060,908,794,2076,1359,1056,1455,"ENSG00000006530","AGK"
"ENSG00000006534",3889,2045,1926,6651,6784,17436,11627,12663,12316,24410,7486,"ENSG00000006534","ALDH3B1"
"ENSG00000006555",901,1131,1183,1030,706,826,434,994,959,1083,569,"ENSG00000006555","TTC22"
