"","ICU_01","ICU_02","ICU_03","ICU_04","NON_01","NON_02","NON_03","NON_04","NON_05","NON_06","NON_07"
"ENSG00000000938",7.81780187834416,7.25018259688724,10.4067161777057,9.3548667207747,5.34787037675191,5.71213712152169,1.89757424365447,1.89920648850837,2.99832479997201,3.19695778095604,0.558461543646683
"ENSG00000001167",5.33345662342099,5.07071661664643,6.08040403235115,5.24888662966001,4.63181309633774,4.5269698673256,4.48977993348116,4.27626349153929,4.70191391995064,3.69513380760756,4.40820280599148
"ENSG00000001460",4.24583449597876,3.70534165145526,3.50725925821131,4.52856120299693,5.31203494378719,4.86138527570935,4.88929655550424,4.82849218474977,5.26012847254511,6.62975568302877,4.66807439443827
"ENSG00000001497",4.98335019817972,4.50252464471383,4.57644558657445,4.77327888553399,5.17595504245471,5.87437838353989,5.27835043322108,5.30382256736029,5.68405883724894,5.75179105301435,5.43556708204579
"ENSG00000002834",6.3657966035597,6.58500172704093,9.02736205539345,7.73270808214989,6.20970301419471,6.4839831528644,5.46354365329705,5.31861292266761,5.91042716881017,6.82020689763047,5.36796836686913
"ENSG00000003137",-1.05622254241355,0.717195547040177,0.0917728214147707,1.29022352065059,-1.67425084629505,-2.73088696578762,-2.54035013290914,-4.31048791661948,-1.44218005030672,-4.31048791661948,-1.97946575232624
"ENSG00000003402",8.04898699578881,8.04089075687677,9.81872907549289,9.40415189447921,7.54400640216043,7.34990657600177,7.39308120152696,7.56782762374813,7.46580465361862,7.30804070466886,7.25785194380282
"ENSG00000004399",1.88362388339512,2.45278430323624,4.55790934897121,4.16911588306978,1.77227044102961,1.70395426512265,1.31060587207202,1.52778467376901,1.29582885728023,1.77825070494614,0.455339143315467
"ENSG00000004468",4.61415464880088,4.05303891228521,1.58241752023241,4.53478630026909,5.26249687668389,5.07271787867236,5.72861931371781,5.67185375602924,6.56803943634826,5.38590931549251,6.61300572624458
"ENSG00000004660",3.32060564601347,4.24713338602806,5.74706485124914,4.37915860935544,2.92533664989155,3.33255411936828,2.36555860682506,2.85412772844599,2.34676641744536,2.66151878561005,2.61366618185163
"ENSG00000004777",1.44952752227083,0.770004350091299,-1.49418093259351,2.48912944617835,2.92033452594987,4.04562142145698,3.15706193948062,3.73728964335089,3.19341439675824,3.4048826704537,2.90536517801033
"ENSG00000004838",7.11325676346256,5.27406919201316,4.56720723755537,7.93717150186809,8.35606482523344,8.34513279380585,8.02912689756954,8.11138371905684,8.75580872710696,10.4257213984019,7.96457777768389
"ENSG00000005001",5.9587896397829,7.37182038791422,9.63059505281017,8.10358337223337,6.51773494774919,6.30991290748296,4.85941548189235,4.67143687336379,5.22380452331419,5.62970836325115,4.94640480812121
