"","Inflammatory.Macrophages","HOPX.high.Squamous.Cells","Basal.Cells","AZGP1.SCGB3A1.LTF.high.Goblet.Cells","Interferon.Responsive.Secretory.Cells","ITGAX.high.Macrophages","Interferon.Responsive.Cytotoxic.CD8.T.Cells","VEGFA.high.Squamous.Cells","Interferon.Responsive.Ciliated.Cells"
"ENSG00000000938",0.0306104628392702,0.229872665269097,0.00305162918448574,0.00209803967860424,0.128275872801152,0.00280492693639393,0.0528041488419849,0.00199763274839023,0.0555756042887747
"ENSG00000001167",0.0146058389051509,0.044164728660072,0.000389820163737495,0.0731216379601429,0.0241781558220749,0.00183852044183916,0.206950859253418,7.74159252418635e-05,0.023313039833186
"ENSG00000001460",0.00209803967860424,0.00108563172448841,0.0277802600707999,0.435116132967087,0.000178133811313009,0.0180178258697112,0.307102493519774,0.0221388695011191,0.00728204100842913
"ENSG00000001497",0.010182311222731,0.0678256527168171,0.000537974564228265,0.134366008418765,0.0102012842907634,0.00100857626228455,0.396630800290556,0.00095786244181811,0.000159971428068714
"ENSG00000002834",0.125367943517716,0.830184743518939,0.0419721079880243,0.00209803967860424,0.563744232908762,0.0269088063303954,0.011623377090113,0.0461806329345658,0.258925873684222
"ENSG00000003137",0.00200881222877352,0.0944708564265983,6.94047125329232e-05,0.0770390387336457,0.0341993885811598,0.00474267866123176,0.0979083947126237,0.000363138842792576,0.0330647072517203
"ENSG00000003402",0.0306104628392702,0.0365548213907565,0.00158674281744199,0.11260935978213,0.00557458130156403,0.00340966558411784,0.307102493519774,0.000957862441818113,0.00133318507995086
"ENSG00000004399",0.0341402461651596,0.350377178579973,0.00534044344098429,0.00128744133511349,0.149848557480442,0.00253440781524402,0.0402350225156885,0.00534044344098429,0.018565033381595
"ENSG00000004468",0.0420356161494015,0.206950859253418,0.00371142682047811,0.00573957460290556,0.0913410454299228,0.00100857626228455,0.129372166165112,0.00371142682047811,0.0319627993280175
"ENSG00000004660",0.0323416186575761,0.229872665269097,0.0173639320276314,0.0215652251276571,0.108793948575401,0.00410606882255765,0.206950859253418,0.0196480288158037,0.0555756042887747
"ENSG00000004777",0.00209803967860424,0.0575290792418909,0.00124265822419896,0.0861917047002035,0.0216365784766987,0.00534071585154928,0.165360193655726,0.000725215027603398,0.00208314484047869
"ENSG00000004838",0.00209803967860424,0.00877258597905236,0.0248463444406556,0.44414499800451,0.00142729618722247,0.00410606882255764,0.396630800290556,0.0196480288158036,0.00104518214585868
"ENSG00000005001",0.0614511208623161,0.533389658788903,0.0024831964701773,0.00128744133511349,0.339135921562962,0.00490241681405788,0.105957274652948,0.00371142682047812,0.169732604926812
"ENSG00000005020",0.00524786917226635,0.113428868455796,0.000537974564228267,0.0464217128632456,0.0572537780469471,0.00374589683788555,0.0625339131400846,0.000957862441818113,0.0889534181359628
"ENSG00000005189",0.00128744133511349,0.044164728660072,0.00158674281744199,0.158615526447877,0.00884998687509756,0.00534071585154928,0.266911027331621,0.0024831964701773,0.00104518214585868
"ENSG00000005238",0.108550937751027,0.293358592377608,0.0309503133810332,0.0229198408015497,0.159074097046929,0.0349032305171176,0.0269293105867051,0.0380369246819265,0.234540067095194
"ENSG00000005339",0.0087207055264509,0.00550061559251261,0.0152766309171525,0.569000837088401,9.54741860454341e-05,0.00682909518216777,0.307102493519774,0.0152766309171525,0.00104518214585868
"ENSG00000005381",0.0420356161494016,0.121232469890214,0.0221388695011191,0.174385191716357,0.026924393992727,0.000212358893269119,0.229872665269097,0.0221388695011191,0.00447316225278306
"ENSG00000005448",0.00209803967860424,0.0170794344247979,0.00534044344098426,0.295821854256772,0.00329226424858234,0.00280492693639392,0.396630800290556,0.00371142682047811,0.000330168802183903
"ENSG00000005483",0.00234954644478052,0.0216070023461268,0.013376145945041,0.519409044953238,0.00160072184977773,0.00253440781524402,0.307102493519774,0.013376145945041,0.000233458170378731
"ENSG00000005844",0.129817352423419,0.412687797958505,0.0461806329345658,0.0258084727576041,0.31065235774542,0.0631563503643532,0.0150915982722563,0.0277802600707998,0.211545010342096
"ENSG00000005893",0.00234954644478052,0.011623377090113,0.0116524932267405,0.399890515137018,0.000574633796552929,0.00682909518216777,0.365470183682198,0.0116524932267405,0.000159971428068715
"ENSG00000005981",0.0229198408015497,0.185448415777841,0.000725215027603398,0.0101823112227311,0.112525831201227,0.000361563262512441,0.137851665119629,0.000187705582562522,0.0288645989570019
"ENSG00000006118",0.0273452362154598,0.196022378620094,0.00371142682047812,0.0441910845317322,0.105143271073346,0.00490241681405788,0.497492059936935,0.00371142682047812,0.0466957093540989
"ENSG00000006125",0.0190284748106836,0.0101252232677546,0.0024831964701773,0.27417930076692,0.000495418089753465,0.00630295984426984,0.412687797958505,0.0024831964701773,0.000105593376303609
"ENSG00000006432",0.288506282861372,0.830184743518939,0.0419721079880243,0.00478790373910416,0.545367425156372,0.0254810609537726,0.0854881741944781,0.0506712879011351,0.258925873684222
"ENSG00000006534",0.0587444742113934,0.0170794344247979,0.060532874674575,0.462462370038952,0.0181891720608455,0.0967231377207558,0.97864147885784,0.0419721079880243,0.0208428536109451
"ENSG00000006652",0.0289454490510632,0.0241644273369414,0.000389820163737495,0.100721624291111,0.00221629165469527,0.00797693928299653,0.266911027331621,0.000389820163737495,0.0008066741521649
"ENSG00000006756",0.00682348342697732,0.0988132310793053,0.0248463444406556,0.202726649779675,0.0192910855509082,0.00860089178085369,0.0528041488419849,0.0248463444406556,0.000806674152164899
"ENSG00000006757",0.00682348342697732,0.0150915982722563,0.000725215027603398,0.303238242930637,0.00221629165469525,0.00374589683788556,0.229872665269097,0.000725215027603398,0.00529948717864386
"ENSG00000007174",0.00209803967860424,0.00877258597905236,0.0248463444406556,0.44414499800451,0.00142729618722247,0.00410606882255764,0.396630800290556,0.0196480288158036,0.00104518214585868
"ENSG00000007237",0.0932706859526028,0.589150557249191,0.0309503133810332,0.000541622862682176,0.35387461374423,0.0315298820793932,0.0170794344247979,0.0248463444406555,0.0766523333397826
"ENSG00000007306",0.0273452362154598,0.196022378620094,0.000389820163737495,0.0487287262108179,0.105143271073346,0.00534071585154928,0.365470183682198,0.000389820163737495,0.0510032607069507
"ENSG00000007350",0.0341402461651596,0.241865561477893,0.0100957118828226,0.0202685664056992,0.120235349024061,9.21830333322157e-05,0.185448415777841,0.00534044344098429,0.0112049672535921
"ENSG00000007392",0.000541622862682176,0.146674286777004,0.00447135932966232,0.143763166452777,0.0548808352028958,0.00114573000603884,0.155842955629683,0.0086958917038573,0.0145520519537277
"ENSG00000007541",0.0794777983053789,0.0192482792791142,0.11282494882899,0.816700522795399,0.0125009051814068,0.0580478604273298,0.914691642648627,0.0839981514732227,0.00845472888506159
"ENSG00000007933",0.260260348119105,0.380889759521277,0.0419721079880243,0.0614511208623161,0.199439119366812,0.266135179286553,0.0483518642946537,0.0906863459869455,0.501535667604937
"ENSG00000007944",0.0229198408015498,0.0299103198933213,0.0116524932267405,0.27417930076692,0.00361294154277165,0.000884153869770606,0.429054848700468,0.0116524932267405,0.0037460829533974
"ENSG00000007968",0.0731216379601429,0.0988132310793055,0.00199763274839023,0.0700753047816204,0.0525759309230915,0.00682909518216777,0.462693557644972,0.00305162918448574,0.14199852020632
