"","Inflammatory.Macrophages","HOPX.high.Squamous.Cells","Basal.Cells","AZGP1.SCGB3A1.LTF.high.Goblet.Cells","Interferon.Responsive.Secretory.Cells","ITGAX.high.Macrophages","Interferon.Responsive.Cytotoxic.CD8.T.Cells","VEGFA.high.Squamous.Cells","Interferon.Responsive.Ciliated.Cells"
"ENSG00000000003",0.143763166452777,0.830184743518939,0.105094079748197,0.0614511208623161,0.563744232908762,0.0404239810592009,0.146674286777004,0.147374314493133,0.385456969691366
"ENSG00000000419",0.884925141850393,0.666684498280762,0.44473001942767,0.27417930076692,0.831337377899062,0.178595317583014,0.726871690939348,0.462351459849345,0.978836500144194
"ENSG00000000457",0.816700522795399,0.497492059936935,0.758923284143911,0.214787494969753,0.536271907492392,0.84910283390634,0.321189258134261,0.867315666270784,0.65003396549758
"ENSG00000000460",0.0229198408015498,0.0575290792418911,0.156937829024471,0.558936040879458,0.0503381673432462,0.439068351733445,0.479951494885688,0.187897572172078,0.125204407138495
"ENSG00000000938",0.0229198408015498,0.241865561477893,0.000187705582562521,0.010182311222731,0.116339458861796,0.00011539867905256,0.129372166165112,0.000187705582562521,0.0388452536203533
"ENSG00000000971",0.705689147131491,0.589150557249191,0.67484598838852,0.71659703936098,0.925839700068018,0.240787702357967,0.747264597168345,0.71653145576506,0.72928477951978
"ENSG00000001036",0.11676456370084,0.957295539966406,0.177197391345227,0.191080090137452,0.678723941700024,0.103871653632786,0.335615441939358,0.210445401571026,0.24655957577897
"ENSG00000001084",0.794188687190575,0.62749486595089,0.780352335624235,0.281291965102099,0.668862170826185,0.500190726020769,0.429054848700468,0.780352335624235,0.769874999892136
"ENSG00000001167",0.0441910845317323,0.0150915982722563,0.0419721079880243,0.366134446148299,0.0076340869801427,0.0742681702370748,0.32118925813426,0.0277802600707998,0.0352869812200622
"ENSG00000001460",0.00165587281703185,0.0625339131400846,0.00447135932966232,0.214787494969753,0.0192910855509082,0.000498034472264704,0.307102493519774,0.00447135932966232,0.00447316225278306
"ENSG00000001461",0.233655796536957,0.957295539966406,0.480286296340156,0.500103997909273,0.76936244408956,0.447576187102184,0.218234287814153,0.574356019094198,0.417141437142531
"ENSG00000001497",0.0511133313461826,0.570320126228912,0.0196480288158036,0.158615526447877,0.251530641821595,0.00114573000603884,0.396630800290556,0.0277802600707999,0.018565033381595
"ENSG00000001561",0.850697951756199,0.62749486595089,0.535885937797867,0.108550937751027,0.678723941700024,0.313953022596199,0.533389658788903,0.51706246955549,0.957685241021619
"ENSG00000001617",0.548943062292417,0.396630800290556,0.393822814691561,0.341814628423492,0.518271998214228,0.692458140321262,0.851192958941081,0.361584555686091,0.669578645642079
"ENSG00000001626",0.662569701911833,0.851192958941081,0.138184755351183,0.0896851201512627,0.62027999231038,0.123221149568655,0.155842955629683,0.166878085110799,0.669578645642079
"ENSG00000001629",0.93082837253222,0.646989097896852,0.574356019094198,0.341814628423491,0.820938834522775,0.246988525489563,0.445725659891341,0.593982459562779,0.936558448192612
"ENSG00000001630",0.0211198464713105,0.243508336326185,0.434832239706004,0.812890561265489,0.158753735162417,0.645280750819419,0.101125702392075,0.586082355006407,0.212342053546673
"ENSG00000001631",0.539023316116247,0.809275856813226,0.222294231865747,0.11676456370084,0.936414021329089,0.071376189333959,0.396630800290556,0.273512710489655,0.72928477951978
"ENSG00000002016",0.196851618793822,0.851192958941081,0.260136952941552,0.426175240083245,0.474434760752164,0.0140087904038705,0.185448415777841,0.273512710489655,0.117306803014238
"ENSG00000002079",0.252285582550494,0.305929511746767,0.329596062534188,0.754595321303981,0.337973679763746,0.769301508709235,0.37975356046809,0.479255502846027,0.789903906035231
"ENSG00000002330",0.11260935978213,0.0734110291707682,0.0100957118828225,0.453260774537193,0.0151537392053323,0.000579344452650418,0.872288363084034,0.00744320106343547,0.00104518214585868
"ENSG00000002549",0.462462370038952,0.935974749691415,0.138184755351183,0.0969492482807169,0.698582435349376,0.028392112890164,0.218234287814153,0.156937829024471,0.24655957577897
"ENSG00000002586",0.738554264845776,0.570320126228912,0.345993661494477,0.976921634673323,0.465874398552992,0.0802851646621229,0.206950859253418,0.315894065081302,0.179664876580011
"ENSG00000002587",0.158615526447877,0.412687797958505,0.0716218234693981,0.0420356161494015,0.331890064580611,0.335770366218522,0.175228114065639,0.105094079748197,0.271637540993822
"ENSG00000002726",0.776899332834003,0.685887295018903,0.544466175519092,0.694163808471222,0.851872132135575,0.177492815750278,0.272218004665011,0.61303528958683,0.491765414058626
"ENSG00000002745",0.135929156676618,0.0100575340498241,0.0048415035699989,0.157951362413103,0.00354973292621627,0.11233819028466,0.143535394195593,0.00402926185534377,0.0558381098269964
"ENSG00000002834",0.108550937751027,0.515307485611686,0.0716218234693981,0.00573957460290556,0.407993025415916,0.0486893716886169,0.0365548213907564,0.0554526120699673,0.284692740955887
"ENSG00000002919",0.93082837253222,0.747264597168345,0.780352335624235,0.71659703936098,0.759140583555186,0.405816442400482,0.175228114065639,0.758923284143911,0.769874999892137
"ENSG00000002933",0.901886273887411,0.217086059072085,0.252422212495141,0.21671955156184,0.323559058060574,0.433757639979621,0.756978073170622,0.197850651135346,0.688631137611947
"ENSG00000003056",0.0118142295481725,0.146674286777004,0.222294231865747,0.391311467247695,0.128275872801152,0.123221149568655,0.380889759521277,0.177197391345227,0.102491539790964
