Geneid	ICU_06	ICU_25	ICU_26	ICU_27	NON_07	NON_19	NON_20	NON_22	NON_23	NON_26	NON_28
ENSG00000000003	16250	7778	5441	9632	12967	11406	15664	22546	22927	10951	13999
ENSG00000000005	0	4	0	0	0	0	0	4	0	0	0
ENSG00000000419	3670	2418	1174	2586	2599	1916	2652	5025	2600	1941	3403
ENSG00000000457	1099	671	598	702	699	901	830	1553	945	348	859
ENSG00000000460	245	214	93	178	123	122	104	188	112	28	167
ENSG00000000938	11528	4966	26740	26241	1547	2090	121	226	350	340	56
ENSG00000000971	15153	6762	2123	6009	11378	7932	5771	10096	10461	3412	11657
ENSG00000001036	4007	2745	1073	1416	1991	4186	3439	5061	4047	2009	2177
ENSG00000001084	12505	11952	1030	5989	7249	9844	14615	30460	11588	2675	13697
ENSG00000001167	2058	1095	1332	1522	941	918	738	1187	1145	481	834
ENSG00000001460	967	424	223	923	1509	1158	974	1742	1687	3690	999
ENSG00000001461	1597	1369	1238	1357	1806	2460	1420	2493	1910	1282	1299
ENSG00000001497	1614	738	469	1094	1373	2339	1276	2423	2264	2007	1702
ENSG00000001561	4937	4160	888	3699	2764	2883	7007	11873	5182	2174	5247
ENSG00000001617	3608	2454	2107	2587	3764	2596	1106	3108	2416	1172	1574
ENSG00000001626	2318	318	116	709	2042	409	945	2719	690	250	2034
ENSG00000001629	3754	2053	382	1686	2062	1469	2232	4278	1858	709	3595
ENSG00000001630	15	15	0	47	0	0	6	8	4	4	14
ENSG00000001631	887	453	119	397	571	512	768	1355	772	442	851
ENSG00000002016	303	154	41	132	488	254	175	505	443	205	278
ENSG00000002079	10	25	4	17	6	36	2	9	14	2	14
ENSG00000002330	822	404	411	1010	966	1231	715	1023	1321	3475	1476
ENSG00000002549	5057	3477	1591	3965	4503	5591	5263	15102	8782	3647	15159
ENSG00000002586	3351	2161	3281	5276	2974	3007	2323	3630	5527	7524	3042
ENSG00000002587	4531	4217	1515	2781	4017	2292	1759	3324	2322	2976	1905
ENSG00000002726	2	4	44	210	2	7	30	4	24	34	1
ENSG00000002745	25	149	46	10	6	6	10	10	26	10	2
ENSG00000002746	0	11	2	0	2	12	2	0	4	2	1
ENSG00000002822	8	6	50	17	6	0	2	3	6	3	2
ENSG00000002834	4212	3131	10278	8523	2813	3570	1451	2448	2649	4211	1624
ENSG00000002919	1191	961	980	1324	906	1050	721	1377	1214	1338	920
ENSG00000002933	80	38	53	499	76	60	102	72	206	78	71
ENSG00000003056	1364	741	1502	1951	944	862	537	853	453	218	893
ENSG00000003096	439	76	0	316	452	86	328	656	606	401	603
ENSG00000003137	22	52	20	96	10	4	4	0	14	0	8
ENSG00000003147	1557	818	566	1092	1230	2309	888	1921	1092	1747	972
ENSG00000003249	137	112	34	120	126	262	84	178	258	452	45
ENSG00000003393	1967	1249	292	1207	1831	1455	1864	3573	2452	1144	1787
ENSG00000003400	1198	684	484	1335	1083	940	748	1331	1510	1221	1028
ENSG00000003402	13532	8592	17789	27153	7096	6508	5532	11650	7790	5906	6024
ENSG00000003436	266	571	1953	733	321	327	208	648	210	272	112
ENSG00000003509	1014	555	300	534	608	568	577	1015	703	405	594
ENSG00000003756	6919	3711	2315	4345	6151	7090	4874	11637	8645	3574	5402
ENSG00000003987	283	144	40	116	116	202	254	448	212	79	276
ENSG00000003989	2006	1034	65	2282	1446	1294	3403	6257	7965	3835	6574
ENSG00000004059	3416	1895	2319	3682	2787	3849	2122	3429	2859	5349	3130
ENSG00000004139	89	50	36	48	71	167	67	137	97	126	70
ENSG00000004142	2015	1761	2151	2260	1836	3197	1183	2462	1949	4250	1763
ENSG00000004399	186	177	463	719	128	128	80	174	106	126	52
ENSG00000004455	6658	3555	2365	4200	4958	5568	3804	7643	5611	5269	5644
ENSG00000004468	1249	540	58	927	1458	1341	1744	3128	4180	1557	3852
ENSG00000004478	2595	1546	1285	2403	2673	1243	470	1661	1807	4353	896
ENSG00000004487	2444	1851	1054	2154	3235	4897	2276	4137	3442	5538	2191
ENSG00000004534	8748	4137	1346	5295	7588	6764	5162	12005	10523	3816	5339
ENSG00000004660	508	618	1057	832	287	400	168	441	222	234	239
ENSG00000004700	379	194	328	440	208	167	198	314	144	34	257
ENSG00000004766	2552	1447	281	929	1526	902	1485	2657	1612	488	1874
ENSG00000004776	0	0	0	2	0	0	0	0	0	0	0
ENSG00000004777	137	54	6	223	286	657	292	816	401	393	293
ENSG00000004779	5773	3575	1080	3704	5185	5008	5492	9904	7401	11503	5094
ENSG00000004799	1436	1216	1168	973	1652	626	3335	6981	1210	1242	2612
ENSG00000004809	998	222	40	16	6	535	86	44	90	37	4
ENSG00000004838	7073	1261	466	9821	12460	12975	8598	16982	19052	51278	9833
ENSG00000004846	7	10	2	6	6	11	8	12	6	2	4
ENSG00000004848	72	56	0	77	128	68	515	843	261	234	432
ENSG00000004864	1856	1474	3857	1934	1006	1163	963	2446	1315	982	1504
ENSG00000004866	630	467	241	478	778	892	528	1027	751	1141	482
ENSG00000004897	3229	2784	829	1840	2188	1899	2482	5028	2137	1234	2661
ENSG00000004939	6	6	4	0	0	4	0	0	6	0	0
ENSG00000004948	20	14	15	1	4	4	2	6	8	2	0
ENSG00000004961	1785	1497	812	1068	1441	1317	1192	2074	1532	1553	1109
ENSG00000004975	1180	754	825	1062	1405	1198	902	1476	1188	1159	918
ENSG00000005001	3176	5403	15614	11022	3483	3164	954	1562	1645	1844	1212
ENSG00000005007	4235	1910	3478	6120	3760	4765	2126	4498	3219	9843	2778
ENSG00000005020	1857	1230	1844	5073	290	313	142	208	473	153	174
ENSG00000005022	12497	11153	6598	7415	8619	13148	9695	16633	10809	12798	10043
ENSG00000005059	1501	1547	636	1030	1055	1059	621	1585	1424	724	1020
ENSG00000005073	0	0	0	0	0	4	0	2	0	0	0
