genesymbols	Developing Ciliated Cells	SPRR2D high Squamous Cells	KRT24 KRT13 high Secretory Cells	ITGAX high Macrophages	B Cells	FOXJ1 high Ciliated Cells	CD8 T Cells	SERPINB11 high Secretory Cells	Inflammatory Macrophages	MSR1 C1QB high Macrophages	Dendritic Cells	MUC5AC high Goblet Cells	CCL5 high Squamous Cells	SCGB1A1 high Goblet Cells	BPIFA1 high Secretory Cells	Deuterosomal Cells	Basal Cells	Early Response FOXJ1 high Ciliated Cells	Early Response T Cells	Ionocytes	Interferon Responsive Macrophages	BPIFA1 and Chemokine high Secretory Cells	Cilia high Ciliated Cells	Mitotic Basal Cells	Interferon Responsive Ciliated Cells	AZGP1 high Goblet Cells	BEST4 high Cilia high Ciliated Cells	Developing Secretory and Goblet Cells	FFAR4 high Macrophages	AZGP1 SCGB3A1 LTF high Goblet Cells	HOPX high Squamous Cells	Plasmacytoid DCs	Enteroendocrine Cells	Early Response Secretory Cells	VEGFA high Squamous Cells	Interferon Responsive Cytotoxic CD8 T Cells	Interferon Responsive Secretory Cells	Mast Cells
A1BG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1616.45149047866	1	1	1	1	1	3185.71337579618
A1BG.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	448.227191413238	1	1	1	1	1	1
A1CF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2M	1	1	1	1	1	1	1	1	1	1944.73210770197	839.933623246047	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4425.95013770186	1	1	1	1	1	1	1	1	1
A2M.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	247.490261537766	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2ML1	1	3099.97159914097	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	353.930688107363	1	1	1	1	826.082508250825	1	1	1	2297.21960365782	1	1	1
A2ML1.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2ML1.AS2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A3GALT2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A4GALT	1	1022.71546161442	2642.120848078	1	1	391.301153741124	1	2670.22871316411	1	1	1	2974.77057685357	1	2912.72226611486	2354.21026511064	1	1560.47513618926	450.454477748237	1	1	1	4147.61676468841	1	982.583619074612	477.528912143463	2648.16966412769	426.1093914053	1249.26610013206	238.845562325396	1648.70148531145	11112.1111111111	1	1	2374.46894178165	923.274483564188	1	1719.21305841924	1
A4GNT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AAAS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	315.346268012478	1	686.564847585139	925.65309409641	59.3379073443327	355.627125580102	1	448.227191413238	1	1	1	1	1	1
AACS	1	1	297.016648454175	1	1	1	1	1	1	1	1	729.269946398354	1	1002.62017928874	1	1	804.61182403226	295.58903000067	1	554.849750610114	1	1	1	1	292.119505822365	762.513201437469	735.151951783373	1	1370.44587742152	359.371798156042	1	1	1	1055.92068294215	238.455176729997	569.364763179495	1	1
AADAC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AADACL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AADACL2.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AADACL3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AADACL4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AADAT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	161.474413514633	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AAED1	1	1	1	1	1	379.163536828465	1	1	1026.3475305571	1	652.301308176112	1	1	1	1	1	1	395.994454856337	820.168303845588	1	1399.40701163895	1	1	3436.69910235325	459.112046394591	1	1	1	735.336911509418	1	1	1	1	1	1	352.621699466709	1	3185.71337579618
AAGAB	1	509.114599986544	1	1	1	458.381229207005	1	798.647111178405	1	1	1	1	1	1	1	1	1	209.818376768026	913.408276919895	1	1	1	1	1	469.878096559251	230.628985792019	1	1	165.304103682962	1	1	448.227191413238	1	748.386354241801	287.403774497557	791.75493557679	1	1
AAK1	1	1213.60643253221	571.003020587347	1	1	637.195256265903	5028.54615242381	519.404220000392	1	1956.15418277905	1	1888.56378689755	1	1278.74497033662	1	1384.23736439522	1996.92742593558	472.127593589912	3419.30877514274	674.980785226832	1271.37169326081	1	931.40543165662	1	441.304336399922	785.16462685446	757.867049138079	2583.46409705783	1040.68959149248	360.132070750908	2767.79841897233	1	2436.95795161813	666.250709351684	1175.51024968521	2433.07220109117	1	1
AAMDC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	247.54941790167	1	1	1	1613.90322580645	1	1	313.088356202264	632.323912213166	1	1	1	709.096555605905	396.256916996047	1	1	1	238.141879890543	1	1467.27565982405	1
AAMP	1	843.406315225615	529.789319950937	1	1	612.769767390905	1	1135.55639745297	757.501765423935	1129.41522922571	526.489961507506	522.602011456119	1	839.618430157784	1	692.203616402128	837.411342599099	683.459519675148	975.72234862381	522.869936853797	1	1	1	629.8998014792	652.865160270644	1287.50272091421	397.296931368695	833.349888442048	381.547040742196	1490.93929404852	1977.28458498024	772.481406718037	1	937.378079886766	1073.0842394873	617.611539794394	2933.55131964809	1
AANAT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AAR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	261.711103775338	1	1	1	1613.90322580645	1	1	313.400197427041	1	1	1	1	1	826.082508250825	1	5101.28696120045	208.006471558792	106.084463233442	1041.88106996138	1	1
AARD	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
