"","Variable","W_statistic","p_value","adjusted_p_value"
"1","Mitotic.Basal.Cells","20","0.186174126438885",0.313556423476017
"2","Enteroendocrine.Cells","13","0.917929225655659",0.957184750733138
"3","B.Cells","15","0.917929225655659",0.957184750733138
"4","Early.Response.Secretory.Cells","15","0.888539123512752",0.957184750733138
"5","Deuterosomal.Cells","8","0.186174126438885",0.313556423476017
"6","Mast.Cells","27","0.0121212121212121",0.0646464646464645
"7","Inflammatory.Macrophages","28","0.00540004084068578",0.0577275146647279
"8","FFAR4.high.Macrophages","24","0.0719513975937138",0.155151515151515
"9","HOPX.high.Squamous.Cells","3","0.0452199741787572",0.146189276486679
"10","Developing.Secretory.and.Goblet.Cells","10","0.504430998762287",0.672574665016383
"11","BEST4.high.Cilia.high.Ciliated.Cells","16","0.7662303342597",0.943052719088862
"12","Basal.Cells","28","0.00745546186358554",0.0577275146647279
"13","Early.Response.T.Cells","9.5","0.409746312502767",0.573386034255599
"14","MSR1.C1QB.high.Macrophages","6.5","0.184875314347565",0.313556423476017
"15","BPIFA1.high.Secretory.Cells","11.5","0.704816764724315",0.902165458847123
"16","Interferon.Responsive.Macrophages","24","0.0700049832291192",0.155151515151515
"17","BPIFA1.and.Chemokine.high.Secretory.Cells","14","1",1
"18","AZGP1.SCGB3A1.LTF.high.Goblet.Cells","4","0.0502525637922959",0.146189276486679
"19","Interferon.Responsive.Secretory.Cells","1","0.0179007292241128",0.0818319050245156
"20","AZGP1.high.Goblet.Cells","24","0.0502525637922959",0.146189276486679
"21","FOXJ1.high.Ciliated.Cells","19","0.372431478340167",0.567514633661207
"22","Dendritic.Cells","24","0.0727272727272727",0.155151515151515
"23","Early.Response.FOXJ1.high.Ciliated.Cells","13","0.921056394171798",0.957184750733138
"24","ITGAX.high.Macrophages","28","0.00901992416636373",0.0577275146647279
"25","Interferon.Responsive.Cytotoxic.CD8.T.Cells","25","0.0452199741787572",0.146189276486679
"26","KRT24.KRT13.high.Secretory.Cells","8.5","0.333470338261888",0.533552541219021
"27","SPRR2D.high.Squamous.Cells","22.5","0.099213148954883",0.198426297909766
"28","VEGFA.high.Squamous.Cells","28","0.00745546186358554",0.0577275146647279
"29","Developing.Ciliated.Cells","3.5","0.0582074760942347",0.155151515151515
"30","SCGB1A1.high.Goblet.Cells","9","0.412121212121212",0.573386034255599
"31","Interferon.Responsive.Ciliated.Cells","0","0.00606060606060606",0.0577275146647279
"32","SERPINB11.high.Secretory.Cells","15","0.927272727272727",0.957184750733138
