"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044782","GO:0044782","cilium organization","178/981","406/21069",2.48490691215817e-129,1.05235807729899e-125,1.04418404140373e-125,"ZMYND10/MKS1/IFT88/CLXN/DNAH5/OFD1/CC2D2A/CROCC/IFT80/CFAP20/KIFAP3/SPAG6/VDAC3/PCM1/RABL2B/RFX3/DNAAF6/HSPB11/RFX2/CFAP61/TEKT2/IFT74/CBY1/TTLL1/IFT27/CDKL1/IFT52/SPEF1/KIF3B/CCDC113/CLUAP1/RPGRIP1L/RP1/CFAP69/TTC26/CEP41/B9D1/JHY/CEP164/CEP126/RSPH4A/MAK/NME5/IFT57/IQCG/ROPN1B/DNAH1/IFT46/ARMC2/WDR35/DNAH7/DYNC2I2/BBOF1/IFT43/DNAL1/TCTN3/CFAP58/CEP89/ODF2L/BBS9/DNAI1/IFT81/TTC21B/DAW1/BBS2/CEP250/DYNC2I1/IFT22/TTBK2/DNAAF11/FOXJ1/KIF3A/SPATA6/DZIP1/CEP162/ARMC9/ODF2/TTC29/LRRC49/IFT172/DYNC2LI1/ARL3/MNS1/CCDC65/BBS4/GAS8/CCDC40/CEP131/CFAP74/WDPCP/SPAG16/DCDC2/TTC12/TMEM138/SPEF2/DNAI4/CIBAR2/DNAAF1/LRGUK/SPAG17/CFAP70/CFAP161/RPGR/HYDIN/LCA5L/WDR19/DRC1/DZIP1L/CATIP/CFAP298/DRC7/RSPH1/PIERCE1/CFAP157/WDR90/UBXN10/DNAI3/TEKT4/CFAP221/BBS5/CFAP100/IFT122/INTU/IQUB/TMEM67/KIF27/CFAP47/TTC8/TUB/CFAP52/DNAAF3/TEKT1/TTC21A/TCTN2/ODAD2/DNAI2/CFAP46/CFAP53/RSPH9/CCDC96/CEP83/PIFO/UNC119B/CCDC57/TMEM107/BBS12/MAPK15/CFAP65/CEP97/HOATZ/CFAP91/DNAH2/KIF24/CFAP73/TMEM17/TMEM216/DYNC2H1/IFT140/ENO4/CFAP54/FBF1/CFAP126/KIF19/TTC30B/TTC30A/PARVA/MEIG1/ODAD3/KIAA0753/TRAF3IP1/ODAD4/TCTN1/TMEM231/CFAP44/DYNLT2B/DNAAF10/CCDC13/DNAAF4",178
"GO:0060271","GO:0060271","cilium assembly","164/981","377/21069",3.9014138510626e-118,8.26124382962506e-115,8.19707583865363e-115,"ZMYND10/MKS1/IFT88/CLXN/DNAH5/OFD1/CC2D2A/CROCC/IFT80/CFAP20/SPAG6/VDAC3/PCM1/RABL2B/RFX3/DNAAF6/HSPB11/RFX2/TEKT2/IFT74/CBY1/TTLL1/IFT27/CDKL1/IFT52/SPEF1/KIF3B/CCDC113/CLUAP1/RPGRIP1L/RP1/CFAP69/TTC26/CEP41/B9D1/JHY/CEP164/CEP126/RSPH4A/MAK/NME5/IFT57/IQCG/DNAH1/IFT46/ARMC2/WDR35/DNAH7/DYNC2I2/BBOF1/IFT43/DNAL1/TCTN3/CFAP58/CEP89/ODF2L/BBS9/DNAI1/IFT81/TTC21B/DAW1/BBS2/CEP250/DYNC2I1/IFT22/TTBK2/DNAAF11/FOXJ1/KIF3A/SPATA6/DZIP1/CEP162/ARMC9/ODF2/LRRC49/IFT172/DYNC2LI1/ARL3/MNS1/CCDC65/BBS4/GAS8/CCDC40/CEP131/CFAP74/WDPCP/SPAG16/DCDC2/TTC12/TMEM138/SPEF2/DNAI4/CIBAR2/DNAAF1/LRGUK/SPAG17/CFAP70/CFAP161/RPGR/HYDIN/WDR19/DRC1/DZIP1L/CFAP298/DRC7/RSPH1/PIERCE1/CFAP157/WDR90/UBXN10/DNAI3/TEKT4/CFAP221/BBS5/CFAP100/IFT122/INTU/IQUB/TMEM67/KIF27/CFAP47/TTC8/CFAP52/DNAAF3/TEKT1/TCTN2/ODAD2/DNAI2/CFAP46/CFAP53/RSPH9/CCDC96/CEP83/UNC119B/CCDC57/TMEM107/MAPK15/CFAP65/CEP97/HOATZ/CFAP91/DNAH2/KIF24/CFAP73/TMEM17/TMEM216/DYNC2H1/IFT140/CFAP54/FBF1/TTC30B/PARVA/MEIG1/ODAD3/KIAA0753/TRAF3IP1/ODAD4/TCTN1/TMEM231/CFAP44/DYNLT2B/DNAAF10/CCDC13/DNAAF4",164
"GO:0007018","GO:0007018","microtubule-based movement","152/981","436/21069",2.89350348444522e-92,4.08466241887517e-89,4.05293540698433e-89,"ZMYND10/DNAH9/IFT88/CLXN/DNAH5/OFD1/SPA17/IFT80/AP3M2/CFAP20/KIFAP3/SPAG6/PCM1/RABL2B/RFX3/DNAAF6/HSPB11/KIF9/CFAP61/TEKT2/IFT74/DNAL4/TTLL1/IFT27/IFT52/SPEF1/KIF3B/EPPIN/CLUAP1/CFAP69/DNAH11/TTC26/JHY/RSPH4A/MAK/NME5/IFT57/IQCG/ROPN1B/DNAH1/DNAH6/IFT46/ARMC2/WDR35/DNAH7/DYNC2I2/IFT43/CFAP58/DNAI1/IFT81/TTC21B/DAW1/BBS2/DYNC2I1/IFT22/DNAAF11/TTLL9/KIF3A/NPHP4/DZIP1/TTC29/IFT172/DYNC2LI1/ARL3/MNS1/CCDC65/SORD/BBS4/GAS8/CCDC40/CEP131/SOD1/WDPCP/SPAG16/ROPN1L/TCTE1/DYNLT1/TTC12/DLG2/ENKUR/SPEF2/CATSPER3/DNAI4/DNAAF1/SPAG17/CFAP70/RPGR/HYDIN/LCA5L/WDR19/DRC1/CFAP251/DNAH3/CFAP298/STARD9/DRC7/PIERCE1/CFAP157/DNAI3/TEKT4/CFAP221/NEK10/LZTFL1/FYCO1/CFAP100/IFT122/INTU/KIF6/KIF27/CFAP47/DPCD/TUB/CFAP52/MAP1A/TEKT1/TTC21A/DYNLRB2/ZBBX/ODAD2/TTLL6/DNAI2/CFAP46/CFAP53/RSPH9/DNAH12/CATSPERD/BBS12/CFAP65/HOATZ/CFAP91/DNAH2/AGBL4/KIF24/CFAP73/DYNC2H1/IFT140/ENO4/DYNLT4/CFAP54/KIF19/TTC30B/TTC30A/DNAH10/MEIG1/ODAD3/TRAF3IP1/ODAD4/CFAP44/CFAP45/DYNLT2B/DNAAF4/GAS2L2",152
"GO:0003341","GO:0003341","cilium movement","94/981","204/21069",5.28955741102832e-70,5.60031890892623e-67,5.55681925916449e-67,"ZMYND10/DNAH9/CLXN/DNAH5/OFD1/SPA17/CFAP20/SPAG6/RFX3/DNAAF6/KIF9/CFAP61/TEKT2/TTLL1/SPEF1/EPPIN/CFAP69/DNAH11/JHY/RSPH4A/NME5/IQCG/ROPN1B/DNAH1/ARMC2/DNAH7/CFAP58/DNAI1/IFT81/DAW1/BBS2/DNAAF11/TTLL9/NPHP4/DZIP1/TTC29/MNS1/CCDC65/SORD/BBS4/GAS8/CCDC40/CEP131/SPAG16/ROPN1L/TCTE1/TTC12/ENKUR/SPEF2/CATSPER3/DNAI4/DNAAF1/SPAG17/CFAP70/HYDIN/DRC1/CFAP251/CFAP298/DRC7/PIERCE1/CFAP157/DNAI3/TEKT4/CFAP221/NEK10/LZTFL1/CFAP100/KIF27/CFAP47/DPCD/CFAP52/TEKT1/TTC21A/ZBBX/ODAD2/TTLL6/DNAI2/CFAP46/CFAP53/RSPH9/CATSPERD/CFAP65/HOATZ/CFAP91/CFAP73/ENO4/CFAP54/MEIG1/ODAD3/ODAD4/CFAP44/CFAP45/DNAAF4/GAS2L2",94
"GO:0035082","GO:0035082","axoneme assembly","65/981","94/21069",1.39050256597313e-64,1.17775567337924e-61,1.16860763018205e-61,"ZMYND10/CLXN/DNAH5/CC2D2A/SPAG6/DNAAF6/TEKT2/TTLL1/SPEF1/CLUAP1/RP1/CFAP69/TTC26/JHY/RSPH4A/IQCG/DNAH1/ARMC2/DNAH7/DNAL1/CFAP58/DNAI1/DAW1/BBS2/DNAAF11/FOXJ1/LRRC49/MNS1/CCDC65/GAS8/CCDC40/CEP131/CFAP74/SPAG16/TTC12/SPEF2/DNAI4/DNAAF1/LRGUK/SPAG17/HYDIN/DRC1/DRC7/RSPH1/PIERCE1/CFAP157/DNAI3/CFAP100/CFAP47/DNAAF3/ODAD2/DNAI2/CFAP46/RSPH9/CFAP65/HOATZ/CFAP91/DNAH2/CFAP73/MEIG1/ODAD3/ODAD4/CFAP44/DNAAF10/DNAAF4",65
"GO:0001578","GO:0001578","microtubule bundle formation","69/981","125/21069",1.59557310759279e-58,1.12620868510924e-55,1.11746102552814e-55,"ZMYND10/CLXN/DNAH5/CC2D2A/SPAG6/DNAAF6/TEKT2/TTLL1/SPEF1/CLUAP1/RP1/CFAP69/TTC26/JHY/RSPH4A/IQCG/DNAH1/ARMC2/DNAH7/DNAL1/CFAP58/DNAI1/DAW1/BBS2/DNAAF11/FOXJ1/LRRC49/MNS1/CCDC65/GAS8/CCDC40/CEP131/CFAP74/SPAG16/TTC12/SPEF2/DNAI4/DNAAF1/LRGUK/SPAG17/HYDIN/DRC1/DRC7/TPPP3/RSPH1/PIERCE1/CFAP157/DNAI3/CFAP100/CFAP47/DNAAF3/ODAD2/TTLL6/TPPP/DNAI2/CFAP46/RSPH9/CFAP65/HOATZ/CFAP91/DNAH2/CFAP73/MEIG1/ODAD3/ODAD4/CFAP44/DNAAF10/DNAAF4/GAS2L2",69
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility","71/981","167/21069",6.0311169007971e-50,3.19272250935947e-47,3.167923508945e-47,"CLXN/DNAH5/CFAP20/SPAG6/RFX3/DNAAF6/KIF9/TEKT2/EFHC1/TTLL1/EPPIN/CFAP69/DNAH11/RSPH4A/IQCG/ROPN1B/DNAH1/DNAH6/ARMC2/DNAH7/CFAP58/DNAI1/IFT81/BBS2/DNAAF11/TTLL9/NPHP4/DZIP1/MNS1/CCDC65/SORD/BBS4/GAS8/CCDC40/CEP131/SPAG16/ROPN1L/TCTE1/TTC12/ENKUR/SPEF2/CATSPER3/DRC1/CFAP251/DNAH3/DRC7/CFAP157/DNAI3/TEKT4/CFAP221/LZTFL1/CFAP47/DPCD/CFAP52/TEKT1/TTC21A/TTLL6/CFAP46/RSPH9/CATSPERD/CFAP65/HOATZ/EFHC2/DNAH2/ENO4/CFAP54/MEIG1/ODAD3/CFAP44/CFAP45/GAS2L2",71
"GO:0060285","GO:0060285","cilium-dependent cell motility","71/981","167/21069",6.0311169007971e-50,3.19272250935947e-47,3.167923508945e-47,"CLXN/DNAH5/CFAP20/SPAG6/RFX3/DNAAF6/KIF9/TEKT2/EFHC1/TTLL1/EPPIN/CFAP69/DNAH11/RSPH4A/IQCG/ROPN1B/DNAH1/DNAH6/ARMC2/DNAH7/CFAP58/DNAI1/IFT81/BBS2/DNAAF11/TTLL9/NPHP4/DZIP1/MNS1/CCDC65/SORD/BBS4/GAS8/CCDC40/CEP131/SPAG16/ROPN1L/TCTE1/TTC12/ENKUR/SPEF2/CATSPER3/DRC1/CFAP251/DNAH3/DRC7/CFAP157/DNAI3/TEKT4/CFAP221/LZTFL1/CFAP47/DPCD/CFAP52/TEKT1/TTC21A/TTLL6/CFAP46/RSPH9/CATSPERD/CFAP65/HOATZ/EFHC2/DNAH2/ENO4/CFAP54/MEIG1/ODAD3/CFAP44/CFAP45/GAS2L2",71
"GO:0099111","GO:0099111","microtubule-based transport","79/981","215/21069",1.04449766595442e-49,4.91494179479665e-47,4.87676571051469e-47,"DNAH9/IFT88/DNAH5/OFD1/SPA17/IFT80/AP3M2/KIFAP3/SPAG6/PCM1/RABL2B/RFX3/HSPB11/IFT74/TTLL1/IFT27/IFT52/KIF3B/CLUAP1/DNAH11/TTC26/JHY/MAK/NME5/IFT57/DNAH1/IFT46/WDR35/DYNC2I2/IFT43/DNAI1/IFT81/TTC21B/DAW1/DYNC2I1/IFT22/DNAAF11/KIF3A/IFT172/DYNC2LI1/ARL3/GAS8/CCDC40/CEP131/SOD1/WDPCP/SPAG16/ROPN1L/DLG2/SPEF2/DNAAF1/SPAG17/RPGR/LCA5L/WDR19/CFAP221/NEK10/FYCO1/IFT122/INTU/KIF27/DPCD/TUB/MAP1A/TTC21A/CFAP53/BBS12/AGBL4/DYNC2H1/IFT140/CFAP54/TTC30B/TTC30A/ODAD3/TRAF3IP1/ODAD4/CFAP45/DYNLT2B/DNAAF4",79
"GO:0042073","GO:0042073","intraciliary transport","40/981","47/21069",1.12184438793597e-46,4.75101098290883e-44,4.71410820698989e-44,"IFT88/IFT80/PCM1/RABL2B/HSPB11/IFT74/IFT27/IFT52/KIF3B/CLUAP1/TTC26/MAK/IFT57/IFT46/WDR35/DYNC2I2/IFT43/IFT81/TTC21B/DYNC2I1/IFT22/IFT172/DYNC2LI1/ARL3/CEP131/WDPCP/RPGR/LCA5L/WDR19/IFT122/INTU/TUB/TTC21A/BBS12/DYNC2H1/IFT140/TTC30B/TTC30A/TRAF3IP1/DYNLT2B",40
