Symbol	ICU_06	ICU_25	ICU_26	ICU_27	NON_07	NON_19	NON_20	NON_22	NON_23	NON_26	NON_28
TSPAN6	16250	7778	5441	9632	12967	11406	15664	22546	22927	10951	13999
TNMD	0	4	0	0	0	0	0	4	0	0	0
DPM1	3670	2418	1174	2586	2599	1916	2652	5025	2600	1941	3403
SCYL3	1099	671	598	702	699	901	830	1553	945	348	859
FIRRM	245	214	93	178	123	122	104	188	112	28	167
FGR	11528	4966	26740	26241	1547	2090	121	226	350	340	56
CFH	15153	6762	2123	6009	11378	7932	5771	10096	10461	3412	11657
FUCA2	4007	2745	1073	1416	1991	4186	3439	5061	4047	2009	2177
GCLC	12505	11952	1030	5989	7249	9844	14615	30460	11588	2675	13697
NFYA	2058	1095	1332	1522	941	918	738	1187	1145	481	834
STPG1	967	424	223	923	1509	1158	974	1742	1687	3690	999
NIPAL3	1597	1369	1238	1357	1806	2460	1420	2493	1910	1282	1299
LAS1L	1614	738	469	1094	1373	2339	1276	2423	2264	2007	1702
ENPP4	4937	4160	888	3699	2764	2883	7007	11873	5182	2174	5247
SEMA3F	3608	2454	2107	2587	3764	2596	1106	3108	2416	1172	1574
CFTR	2318	318	116	709	2042	409	945	2719	690	250	2034
ANKIB1	3754	2053	382	1686	2062	1469	2232	4278	1858	709	3595
CYP51A1	15	15	0	47	0	0	6	8	4	4	14
KRIT1	887	453	119	397	571	512	768	1355	772	442	851
RAD52	303	154	41	132	488	254	175	505	443	205	278
MYH16	10	25	4	17	6	36	2	9	14	2	14
BAD	822	404	411	1010	966	1231	715	1023	1321	3475	1476
LAP3	5057	3477	1591	3965	4503	5591	5263	15102	8782	3647	15159
CD99	3351	2161	3281	5276	2974	3007	2323	3630	5527	7524	3042
HS3ST1	4531	4217	1515	2781	4017	2292	1759	3324	2322	2976	1905
AOC1	2	4	44	210	2	7	30	4	24	34	1
WNT16	25	149	46	10	6	6	10	10	26	10	2
HECW1	0	11	2	0	2	12	2	0	4	2	1
MAD1L1	8	6	50	17	6	0	2	3	6	3	2
LASP1	4212	3131	10278	8523	2813	3570	1451	2448	2649	4211	1624
SNX11	1191	961	980	1324	906	1050	721	1377	1214	1338	920
TMEM176A	80	38	53	499	76	60	102	72	206	78	71
M6PR	1364	741	1502	1951	944	862	537	853	453	218	893
KLHL13	439	76	0	316	452	86	328	656	606	401	603
CYP26B1	22	52	20	96	10	4	4	0	14	0	8
ICA1	1557	818	566	1092	1230	2309	888	1921	1092	1747	972
DBNDD1	137	112	34	120	126	262	84	178	258	452	45
ALS2	1967	1249	292	1207	1831	1455	1864	3573	2452	1144	1787
CASP10	1198	684	484	1335	1083	940	748	1331	1510	1221	1028
CFLAR	13532	8592	17789	27153	7096	6508	5532	11650	7790	5906	6024
TFPI	266	571	1953	733	321	327	208	648	210	272	112
NDUFAF7	1014	555	300	534	608	568	577	1015	703	405	594
RBM5	6919	3711	2315	4345	6151	7090	4874	11637	8645	3574	5402
MTMR7	283	144	40	116	116	202	254	448	212	79	276
SLC7A2	2006	1034	65	2282	1446	1294	3403	6257	7965	3835	6574
ARF5	3416	1895	2319	3682	2787	3849	2122	3429	2859	5349	3130
SARM1	89	50	36	48	71	167	67	137	97	126	70
POLDIP2	2015	1761	2151	2260	1836	3197	1183	2462	1949	4250	1763
PLXND1	186	177	463	719	128	128	80	174	106	126	52
AK2	6658	3555	2365	4200	4958	5568	3804	7643	5611	5269	5644
CD38	1249	540	58	927	1458	1341	1744	3128	4180	1557	3852
FKBP4	2595	1546	1285	2403	2673	1243	470	1661	1807	4353	896
KDM1A	2444	1851	1054	2154	3235	4897	2276	4137	3442	5538	2191
RBM6	8748	4137	1346	5295	7588	6764	5162	12005	10523	3816	5339
CAMKK1	508	618	1057	832	287	400	168	441	222	234	239
RECQL	379	194	328	440	208	167	198	314	144	34	257
VPS50	2552	1447	281	929	1526	902	1485	2657	1612	488	1874
HSPB6	0	0	0	2	0	0	0	0	0	0	0
ARHGAP33	137	54	6	223	286	657	292	816	401	393	293
NDUFAB1	5773	3575	1080	3704	5185	5008	5492	9904	7401	11503	5094
PDK4	1436	1216	1168	973	1652	626	3335	6981	1210	1242	2612
SLC22A16	998	222	40	16	6	535	86	44	90	37	4
