Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,KEGG Pathway,24,hsa04360,Axon guidance,,-11,11,12,30337,184,221,15,6.8,1.7,1969|2049|3983|3985|4773|5293|5361|5578|5590|5595|5998|6586|23654|54961|219699,EPHA2|EPHB3|ABLIM1|LIMK2|NFATC2|PIK3CD|PLXNA1|PRKCA|PRKCZ|MAPK3|RGS3|SLIT3|PLXNB2|SSH3|UNC5B,-7.3
MyList,GO Biological Processes,19,GO:0000902,cell morphogenesis,19_GO:0032502 developmental process,-9.6,4.8,8.6,30337,687,221,24,11,2.1,575|832|886|1003|1855|1969|2049|4774|5048|5361|5590|6586|6886|7171|7465|10160|10458|11078|23136|26053|85358|153090|219699|494470,ADGRB1|CAPZB|CCKAR|CDH5|DVL1|EPHA2|EPHB3|NFIA|PAFAH1B1|PLXNA1|PRKCZ|SLIT3|TAL1|TPM4|WEE1|FARP1|BAIAP2|TRIOBP|EPB41L3|AUTS2|SHANK3|DAB2IP|UNC5B|ARK2C,-6.1
MyList,GO Biological Processes,19,GO:0120035,regulation of plasma membrane bounded cell projection organization,19_GO:0050789 regulation of biological process,-8.6,4.7,8.1,30337,645,221,22,10,2,832|1855|1969|2049|2672|3985|5048|5361|5605|5753|5802|9314|10458|10801|23327|23369|23499|23654|26053|26153|85358|153090,CAPZB|DVL1|EPHA2|EPHB3|GFI1|LIMK2|PAFAH1B1|PLXNA1|MAP2K2|PTK6|PTPRS|KLF4|BAIAP2|SEPTIN9|NEDD4L|PUM2|MACF1|PLXNB2|AUTS2|KIF26A|SHANK3|DAB2IP,-5.6
MyList,Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,-8.5,5.1,8.3,30337,534,221,20,9,1.9,639|1003|1298|1759|3187|3315|5154|5578|5581|5590|5595|5605|5725|5753|5771|5802|6196|10458|11033|58513,PRDM1|CDH5|COL9A2|DNM1|HNRNPH1|HSPB1|PDGFA|PRKCA|PRKCE|PRKCZ|MAPK3|MAP2K2|PTBP1|PTK6|PTPN2|PTPRS|RPS6KA2|BAIAP2|ADAP1|EPS15L1,-5.6
MyList,WikiPathways,27,WP3888,VEGFA VEGFR2 signaling,,-8.5,5.7,8.5,30337,432,221,18,8.1,1.8,832|1003|1969|2022|2314|2817|3315|4772|4773|5578|5581|5590|5595|5605|6595|6886|57007|81873,CAPZB|CDH5|EPHA2|ENG|FLII|GPC1|HSPB1|NFATC1|NFATC2|PRKCA|PRKCE|PRKCZ|MAPK3|MAP2K2|SMARCA2|TAL1|ACKR3|ARPC5L,-5.5
MyList,GO Biological Processes,19,GO:0031344,regulation of cell projection organization,19_GO:0050789 regulation of biological process,-8.4,4.6,7.9,30337,662,221,22,10,2,832|1855|1969|2049|2672|3985|5048|5361|5605|5753|5802|9314|10458|10801|23327|23369|23499|23654|26053|26153|85358|153090,CAPZB|DVL1|EPHA2|EPHB3|GFI1|LIMK2|PAFAH1B1|PLXNA1|MAP2K2|PTK6|PTPRS|KLF4|BAIAP2|SEPTIN9|NEDD4L|PUM2|MACF1|PLXNB2|AUTS2|KIF26A|SHANK3|DAB2IP,-5.5
MyList,GO Biological Processes,19,GO:0050804,modulation of chemical synaptic transmission,19_GO:0050789 regulation of biological process,-8.3,5.3,8.2,30337,496,221,19,8.6,1.9,575|1269|1759|1855|5023|5048|5581|5590|5595|5802|8224|8291|9228|10458|10636|10815|22883|85358|114781,ADGRB1|CNR2|DNM1|DVL1|P2RX1|PAFAH1B1|PRKCE|PRKCZ|MAPK3|PTPRS|SYN3|DYSF|DLGAP2|BAIAP2|RGS14|CPLX1|CLSTN1|SHANK3|BTBD9,-5.5
MyList,GO Biological Processes,19,GO:0099177,regulation of trans-synaptic signaling,19_GO:0050789 regulation of biological process,-8.3,5.2,8.2,30337,497,221,19,8.6,1.9,575|1269|1759|1855|5023|5048|5581|5590|5595|5802|8224|8291|9228|10458|10636|10815|22883|85358|114781,ADGRB1|CNR2|DNM1|DVL1|P2RX1|PAFAH1B1|PRKCE|PRKCZ|MAPK3|PTPRS|SYN3|DYSF|DLGAP2|BAIAP2|RGS14|CPLX1|CLSTN1|SHANK3|BTBD9,-5.5
MyList,GO Biological Processes,19,GO:0010975,regulation of neuron projection development,19_GO:0032502 developmental process,-7.5,5.2,7.7,30337,445,221,17,7.7,1.8,1855|2049|2672|5048|5361|5605|5753|5802|9314|10458|23327|23369|23499|23654|26153|85358|153090,DVL1|EPHB3|GFI1|PAFAH1B1|PLXNA1|MAP2K2|PTK6|PTPRS|KLF4|BAIAP2|NEDD4L|PUM2|MACF1|PLXNB2|KIF26A|SHANK3|DAB2IP,-4.8
MyList,KEGG Pathway,24,hsa04144,Endocytosis,,-7.3,7.1,8.3,30337,252,221,13,5.9,1.6,832|1759|3559|5590|9922|23327|23396|26119|58513|81873|116986|116988|147179,CAPZB|DNM1|IL2RA|PRKCZ|IQSEC1|NEDD4L|PIP5K1C|LDLRAP1|EPS15L1|ARPC5L|AGAP2|AGAP3|WIPF2,-4.7
MyList,GO Biological Processes,19,GO:0010720,positive regulation of cell development,19_GO:0032502 developmental process,-7.3,5.1,7.6,30337,459,221,17,7.7,1.8,864|1003|3559|5048|5361|5578|5590|5605|6595|7071|7161|8140|10458|10636|23499|23654|85358,RUNX3|CDH5|IL2RA|PAFAH1B1|PLXNA1|PRKCA|PRKCZ|MAP2K2|SMARCA2|KLF10|TP73|SLC7A5|BAIAP2|RGS14|MACF1|PLXNB2|SHANK3,-4.7
MyList,GO Biological Processes,19,GO:0032535,regulation of cellular component size,19_GO:0065007 biological regulation,-7.2,5.8,7.8,30337,355,221,15,6.8,1.7,832|1759|2314|5048|5581|5802|10458|11078|23369|23499|54961|56262|79890|81873|85358,CAPZB|DNM1|FLII|PAFAH1B1|PRKCE|PTPRS|BAIAP2|TRIOBP|PUM2|MACF1|SSH3|LRRC8A|RIN3|ARPC5L|SHANK3,-4.6
MyList,KEGG Pathway,24,hsa05135,Yersinia infection,,-7.1,9.9,9,30337,138,221,10,4.5,1.4,4772|4773|5293|5595|5605|6196|10458|23396|81873|147179,NFATC1|NFATC2|PIK3CD|MAPK3|MAP2K2|RPS6KA2|BAIAP2|PIP5K1C|ARPC5L|WIPF2,-4.6
MyList,GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-7.1,4.6,7.3,30337,533,221,18,8.1,1.8,639|1003|1312|1969|2022|2034|2049|2548|3339|4035|5154|5578|6886|9394|57007|58504|153090|219699,PRDM1|CDH5|COMT|EPHA2|ENG|EPAS1|EPHB3|GAA|HSPG2|LRP1|PDGFA|PRKCA|TAL1|HS6ST1|ACKR3|ARHGAP22|DAB2IP|UNC5B,-4.5
MyList,GO Biological Processes,19,GO:0048812,neuron projection morphogenesis,19_GO:0032502 developmental process,-6.9,4.8,7.2,30337,486,221,17,7.7,1.8,575|886|1855|2049|5048|5361|5590|6586|7465|10160|10458|23136|26053|85358|153090|219699|494470,ADGRB1|CCKAR|DVL1|EPHB3|PAFAH1B1|PLXNA1|PRKCZ|SLIT3|WEE1|FARP1|BAIAP2|EPB41L3|AUTS2|SHANK3|DAB2IP|UNC5B|ARK2C,-4.4
MyList,GO Biological Processes,19,GO:0120039,plasma membrane bounded cell projection morphogenesis,19_GO:0032502 developmental process,-6.9,4.8,7.2,30337,491,221,17,7.7,1.8,575|886|1855|2049|5048|5361|5590|6586|7465|10160|10458|23136|26053|85358|153090|219699|494470,ADGRB1|CCKAR|DVL1|EPHB3|PAFAH1B1|PLXNA1|PRKCZ|SLIT3|WEE1|FARP1|BAIAP2|EPB41L3|AUTS2|SHANK3|DAB2IP|UNC5B|ARK2C,-4.3
MyList,GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-6.8,4.5,7,30337,554,221,18,8.1,1.8,639|1003|1312|1969|2022|2034|2049|2548|3339|4035|5154|5578|6886|9394|57007|58504|153090|219699,PRDM1|CDH5|COMT|EPHA2|ENG|EPAS1|EPHB3|GAA|HSPG2|LRP1|PDGFA|PRKCA|TAL1|HS6ST1|ACKR3|ARHGAP22|DAB2IP|UNC5B,-4.3
MyList,GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,19_GO:0050896 response to stimulus,-6.8,4.2,6.9,30337,618,221,19,8.6,1.9,1003|1969|2022|2049|3315|3625|4035|4053|4774|5154|5293|5595|5605|5753|5771|10160|10458|10636|153090,CDH5|EPHA2|ENG|EPHB3|HSPB1|INHBB|LRP1|LTBP2|NFIA|PDGFA|PIK3CD|MAPK3|MAP2K2|PTK6|PTPN2|FARP1|BAIAP2|RGS14|DAB2IP,-4.3
MyList,GO Biological Processes,19,GO:0048858,cell projection morphogenesis,19_GO:0032502 developmental process,-6.8,4.7,7.1,30337,496,221,17,7.7,1.8,575|886|1855|2049|5048|5361|5590|6586|7465|10160|10458|23136|26053|85358|153090|219699|494470,ADGRB1|CCKAR|DVL1|EPHB3|PAFAH1B1|PLXNA1|PRKCZ|SLIT3|WEE1|FARP1|BAIAP2|EPB41L3|AUTS2|SHANK3|DAB2IP|UNC5B|ARK2C,-4.3
MyList,GO Biological Processes,19,GO:0098657,import into cell,19_GO:0051179 localization,-6.7,4,6.8,30337,690,221,20,9,1.9,575|1487|1759|3339|3689|4035|5581|5595|6382|8140|10043|23396|26119|51411|54453|56262|57007|58513|79890|376497,ADGRB1|CTBP1|DNM1|HSPG2|ITGB2|LRP1|PRKCE|MAPK3|SDC1|SLC7A5|TOM1|PIP5K1C|LDLRAP1|BIN2|RIN2|LRRC8A|ACKR3|EPS15L1|RIN3|SLC27A1,-4.3
MyList,GO Biological Processes,19,GO:0006897,endocytosis,19_GO:0051179 localization,-6.7,4.6,7.1,30337,503,221,17,7.7,1.8,575|1487|1759|3339|3689|4035|5581|5595|6382|10043|23396|26119|51411|54453|57007|58513|79890,ADGRB1|CTBP1|DNM1|HSPG2|ITGB2|LRP1|PRKCE|MAPK3|SDC1|TOM1|PIP5K1C|LDLRAP1|BIN2|RIN2|ACKR3|EPS15L1|RIN3,-4.3
MyList,Reactome Gene Sets,6,R-HSA-388396,GPCR downstream signalling,,-6.6,4.1,6.8,30337,634,221,19,8.6,1.9,115|886|1269|2779|2862|5578|5581|5595|5998|6196|7434|9828|10636|26960|29933|51764|53637|57007|389337,ADCY9|CCKAR|CNR2|GNAT1|MLNR|PRKCA|PRKCE|MAPK3|RGS3|RPS6KA2|VIPR2|ARHGEF17|RGS14|NBEA|GPR132|GNG13|S1PR5|ACKR3|ARHGEF37,-4.2
MyList,Reactome Gene Sets,6,R-HSA-9675108,Nervous system development,,-6.6,4.3,6.9,30337,573,221,18,8.1,1.8,1298|1759|1969|2049|2817|3983|3985|4155|5293|5361|5578|5595|5605|6196|6586|23396|116986|219699,COL9A2|DNM1|EPHA2|EPHB3|GPC1|ABLIM1|LIMK2|MBP|PIK3CD|PLXNA1|PRKCA|MAPK3|MAP2K2|RPS6KA2|SLIT3|PIP5K1C|AGAP2|UNC5B,-4.2
MyList,GO Biological Processes,19,GO:0051962,positive regulation of nervous system development,19_GO:0032502 developmental process,-6.5,6,7.4,30337,296,221,13,5.9,1.6,575|2049|5048|5361|5605|7161|8140|10458|10636|22883|23499|23654|85358,ADGRB1|EPHB3|PAFAH1B1|PLXNA1|MAP2K2|TP73|SLC7A5|BAIAP2|RGS14|CLSTN1|MACF1|PLXNB2|SHANK3,-4.1
