Cluster,Score,Type,Gene,Symbol,Network
2,2.0,Seed,4772,NFATC1,MyList_SUB1
2,2.0,Clustered,5595,MAPK3,MyList_SUB1
2,2.0,Clustered,4773,NFATC2,MyList_SUB1
2,2.0,Clustered,5590,PRKCZ,MyList_SUB1
2,2.0,Clustered,5578,PRKCA,MyList_SUB1
3,1.7999999999999998,Clustered,2817,GPC1,MyList_SUB1
3,1.7999999999999998,Seed,9394,HS6ST1,MyList_SUB1
3,1.7999999999999998,Clustered,6382,SDC1,MyList_SUB1
3,1.7999999999999998,Clustered,4035,LRP1,MyList_SUB1
3,1.7999999999999998,Clustered,3339,HSPG2,MyList_SUB1
4,1.5,Clustered,4782,NFIC,MyList_SUB1
4,1.5,Clustered,4784,NFIX,MyList_SUB1
4,1.5,Clustered,639,PRDM1,MyList_SUB1
4,1.5,Seed,4774,NFIA,MyList_SUB1
1,1.25,Clustered,2052,EPHX1,MyList_SUB1
1,1.25,Clustered,284422,SMIM24,MyList_SUB1
1,1.25,Clustered,1572,CYP2F1,MyList_SUB1
1,1.25,Clustered,84869,CBR4,MyList_SUB1
1,1.25,Seed,11332,ACOT7,MyList_SUB1
1,1.25,Clustered,119391,GSTO2,MyList_SUB1
1,1.25,Clustered,218,ALDH3A1,MyList_SUB1
1,1.25,Clustered,51084,CRYL1,MyList_SUB1
5,1.0,Clustered,10636,RGS14,MyList_SUB1
5,1.0,Seed,5998,RGS3,MyList_SUB1
5,1.0,Clustered,2779,GNAT1,MyList_SUB1
6,1.0,Clustered,3801,KIFC3,MyList_SUB1
6,1.0,Clustered,5048,PAFAH1B1,MyList_SUB1
6,1.0,Clustered,26153,KIF26A,MyList_SUB1
7,1.0,Seed,6595,SMARCA2,MyList_SUB1
7,1.0,Clustered,3315,HSPB1,MyList_SUB1
7,1.0,Clustered,79026,AHNAK,MyList_SUB1
8,1.0,Clustered,886,CCKAR,MyList_SUB2
8,1.0,Seed,2862,MLNR,MyList_SUB2
8,1.0,Clustered,29933,GPR132,MyList_SUB2
