_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.5,COVID057,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_12h_Down,,-6.5,4.5,6.9,30337,300,380,17,4.5,1.1,5395|7799|9612|10458|23051|23187|23327|23352|23499|26053|57186|57553|58513|79026|83879|89796|152877,PMS2|PRDM2|NCOR2|BAIAP2|ZHX3|PHLDB1|NEDD4L|UBR4|MACF1|AUTS2|RALGAPA2|MICAL3|EPS15L1|AHNAK|CDCA7|NAV1|FAM53A,-3.1,0
1,-6.3,COVID023,M1,1,0,COVID,200,RNA_Keller_B-cells-Infected_CD21pos_Down,,-6.3,4.6,6.8,30337,278,380,16,4.2,1,3090|3315|3689|8553|9516|11033|22859|23654|54863|79890|84628|90427|201176|254102|284207|399693,HIC1|HSPB1|ITGB2|BHLHE40|LITAF|ADAP1|ADGRL1|PLXNB2|TOR4A|RIN3|NTNG2|BMF|ARHGAP27|EHBP1L1|METRNL|CCDC187,-3,0
1,-5.8,COVID005,M1,1,0,COVID,200,RNA_Appelberg_Huh-7_72h_Down,,-5.8,4.3,6.4,30337,300,380,16,4.2,1,1059|1855|3315|3801|3955|5493|6573|6650|9469|11332|23187|23396|54863|80305|89958|161882,CENPB|DVL1|HSPB1|KIFC3|LFNG|PPL|SLC19A1|CAPN15|CHST3|ACOT7|PHLDB1|PIP5K1C|TOR4A|TRABD|SAPCD2|ZFPM1,-2.7,0
1,-5.8,COVID032,M1,1,0,COVID,200,RNA_Liao_BALF-severe_Up,,-5.8,4.3,6.4,30337,300,380,16,4.2,1,639|1572|1999|2621|3665|3983|5154|5493|8140|8291|8519|11187|65249|84069|85379|445815,PRDM1|CYP2F1|ELF3|GAS6|IRF7|ABLIM1|PDGFA|PPL|SLC7A5|DYSF|IFITM1|PKP3|ZSWIM4|PLEKHN1|KIAA1671|PALM2AKAP2,-2.7,0
1,-5.1,COVID022,M1,1,0,COVID,200,RNA_Keller_B-cells-CD21pos_infection_Up,,-5.1,4.2,5.9,30337,269,380,14,3.7,0.97,379|2049|2621|3090|8291|11033|11156|23654|53637|55620|63976|116988|284207|339983,ARL4D|EPHB3|GAS6|HIC1|DYSF|ADAP1|PTP4A3|PLXNB2|S1PR5|STAP2|PRDM16|AGAP3|METRNL|NAT8L,-2.1,0
1,-3.5,COVID009,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-ACE2_Down,,-3.5,3.9,4.6,30337,207,380,10,2.6,0.82,115|832|2052|2817|3339|5799|6595|9524|23499|79026,ADCY9|CAPZB|EPHX1|GPC1|HSPG2|PTPRN2|SMARCA2|TECR|MACF1|AHNAK,-1.1,0
1,-3.4,COVID059,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_24h_Down,,-3.4,3.2,4.3,30337,300,380,12,3.2,0.9,1609|5395|9612|10458|23051|23187|23499|26053|57186|79026|83879|152877,DGKQ|PMS2|NCOR2|BAIAP2|ZHX3|PHLDB1|MACF1|AUTS2|RALGAPA2|AHNAK|CDCA7|FAM53A,-1,0
1,-3.4,COVID061,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_2h_Down,,-3.4,3.2,4.3,30337,300,380,12,3.2,0.9,1609|5395|9612|10801|23187|23499|26053|57648|58513|79026|85379|152877,DGKQ|PMS2|NCOR2|SEPTIN9|PHLDB1|MACF1|AUTS2|NHSL3|EPS15L1|AHNAK|KIAA1671|FAM53A,-1,0
1,-3.4,COVID065,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_8h_Down,,-3.4,3.2,4.3,30337,300,380,12,3.2,0.9,3983|5395|9612|23051|23187|23327|26053|57186|57553|58513|79026|152877,ABLIM1|PMS2|NCOR2|ZHX3|PHLDB1|NEDD4L|AUTS2|RALGAPA2|MICAL3|EPS15L1|AHNAK|FAM53A,-1,0
1,-3.4,COVID243,M1,1,0,COVID,200,RNA_Riva_Vero-E6_24h_Up,,-3.4,3.2,4.3,30337,300,380,12,3.2,0.9,639|1969|5209|5909|7071|8553|9314|22904|57585|64359|92922|445815,PRDM1|EPHA2|PFKFB3|RAP1GAP|KLF10|BHLHE40|KLF4|SBNO2|CRAMP1|NXN|CCDC102A|PALM2AKAP2,-1,0
1,-3.4,COVID378,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_NSP7,,-3.4,3.2,4.3,30337,300,380,12,3.2,0.9,115|1523|2314|9612|9745|10603|55229|57584|85379|89796|113146|445815,ADCY9|CUX1|FLII|NCOR2|ZNF536|SH2B2|PANK4|ARHGAP21|KIAA1671|NAV1|AHNAK2|PALM2AKAP2,-1,0
1,-3.3,COVID298,M1,1,0,COVID,200,RNA_Wilk_NK-cells_patient-C5_Down,,-3.3,11,6.1,30337,29,380,4,1.1,0.52,3689|23499|51411|79026,ITGB2|MACF1|BIN2|AHNAK,-1,0
1,-3.1,COVID055,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_0h_Down,,-3.1,3.2,4.1,30337,277,380,11,2.9,0.86,2956|3801|4298|5595|9612|9922|10801|23499|79026|83879|147179,MSH6|KIFC3|MLLT1|MAPK3|NCOR2|IQSEC1|SEPTIN9|MACF1|AHNAK|CDCA7|WIPF2,-0.89,0
