_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-9.7,M39102,M1,1,0,Cell Type Signatures,7,ZHONG PFC C3 ASTROCYTE,,-9.7,4.9,8.8,30337,389,380,24,6.3,1.2,1759|1952|1953|3665|4784|5802|6595|7799|9612|9715|10458|10815|11033|23030|26053|26960|55684|57648|57666|65998|79805|116986|150726|494470,DNM1|CELSR2|MEGF6|IRF7|NFIX|PTPRS|SMARCA2|PRDM2|NCOR2|FAM131B|BAIAP2|CPLX1|ADAP1|KDM4B|AUTS2|NBEA|RABL6|NHSL3|FBRSL1|ZFTA|VASH2|AGAP2|FBXO41|ARK2C,-5.2,0
1,-8.7,M39039,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BRAIN ENDOTHELIAL 1,,-8.7,4.4,8,30337,440,380,24,6.3,1.2,1003|1953|2022|2034|3983|5998|6196|7171|8140|8519|8553|9314|10044|11156|23187|51090|54345|79026|79652|79661|79778|85379|134265|219699,CDH5|MEGF6|ENG|EPAS1|ABLIM1|RGS3|RPS6KA2|TPM4|SLC7A5|IFITM1|BHLHE40|KLF4|SH2D3C|PTP4A3|PHLDB1|PLLP|SOX18|AHNAK|TMEM204|NEIL1|MICALL2|KIAA1671|AFAP1L1|UNC5B,-4.8,0
1,-8.6,M40158,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL CEREBELLUM VASCULAR ENDOTHELIAL CELLS,,-8.6,3.7,7.6,30337,632,380,29,7.6,1.4,218|864|1003|1969|2022|2034|3090|3142|3339|5998|7071|8140|8519|8553|9314|10044|11156|26153|26468|53637|54345|79026|79652|85358|92922|134265|168002|219699|348645,ALDH3A1|RUNX3|CDH5|EPHA2|ENG|EPAS1|HIC1|HLX|HSPG2|RGS3|KLF10|SLC7A5|IFITM1|BHLHE40|KLF4|SH2D3C|PTP4A3|KIF26A|LHX6|S1PR5|SOX18|AHNAK|TMEM204|SHANK3|CCDC102A|AFAP1L1|DACT2|UNC5B|MIR3667HG,-4.8,0
1,-8.1,M40167,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL CEREBRUM VASCULAR ENDOTHELIAL CELLS,,-8.1,3.7,7.4,30337,585,380,27,7.1,1.3,218|864|1003|1953|1969|2034|3090|3315|5998|7071|8140|8291|8519|9314|10044|26153|53637|54345|55620|79026|79652|134265|150368|168002|219699|256364|399474,ALDH3A1|RUNX3|CDH5|MEGF6|EPHA2|EPAS1|HIC1|HSPB1|RGS3|KLF10|SLC7A5|DYSF|IFITM1|KLF4|SH2D3C|KIF26A|S1PR5|SOX18|STAP2|AHNAK|TMEM204|AFAP1L1|PHETA2|DACT2|UNC5B|EML3|TMEM200B,-4.4,0
1,-7.7,M39111,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C7 EPCAM POS BILE DUCT CELLS 2,,-7.7,5.8,8.1,30337,219,380,16,4.2,1,1969|1999|3801|3983|4782|5909|6382|6649|7171|7465|23327|23654|56937|57648|387882|647024,EPHA2|ELF3|KIFC3|ABLIM1|NFIC|RAP1GAP|SDC1|SOD3|TPM4|WEE1|NEDD4L|PLXNB2|PMEPA1|NHSL3|C12orf75|C6orf132,-4,0
1,-7.4,M39176,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ENDOTHELIAL CELL,,-7.4,4.4,7.4,30337,362,380,20,5.3,1.1,639|1003|1305|2034|3142|3216|4298|5154|8519|10044|23499|54345|56262|56937|57153|79652|85358|134265|153090|219699,PRDM1|CDH5|COL13A1|EPAS1|HLX|HOXB6|MLLT1|PDGFA|IFITM1|SH2D3C|MACF1|SOX18|LRRC8A|PMEPA1|SLC44A2|TMEM204|SHANK3|AFAP1L1|DAB2IP|UNC5B,-3.8,0
1,-7.1,M39104,M1,1,0,Cell Type Signatures,7,ZHONG PFC C3 MICROGLIA,,-7.1,3.8,6.9,30337,488,380,23,6.1,1.2,1759|1952|2817|3983|4062|4774|4784|5361|6595|10458|10815|11156|11332|23030|26960|55182|57593|65998|79058|89796|116988|153090|494470,DNM1|CELSR2|GPC1|ABLIM1|LY6H|NFIA|NFIX|PLXNA1|SMARCA2|BAIAP2|CPLX1|PTP4A3|ACOT7|KDM4B|NBEA|RNF220|EBF4|ZFTA|ASPSCR1|NAV1|AGAP3|DAB2IP|ARK2C,-3.6,0
1,-6.7,M39122,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C21 STELLATE CELLS 1,,-6.7,5.8,7.5,30337,194,380,14,3.7,0.97,2022|2034|3315|4035|4774|4784|6586|6649|7078|7171|9314|23254|79652|119587,ENG|EPAS1|HSPB1|LRP1|NFIA|NFIX|SLIT3|SOD3|TIMP3|TPM4|KLF4|KAZN|TMEM204|CPXM2,-3.3,0
1,-6.3,M39167,M1,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE ADULT CJ IMMUNE CELLS,,-6.3,3.5,6.3,30337,505,380,22,5.8,1.2,1003|1305|2022|3625|3801|4035|4053|5802|6196|7078|8642|9394|9828|9902|23180|51477|54345|57007|79652|85358|219654|101929378,CDH5|COL13A1|ENG|INHBB|KIFC3|LRP1|LTBP2|PTPRS|RPS6KA2|TIMP3|DCHS1|HS6ST1|ARHGEF17|MRC2|RFTN1|ISYNA1|SOX18|ACKR3|TMEM204|SHANK3|ZCCHC24|LINC01876,-3,0
1,-6.2,M41659,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG ALVEOLAR EPITHELIAL TYPE 1 CELL,,-6.2,3.9,6.5,30337,391,380,19,5,1.1,1312|1523|2621|3315|3339|3983|5154|5209|5590|6382|7078|7171|23136|23327|51090|54453|57224|64359|79026,COMT|CUX1|GAS6|HSPB1|HSPG2|ABLIM1|PDGFA|PFKFB3|PRKCZ|SDC1|TIMP3|TPM4|EPB41L3|NEDD4L|PLLP|RIN2|NHSL1|NXN|AHNAK,-3,0
