Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M39102,ZHONG PFC C3 ASTROCYTE,,-9.7,4.9,8.8,30337,389,380,24,6.3,1.2,1759|1952|1953|3665|4784|5802|6595|7799|9612|9715|10458|10815|11033|23030|26053|26960|55684|57648|57666|65998|79805|116986|150726|494470,DNM1|CELSR2|MEGF6|IRF7|NFIX|PTPRS|SMARCA2|PRDM2|NCOR2|FAM131B|BAIAP2|CPLX1|ADAP1|KDM4B|AUTS2|NBEA|RABL6|NHSL3|FBRSL1|ZFTA|VASH2|AGAP2|FBXO41|ARK2C,-5.2,MyList
DisGeNET,35,C0278876,Adult Medulloblastoma,,-9.1,3.5,7.7,30337,762,380,33,8.7,1.4,240|575|1003|1298|1523|1788|2034|2052|2672|2956|3090|3202|5048|5293|5395|5595|5605|6382|7078|7161|7465|7799|8019|8140|9314|23030|51343|55388|57007|83879|153090|219699|374569,ALOX5|ADGRB1|CDH5|COL9A2|CUX1|DNMT3A|EPAS1|EPHX1|GFI1|MSH6|HIC1|HOXA5|PAFAH1B1|PIK3CD|PMS2|MAPK3|MAP2K2|SDC1|TIMP3|TP73|WEE1|PRDM2|BRD3|SLC7A5|KLF4|KDM4B|FZR1|MCM10|ACKR3|CDCA7|DAB2IP|UNC5B|ASPG,-4.9,MyList
DisGeNET,35,C0278510,Childhood Medulloblastoma,,-9,3.4,7.7,30337,771,380,33,8.7,1.4,240|575|1003|1298|1523|1788|2034|2052|2672|2956|3090|3202|5048|5293|5395|5595|5605|6382|7078|7161|7465|7799|8019|8140|9314|23030|51343|55388|57007|83879|153090|219699|374569,ALOX5|ADGRB1|CDH5|COL9A2|CUX1|DNMT3A|EPAS1|EPHX1|GFI1|MSH6|HIC1|HOXA5|PAFAH1B1|PIK3CD|PMS2|MAPK3|MAP2K2|SDC1|TIMP3|TP73|WEE1|PRDM2|BRD3|SLC7A5|KLF4|KDM4B|FZR1|MCM10|ACKR3|CDCA7|DAB2IP|UNC5B|ASPG,-4.9,MyList
Cell Type Signatures,7,M39039,FAN EMBRYONIC CTX BRAIN ENDOTHELIAL 1,,-8.7,4.4,8,30337,440,380,24,6.3,1.2,1003|1953|2022|2034|3983|5998|6196|7171|8140|8519|8553|9314|10044|11156|23187|51090|54345|79026|79652|79661|79778|85379|134265|219699,CDH5|MEGF6|ENG|EPAS1|ABLIM1|RGS3|RPS6KA2|TPM4|SLC7A5|IFITM1|BHLHE40|KLF4|SH2D3C|PTP4A3|PHLDB1|PLLP|SOX18|AHNAK|TMEM204|NEIL1|MICALL2|KIAA1671|AFAP1L1|UNC5B,-4.8,MyList
Cell Type Signatures,7,M40158,DESCARTES FETAL CEREBELLUM VASCULAR ENDOTHELIAL CELLS,,-8.6,3.7,7.6,30337,632,380,29,7.6,1.4,218|864|1003|1969|2022|2034|3090|3142|3339|5998|7071|8140|8519|8553|9314|10044|11156|26153|26468|53637|54345|79026|79652|85358|92922|134265|168002|219699|348645,ALDH3A1|RUNX3|CDH5|EPHA2|ENG|EPAS1|HIC1|HLX|HSPG2|RGS3|KLF10|SLC7A5|IFITM1|BHLHE40|KLF4|SH2D3C|PTP4A3|KIF26A|LHX6|S1PR5|SOX18|AHNAK|TMEM204|SHANK3|CCDC102A|AFAP1L1|DACT2|UNC5B|MIR3667HG,-4.8,MyList
Cell Type Signatures,7,M40167,DESCARTES FETAL CEREBRUM VASCULAR ENDOTHELIAL CELLS,,-8.1,3.7,7.4,30337,585,380,27,7.1,1.3,218|864|1003|1953|1969|2034|3090|3315|5998|7071|8140|8291|8519|9314|10044|26153|53637|54345|55620|79026|79652|134265|150368|168002|219699|256364|399474,ALDH3A1|RUNX3|CDH5|MEGF6|EPHA2|EPAS1|HIC1|HSPB1|RGS3|KLF10|SLC7A5|DYSF|IFITM1|KLF4|SH2D3C|KIF26A|S1PR5|SOX18|STAP2|AHNAK|TMEM204|AFAP1L1|PHETA2|DACT2|UNC5B|EML3|TMEM200B,-4.4,MyList
Cell Type Signatures,7,M39111,AIZARANI LIVER C7 EPCAM POS BILE DUCT CELLS 2,,-7.7,5.8,8.1,30337,219,380,16,4.2,1,1969|1999|3801|3983|4782|5909|6382|6649|7171|7465|23327|23654|56937|57648|387882|647024,EPHA2|ELF3|KIFC3|ABLIM1|NFIC|RAP1GAP|SDC1|SOD3|TPM4|WEE1|NEDD4L|PLXNB2|PMEPA1|NHSL3|C12orf75|C6orf132,-4,MyList
DisGeNET,35,C0014772,Red Blood Cell Count measurement,,-7.4,3.2,6.8,30337,717,380,29,7.6,1.4,2034|2107|2621|4773|4774|4784|5581|5725|5771|5998|6886|8019|9922|10815|22904|23254|23499|25862|26053|51422|57597|57666|63976|79058|92922|114818|161882|254102|101928784,EPAS1|ETF1|GAS6|NFATC2|NFIA|NFIX|PRKCE|PTBP1|PTPN2|RGS3|TAL1|BRD3|IQSEC1|CPLX1|SBNO2|KAZN|MACF1|USP49|AUTS2|PRKAG2|BAHCC1|FBRSL1|PRDM16|ASPSCR1|CCDC102A|KLHL29|ZFPM1|EHBP1L1|RORA-AS1,-3.8,MyList
Cell Type Signatures,7,M39176,MURARO PANCREAS ENDOTHELIAL CELL,,-7.4,4.4,7.4,30337,362,380,20,5.3,1.1,639|1003|1305|2034|3142|3216|4298|5154|8519|10044|23499|54345|56262|56937|57153|79652|85358|134265|153090|219699,PRDM1|CDH5|COL13A1|EPAS1|HLX|HOXB6|MLLT1|PDGFA|IFITM1|SH2D3C|MACF1|SOX18|LRRC8A|PMEPA1|SLC44A2|TMEM204|SHANK3|AFAP1L1|DAB2IP|UNC5B,-3.8,MyList
Cell Type Signatures,7,M39104,ZHONG PFC C3 MICROGLIA,,-7.1,3.8,6.9,30337,488,380,23,6.1,1.2,1759|1952|2817|3983|4062|4774|4784|5361|6595|10458|10815|11156|11332|23030|26960|55182|57593|65998|79058|89796|116988|153090|494470,DNM1|CELSR2|GPC1|ABLIM1|LY6H|NFIA|NFIX|PLXNA1|SMARCA2|BAIAP2|CPLX1|PTP4A3|ACOT7|KDM4B|NBEA|RNF220|EBF4|ZFTA|ASPSCR1|NAV1|AGAP3|DAB2IP|ARK2C,-3.6,MyList
