Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
5154,3.0,1,1,1
5771,3.0,1,1,1
23526,3.0,1,1,1
2022,3.0,1,1,1
3665,3.0,1,1,1
54961,3.0,1,1,1
26053,3.0,1,1,1
9394,3.0,1,1,1
4774,3.0,1,1,1
22821,3.0,1,1,1
4773,3.0,1,1,1
5753,3.0,1,1,1
55229,3.0,1,1,1
5023,3.0,1,1,1
3985,3.0,1,1,1
2956,3.0,1,1,1
116988,3.0,1,1,1
5395,3.0,1,1,1
23396,3.0,1,1,1
2672,3.0,1,1,1
8642,3.0,1,1,1
2548,3.0,1,1,1
864,3.0,1,1,1
54453,3.0,1,1,1
8224,3.0,1,1,1
376497,3.0,1,1,1
4772,3.0,1,1,1
5590,3.0,1,1,1
11078,3.0,1,1,1
115,3.0,1,1,1
23180,3.0,1,1,1
5048,3.0,1,1,1
639,3.0,1,1,1
5361,3.0,1,1,1
23654,3.0,1,1,1
3559,3.0,1,1,1
1298,3.0,1,1,1
11033,3.0,1,1,1
22883,3.0,1,1,1
5802,3.0,1,1,1
56262,3.0,1,1,1
26119,3.0,1,1,1
10160,3.0,1,1,1
219699,3.0,1,1,1
10458,3.0,1,1,1
240,3.0,1,1,1
51764,3.0,1,1,1
8140,3.0,1,1,1
6586,3.0,1,1,1
9314,3.0,1,1,1
3983,3.0,1,1,1
4053,3.0,1,1,1
10815,3.0,1,1,1
1003,3.0,1,1,1
63976,3.0,1,1,1
1312,3.0,1,1,1
23499,3.0,1,1,1
1487,3.0,1,1,1
1759,3.0,1,1,1
5293,3.0,1,1,1
3202,3.0,1,1,1
1269,3.0,1,1,1
26960,3.0,1,1,1
342667,3.0,1,1,1
283129,3.0,1,1,1
23353,3.0,1,1,1
51411,3.0,1,1,1
2779,3.0,1,1,1
832,3.0,1,1,1
57007,3.0,1,1,1
4784,3.0,1,1,1
7161,3.0,1,1,1
9612,3.0,1,1,1
5209,3.0,1,1,1
51422,3.0,1,1,1
2034,3.0,1,1,1
1969,3.0,1,1,1
23327,3.0,1,1,1
8553,3.0,1,1,1
2052,3.0,1,1,1
2817,3.0,1,1,1
83481,3.0,1,1,1
3632,3.0,1,1,1
2049,3.0,1,1,1
53637,3.0,1,1,1
9651,3.0,1,1,1
339983,3.0,1,1,1
2395,3.0,1,1,1
148641,3.0,1,1,1
7171,3.0,1,1,1
342977,3.0,1,1,1
119391,3.0,1,1,1
7078,3.0,1,1,1
3689,3.0,1,1,1
9922,3.0,1,1,1
85358,3.0,1,1,1
81873,3.0,1,1,1
9319,3.0,1,1,1
3625,3.0,1,1,1
5605,3.0,1,1,1
5595,3.0,1,1,1
8291,3.0,1,1,1
23369,3.0,1,1,1
4035,3.0,1,1,1
1855,3.0,1,1,1
153090,3.0,1,1,1
57153,3.0,1,1,1
1305,3.0,1,1,1
3315,3.0,1,1,1
9469,3.0,1,1,1
58504,3.0,1,1,1
3339,3.0,1,1,1
23136,3.0,1,1,1
5578,3.0,1,1,1
4155,3.0,1,1,1
6886,3.0,1,1,1
6382,3.0,1,1,1
116986,3.0,1,1,1
2314,3.0,1,1,1
26153,3.0,1,1,1
6196,3.0,1,1,1
5581,3.0,1,1,1
4782,3.0,1,1,1
575,3.0,1,1,1
3187,2.0,1,0,1
84628,2.0,1,1,0
23174,2.0,1,0,1
83648,2.0,1,0,1
22904,2.0,1,1,0
3801,2.0,1,0,1
57553,2.0,1,1,0
256364,2.0,1,0,1
23352,2.0,1,0,1
10043,2.0,1,0,1
399693,2.0,1,0,1
57710,2.0,1,0,1
5909,2.0,1,1,0
57666,2.0,1,0,1
9963,2.0,1,1,0
51252,2.0,1,1,0
64090,2.0,1,0,1
285498,2.0,1,1,0
57186,2.0,1,1,0
3216,2.0,1,0,1
65244,2.0,1,0,1
84808,2.0,1,1,0
84869,2.0,1,0,1
5133,2.0,1,1,0
3090,2.0,1,0,1
3955,2.0,1,1,0
150209,2.0,1,0,1
79890,2.0,1,0,1
647024,2.0,1,0,1
435,2.0,1,0,1
113146,2.0,1,0,1
85452,2.0,1,0,1
6573,2.0,1,1,0
92922,2.0,1,0,1
10044,2.0,1,0,1
389337,2.0,1,0,1
1523,2.0,1,1,0
9524,2.0,1,0,1
254102,2.0,1,0,1
84256,2.0,1,0,1
22859,2.0,1,0,1
57622,2.0,1,0,1
9828,2.0,1,0,1
27156,2.0,1,0,1
51343,2.0,1,0,1
58513,2.0,1,0,1
5493,2.0,1,0,1
57585,2.0,1,0,1
57501,2.0,1,0,1
6650,2.0,1,0,1
55620,2.0,1,0,1
29933,2.0,1,0,1
55182,2.0,1,0,1
10603,2.0,1,1,0
11156,2.0,1,0,1
79719,2.0,1,0,1
79026,2.0,1,0,1
1677,2.0,1,0,1
7022,2.0,1,1,0
285989,2.0,1,0,1
2621,2.0,1,1,0
25862,2.0,1,0,1
161882,2.0,1,1,0
100302652,2.0,1,0,1
56937,2.0,1,1,0
7465,2.0,1,0,1
202333,2.0,1,0,1
7799,2.0,1,0,1
5725,2.0,1,0,1
1572,2.0,1,0,1
9620,2.0,1,1,0
886,2.0,1,0,1
6452,2.0,1,0,1
7434,2.0,1,0,1
218,2.0,1,0,1
6533,2.0,1,1,0
10636,2.0,1,0,1
379,2.0,1,0,1
284207,2.0,1,1,0
9228,2.0,1,0,1
1609,2.0,1,1,0
23498,2.0,1,0,1
64359,2.0,1,0,1
57418,2.0,1,0,1
8019,2.0,1,0,1
57593,2.0,1,1,0
9516,2.0,1,0,1
1788,2.0,1,0,1
1999,2.0,1,0,1
114781,2.0,1,0,1
11187,2.0,1,0,1
10801,2.0,1,0,1
284422,2.0,1,0,1
57224,2.0,1,0,1
2862,2.0,1,0,1
3200,2.0,1,1,0
5799,2.0,1,1,0
85379,2.0,1,0,1
147179,2.0,1,0,1
137362,2.0,1,0,1
58492,2.0,1,0,1
26147,2.0,1,0,1
5998,2.0,1,0,1
164045,2.0,1,1,0
143187,2.0,1,0,1
9715,2.0,1,0,1
8519,2.0,1,1,0
51084,2.0,1,0,1
26468,2.0,1,1,0
57597,2.0,1,0,1
6595,2.0,1,0,1
130497,2.0,1,1,0
80213,2.0,1,0,1
23254,2.0,1,0,1
57648,2.0,1,0,1
152877,2.0,1,1,0
1434,2.0,1,0,1
11332,2.0,1,0,1
406984,2.0,1,1,0
79778,2.0,1,1,0
374655,2.0,1,0,1
1952,2.0,1,1,0
494470,2.0,1,0,1
64506,2.0,1,0,1
7071,2.0,1,0,1
64375,2.0,1,0,1
51477,2.0,1,1,0
147687,2.0,1,0,1
3142,2.0,1,1,0
90120,2.0,1,0,1
50619,2.0,1,0,1
79058,2.0,1,0,1
54897,1.0,1,0,0
220064,1.0,1,0,0
114796,1.0,1,0,0
105375894,1.0,1,0,0
207147,1.0,1,0,0
146664,1.0,1,0,0
101928710,1.0,1,0,0
149134,1.0,1,0,0
119587,1.0,1,0,0
730971,1.0,1,0,0
150368,1.0,1,0,0
105372645,1.0,1,0,0
285095,1.0,1,0,0
55388,1.0,1,0,0
127379750,1.0,1,0,0
26102,1.0,1,0,0
84875,1.0,1,0,0
100128126,1.0,1,0,0
80305,1.0,1,0,0
100996485,1.0,1,0,0
9830,1.0,1,0,0
57584,1.0,1,0,0
100874185,1.0,1,0,0
401561,1.0,1,0,0
65250,1.0,1,0,0
124903564,1.0,1,0,0
200931,1.0,1,0,0
124903692,1.0,1,0,0
101928573,1.0,1,0,0
9536,1.0,1,0,0
145748,1.0,1,0,0
154822,1.0,1,0,0
348645,1.0,1,0,0
157697,1.0,1,0,0
284186,1.0,1,0,0
23030,1.0,1,0,0
102724489,1.0,1,0,0
84627,1.0,1,0,0
79990,1.0,1,0,0
445815,1.0,1,0,0
101929378,1.0,1,0,0
100132987,1.0,1,0,0
28968,1.0,1,0,0
105372955,1.0,1,0,0
503834,1.0,1,0,0
101929511,1.0,1,0,0
101059948,1.0,1,0,0
23187,1.0,1,0,0
102465472,1.0,1,0,0
440051,1.0,1,0,0
55684,1.0,1,0,0
168002,1.0,1,0,0
102060414,1.0,1,0,0
924,1.0,1,0,0
100130449,1.0,1,0,0
102723985,1.0,1,0,0
112268234,1.0,1,0,0
65998,1.0,1,0,0
54965,1.0,1,0,0
103344928,1.0,1,0,0
201191,1.0,1,0,0
100616150,1.0,1,0,0
731223,1.0,1,0,0
401303,1.0,1,0,0
9745,1.0,1,0,0
201176,1.0,1,0,0
100420587,1.0,1,0,0
4298,1.0,1,0,0
90427,1.0,1,0,0
114818,1.0,1,0,0
105,1.0,1,0,0
105370689,1.0,1,0,0
100874362,1.0,1,0,0
79652,1.0,1,0,0
105371018,1.0,1,0,0
1953,1.0,1,0,0
124902773,1.0,1,0,0
100996324,1.0,1,0,0
128462377,1.0,1,0,0
102465879,1.0,1,0,0
374569,1.0,1,0,0
107985343,1.0,1,0,0
150726,1.0,1,0,0
101927050,1.0,1,0,0
83879,1.0,1,0,0
89958,1.0,1,0,0
100874309,1.0,1,0,0
7260,1.0,1,0,0
79805,1.0,1,0,0
221472,1.0,1,0,0
105369584,1.0,1,0,0
105370854,1.0,1,0,0
101929406,1.0,1,0,0
442497,1.0,1,0,0
6649,1.0,1,0,0
161502,1.0,1,0,0
89796,1.0,1,0,0
100861552,1.0,1,0,0
201305,1.0,1,0,0
170691,1.0,1,0,0
105373878,1.0,1,0,0
