Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-6798695,Neutrophil degranulation,,-57,12,28,30337,479,400,75,19,2,101|240|383|719|728|820|929|963|978|1084|1118|1378|2204|2207|2212|2215|2219|2268|2352|2357|2358|3101|3240|3310|3577|3579|3684|3687|3689|4311|4317|4318|4332|4973|5023|5265|5328|5329|5473|5788|5806|6279|6280|6283|6402|6515|6556|7130|7133|8778|8972|8993|9535|10288|10326|11240|11314|22918|23601|25797|27180|53831|56729|57126|64333|64386|79930|84658|126014|140885|150372|199675|222487|338339|100049587,ADAM8|ALOX5|ARG1|C3AR1|C5AR1|CAMP|CD14|CD53|CDA|CEACAM3|CHIT1|CR1|FCAR|FCER1G|FCGR2A|FCGR3B|FCN1|FGR|FOLR3|FPR1|FPR2|HK3|HP|HSPA6|CXCR1|CXCR2|ITGAM|ITGAX|ITGB2|MME|MMP8|MMP9|MNDA|OLR1|P2RX1|SERPINA1|PLAU|PLAUR|PPBP|PTPRC|PTX3|S100A8|S100A9|S100A12|SELL|SLC2A3|SLC11A1|TNFAIP6|TNFRSF1B|SIGLEC5|MGAM|PGLYRP1|GMFG|LILRB2|SIRPB1|PADI2|CD300A|CD93|CLEC5A|QPCT|SIGLEC9|GPR84|RETN|CD177|ARHGAP9|MMP25|DOK3|ADGRE3|OSCAR|SIRPA|NFAM1|MCEMP1|ADGRG3|CLEC4D|SIGLEC14,-53,DEGs
GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-45,9.2,23,30337,579,400,70,18,1.9,101|133|240|241|654|719|728|929|1230|1903|2212|2215|2353|2357|2358|2529|2687|2865|2867|3055|3162|3240|3552|3553|3557|3576|3579|3586|3656|3684|3689|3868|4210|4973|5023|5265|5473|5806|6279|6280|6283|6347|6354|6364|6374|6556|7099|7130|7133|7852|8807|8809|9051|9173|9473|9839|23135|30817|51311|57817|58484|60675|64386|64581|79931|81793|84651|114548|150372|171389,ADAM8|ADM|ALOX5|ALOX5AP|BMP6|C3AR1|C5AR1|CD14|CCR1|S1PR3|FCGR2A|FCGR3B|FOS|FPR1|FPR2|FUT7|GGT5|FFAR3|FFAR2|HCK|HMOX1|HP|IL1A|IL1B|IL1RN|CXCL8|CXCR2|IL10|IRAK2|ITGAM|ITGB2|KRT16|MEFV|OLR1|P2RX1|SERPINA1|PPBP|PTX3|S100A8|S100A9|S100A12|CCL2|CCL7|CCL20|CXCL5|SLC11A1|TLR4|TNFAIP6|TNFRSF1B|CXCR4|IL18RAP|IL18R1|PSTPIP1|IL1RL1|THEMIS2|ZEB2|KDM6B|ADGRE2|TLR8|HAMP|NLRC4|PROK2|MMP25|CLEC7A|TNIP3|TLR10|SPINK7|NLRP3|NFAM1|NLRP6,-41,DEGs
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-32,7.6,18,30337,572,400,57,14,1.7,101|241|383|654|719|728|838|929|1230|1268|1901|2069|2219|2316|2358|2828|2865|2867|3055|3553|3576|3656|4210|4317|4332|5008|5138|5328|5650|5743|5880|6279|6280|6283|6354|6573|6688|7056|7099|7852|8740|8807|9173|11027|25818|26253|51311|58484|64581|79931|81793|91662|114548|115727|171389|285852|353514,ADAM8|ALOX5AP|ARG1|BMP6|C3AR1|C5AR1|CASP5|CD14|CCR1|CNR1|S1PR1|EREG|FCN1|FLNA|FPR2|GPR4|FFAR3|FFAR2|HCK|IL1B|CXCL8|IRAK2|MEFV|MMP8|MNDA|OSM|PDE2A|PLAU|KLK7|PTGS2|RAC2|S100A8|S100A9|S100A12|CCL7|SLC19A1|SPI1|THBD|TLR4|CXCR4|TNFSF14|IL18RAP|IL1RL1|LILRA2|KLK5|CLEC4E|TLR8|NLRC4|CLEC7A|TNIP3|TLR10|NLRP12|NLRP3|RASGRP4|NLRP6|TREML4|LILRA5,-28,DEGs
GO Biological Processes,19,GO:0002764,immune response-regulating signaling pathway,19_GO:0002376 immune system process,-27,8.6,17,30337,387,400,44,11,1.6,719|728|929|1378|2204|2207|2212|2215|2219|2268|2357|2358|2867|3055|3656|3684|3937|4210|4332|5142|5788|7099|7462|9437|9473|10288|10603|11024|11025|11027|26253|51311|58484|64581|79168|79931|81793|114548|126014|150372|171389|284415|338339|353514,C3AR1|C5AR1|CD14|CR1|FCAR|FCER1G|FCGR2A|FCGR3B|FCN1|FGR|FPR1|FPR2|FFAR2|HCK|IRAK2|ITGAM|LCP2|MEFV|MNDA|PDE4B|PTPRC|TLR4|LAT2|NCR1|THEMIS2|LILRB2|SH2B2|LILRA1|LILRB3|LILRA2|CLEC4E|TLR8|NLRC4|CLEC7A|LILRA6|TNIP3|TLR10|NLRP3|OSCAR|NFAM1|NLRP6|VSTM1|CLEC4D|LILRA5,-24,DEGs
GO Biological Processes,19,GO:0009617,response to bacterium,19_GO:0044419 biological process involved in interspecies interaction between organisms,-27,6.1,16,30337,713,400,57,14,1.7,133|722|728|820|929|944|1118|1268|1439|2207|2268|2353|2358|3055|3240|3552|3553|3576|3586|3656|3684|3853|4317|4318|5142|5473|5743|6279|6280|6283|6347|6364|6374|6406|6556|6700|7056|7099|7133|7538|8140|8993|10288|10804|26253|54210|57817|58484|79931|81793|114548|114771|115727|140885|171389|199713|338339,ADM|C4BPA|C5AR1|CAMP|CD14|TNFSF8|CHIT1|CNR1|CSF2RB|FCER1G|FGR|FOS|FPR2|HCK|HP|IL1A|IL1B|CXCL8|IL10|IRAK2|ITGAM|KRT6A|MMP8|MMP9|PDE4B|PPBP|PTGS2|S100A8|S100A9|S100A12|CCL2|CCL20|CXCL5|SEMG1|SLC11A1|SPRR2A|THBD|TLR4|TNFRSF1B|ZFP36|SLC7A5|PGLYRP1|LILRB2|GJB6|CLEC4E|TREM1|HAMP|NLRC4|TNIP3|TLR10|NLRP3|PGLYRP3|RASGRP4|SIRPA|NLRP6|NLRP7|CLEC4D,-24,DEGs
GO Biological Processes,19,GO:0050900,leukocyte migration,19_GO:0002376 immune system process,-26,11,18,30337,244,400,36,9,1.4,101|240|728|1230|1441|1901|2207|2321|2529|2867|3055|3383|3553|3576|3577|3579|3586|3689|5142|5473|6279|6280|6283|6347|6354|6364|6374|6402|7852|8740|30817|54210|57126|57580|91662|140885,ADAM8|ALOX5|C5AR1|CCR1|CSF3R|S1PR1|FCER1G|FLT1|FUT7|FFAR2|HCK|ICAM1|IL1B|CXCL8|CXCR1|CXCR2|IL10|ITGB2|PDE4B|PPBP|S100A8|S100A9|S100A12|CCL2|CCL7|CCL20|CXCL5|SELL|CXCR4|TNFSF14|ADGRE2|TREM1|CD177|PREX1|NLRP12|SIRPA,-23,DEGs
GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-26,9,17,30337,344,400,41,10,1.5,101|240|719|728|1230|1441|1839|1901|1960|2207|2321|2357|2358|2867|3553|3576|3577|3579|3586|3689|4046|5142|5328|5329|5473|5880|6279|6280|6283|6347|6354|6364|6374|7852|8740|10501|30817|54210|57580|60675|146225,ADAM8|ALOX5|C3AR1|C5AR1|CCR1|CSF3R|HBEGF|S1PR1|EGR3|FCER1G|FLT1|FPR1|FPR2|FFAR2|IL1B|CXCL8|CXCR1|CXCR2|IL10|ITGB2|LSP1|PDE4B|PLAU|PLAUR|PPBP|RAC2|S100A8|S100A9|S100A12|CCL2|CCL7|CCL20|CXCL5|CXCR4|TNFSF14|SEMA6B|ADGRE2|TREM1|PREX1|PROK2|CMTM2,-23,DEGs
GO Biological Processes,19,GO:0040011,locomotion,19_GO:0040011 locomotion,-26,8.7,17,30337,366,400,42,10,1.5,101|240|719|728|1230|1441|1839|1901|1960|2207|2321|2357|2358|2867|3553|3576|3577|3579|3586|3689|4046|5142|5328|5329|5473|5880|6279|6280|6283|6324|6347|6354|6364|6374|7852|8740|10501|30817|54210|57580|60675|146225,ADAM8|ALOX5|C3AR1|C5AR1|CCR1|CSF3R|HBEGF|S1PR1|EGR3|FCER1G|FLT1|FPR1|FPR2|FFAR2|IL1B|CXCL8|CXCR1|CXCR2|IL10|ITGB2|LSP1|PDE4B|PLAU|PLAUR|PPBP|RAC2|S100A8|S100A9|S100A12|SCN1B|CCL2|CCL7|CCL20|CXCL5|CXCR4|TNFSF14|SEMA6B|ADGRE2|TREM1|PREX1|PROK2|CMTM2,-23,DEGs
GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-26,9,17,30337,346,400,41,10,1.5,101|240|719|728|1230|1441|1839|1901|1960|2207|2321|2357|2358|2867|3553|3576|3577|3579|3586|3689|4046|5142|5328|5329|5473|5880|6279|6280|6283|6347|6354|6364|6374|7852|8740|10501|30817|54210|57580|60675|146225,ADAM8|ALOX5|C3AR1|C5AR1|CCR1|CSF3R|HBEGF|S1PR1|EGR3|FCER1G|FLT1|FPR1|FPR2|FFAR2|IL1B|CXCL8|CXCR1|CXCR2|IL10|ITGB2|LSP1|PDE4B|PLAU|PLAUR|PPBP|RAC2|S100A8|S100A9|S100A12|CCL2|CCL7|CCL20|CXCL5|CXCR4|TNFSF14|SEMA6B|ADGRE2|TREM1|PREX1|PROK2|CMTM2,-23,DEGs
GO Biological Processes,19,GO:0031349,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-25,7.7,16,30337,436,400,44,11,1.6,101|241|383|838|929|1268|2069|2219|2358|2828|2865|2867|3055|3553|3656|4210|4317|4332|5008|5138|5650|5743|6279|6280|6283|6573|6688|7099|8807|9173|11027|25818|26253|51311|58484|64581|79931|81793|91662|114548|115727|171389|285852|353514,ADAM8|ALOX5AP|ARG1|CASP5|CD14|CNR1|EREG|FCN1|FPR2|GPR4|FFAR3|FFAR2|HCK|IL1B|IRAK2|MEFV|MMP8|MNDA|OSM|PDE2A|KLK7|PTGS2|S100A8|S100A9|S100A12|SLC19A1|SPI1|TLR4|IL18RAP|IL1RL1|LILRA2|KLK5|CLEC4E|TLR8|NLRC4|CLEC7A|TNIP3|TLR10|NLRP12|NLRP3|RASGRP4|NLRP6|TREML4|LILRA5,-22,DEGs
