_MEMBER_DEGs,_MEMBER_DMRs,_LogP_DEGs,_LogP_DMRs,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,0,-57.08154622053995,0.0,R-HSA-6798695,M10,1,0,Reactome Gene Sets,6,Neutrophil degranulation,,-57.08154622053995,11.875130480167014,27.73172539084945,30337,479,400,75,18.75,1.9515618744994994,101|240|383|719|728|820|929|963|978|1084|1118|1378|2204|2207|2212|2215|2219|2268|2352|2357|2358|3101|3240|3310|3577|3579|3684|3687|3689|4311|4317|4318|4332|4973|5023|5265|5328|5329|5473|5788|5806|6279|6280|6283|6402|6515|6556|7130|7133|8778|8972|8993|9535|10288|10326|11240|11314|22918|23601|25797|27180|53831|56729|57126|64333|64386|79930|84658|126014|140885|150372|199675|222487|338339|100049587,ADAM8|ALOX5|ARG1|C3AR1|C5AR1|CAMP|CD14|CD53|CDA|CEACAM3|CHIT1|CR1|FCAR|FCER1G|FCGR2A|FCGR3B|FCN1|FGR|FOLR3|FPR1|FPR2|HK3|HP|HSPA6|CXCR1|CXCR2|ITGAM|ITGAX|ITGB2|MME|MMP8|MMP9|MNDA|OLR1|P2RX1|SERPINA1|PLAU|PLAUR|PPBP|PTPRC|PTX3|S100A8|S100A9|S100A12|SELL|SLC2A3|SLC11A1|TNFAIP6|TNFRSF1B|SIGLEC5|MGAM|PGLYRP1|GMFG|LILRB2|SIRPB1|PADI2|CD300A|CD93|CLEC5A|QPCT|SIGLEC9|GPR84|RETN|CD177|ARHGAP9|MMP25|DOK3|ADGRE3|OSCAR|SIRPA|NFAM1|MCEMP1|ADGRG3|CLEC4D|SIGLEC14,-52.737134295965404,0,1,1,1,-57.08154622053995,11.875130480167014,
1,0,-45.33520680982095,0.0,GO:0006954,M10,1,0,GO Biological Processes,19,inflammatory response,19_GO:0050896 response to stimulus,-45.33520680982095,9.169214162348876,22.941547451156698,30337,579,400,70,17.5,1.899835519196333,101|133|240|241|654|719|728|929|1230|1903|2212|2215|2353|2357|2358|2529|2687|2865|2867|3055|3162|3240|3552|3553|3557|3576|3579|3586|3656|3684|3689|3868|4210|4973|5023|5265|5473|5806|6279|6280|6283|6347|6354|6364|6374|6556|7099|7130|7133|7852|8807|8809|9051|9173|9473|9839|23135|30817|51311|57817|58484|60675|64386|64581|79931|81793|84651|114548|150372|171389,ADAM8|ADM|ALOX5|ALOX5AP|BMP6|C3AR1|C5AR1|CD14|CCR1|S1PR3|FCGR2A|FCGR3B|FOS|FPR1|FPR2|FUT7|GGT5|FFAR3|FFAR2|HCK|HMOX1|HP|IL1A|IL1B|IL1RN|CXCL8|CXCR2|IL10|IRAK2|ITGAM|ITGB2|KRT16|MEFV|OLR1|P2RX1|SERPINA1|PPBP|PTX3|S100A8|S100A9|S100A12|CCL2|CCL7|CCL20|CXCL5|SLC11A1|TLR4|TNFAIP6|TNFRSF1B|CXCR4|IL18RAP|IL18R1|PSTPIP1|IL1RL1|THEMIS2|ZEB2|KDM6B|ADGRE2|TLR8|HAMP|NLRC4|PROK2|MMP25|CLEC7A|TNIP3|TLR10|SPINK7|NLRP3|NFAM1|NLRP6,-41.29182488091039,0,2,1,1,-45.33520680982095,9.169214162348876,
1,0,-32.16549950333854,0.0,GO:0032103,M10,1,0,GO Biological Processes,19,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-32.16549950333854,7.557731643356643,18.302218093287454,30337,572,400,57,14.25,1.7478111311008409,101|241|383|654|719|728|838|929|1230|1268|1901|2069|2219|2316|2358|2828|2865|2867|3055|3553|3576|3656|4210|4317|4332|5008|5138|5328|5650|5743|5880|6279|6280|6283|6354|6573|6688|7056|7099|7852|8740|8807|9173|11027|25818|26253|51311|58484|64581|79931|81793|91662|114548|115727|171389|285852|353514,ADAM8|ALOX5AP|ARG1|BMP6|C3AR1|C5AR1|CASP5|CD14|CCR1|CNR1|S1PR1|EREG|FCN1|FLNA|FPR2|GPR4|FFAR3|FFAR2|HCK|IL1B|CXCL8|IRAK2|MEFV|MMP8|MNDA|OSM|PDE2A|PLAU|KLK7|PTGS2|RAC2|S100A8|S100A9|S100A12|CCL7|SLC19A1|SPI1|THBD|TLR4|CXCR4|TNFSF14|IL18RAP|IL1RL1|LILRA2|KLK5|CLEC4E|TLR8|NLRC4|CLEC7A|TNIP3|TLR10|NLRP12|NLRP3|RASGRP4|NLRP6|TREML4|LILRA5,-28.298208833483653,0,2,0,0,-45.33520680982095,9.169214162348876,
1,0,-27.16760793429054,0.0,GO:0002764,M10,1,0,GO Biological Processes,19,immune response-regulating signaling pathway,19_GO:0002376 immune system process,-27.16760793429054,8.622919896640827,17.44550076147458,30337,387,400,44,11.0,1.5644487847162016,719|728|929|1378|2204|2207|2212|2215|2219|2268|2357|2358|2867|3055|3656|3684|3937|4210|4332|5142|5788|7099|7462|9437|9473|10288|10603|11024|11025|11027|26253|51311|58484|64581|79168|79931|81793|114548|126014|150372|171389|284415|338339|353514,C3AR1|C5AR1|CD14|CR1|FCAR|FCER1G|FCGR2A|FCGR3B|FCN1|FGR|FPR1|FPR2|FFAR2|HCK|IRAK2|ITGAM|LCP2|MEFV|MNDA|PDE4B|PTPRC|TLR4|LAT2|NCR1|THEMIS2|LILRB2|SH2B2|LILRA1|LILRB3|LILRA2|CLEC4E|TLR8|NLRC4|CLEC7A|LILRA6|TNIP3|TLR10|NLRP3|OSCAR|NFAM1|NLRP6|VSTM1|CLEC4D|LILRA5,-23.5079015629159,0,2,0,0,-45.33520680982095,9.169214162348876,
1,0,-25.009319650830317,0.0,GO:0031349,M10,1,0,GO Biological Processes,19,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-25.009319650830317,7.6538302752293585,16.176222865979067,30337,436,400,44,11.0,1.5644487847162016,101|241|383|838|929|1268|2069|2219|2358|2828|2865|2867|3055|3553|3656|4210|4317|4332|5008|5138|5650|5743|6279|6280|6283|6573|6688|7099|8807|9173|11027|25818|26253|51311|58484|64581|79931|81793|91662|114548|115727|171389|285852|353514,ADAM8|ALOX5AP|ARG1|CASP5|CD14|CNR1|EREG|FCN1|FPR2|GPR4|FFAR3|FFAR2|HCK|IL1B|IRAK2|MEFV|MMP8|MNDA|OSM|PDE2A|KLK7|PTGS2|S100A8|S100A9|S100A12|SLC19A1|SPI1|TLR4|IL18RAP|IL1RL1|LILRA2|KLK5|CLEC4E|TLR8|NLRC4|CLEC7A|TNIP3|TLR10|NLRP12|NLRP3|RASGRP4|NLRP6|TREML4|LILRA5,-21.66490772625577,0,2,0,0,-45.33520680982095,9.169214162348876,
1,0,-22.483543149813272,0.0,GO:0050778,M10,1,0,GO Biological Processes,19,positive regulation of immune response,19_GO:0002376 immune system process,-22.483543149813272,5.668348281016442,14.113579943020907,30337,669,400,50,12.5,1.6535945694153693,101|719|722|728|929|1268|1378|2069|2207|2219|2268|2357|2358|2867|3055|3142|3553|3586|3656|3684|3689|3937|4210|4332|5142|5650|5788|6556|6573|6688|7099|7462|8807|8809|9473|10603|11027|25818|26253|51311|57126|58484|64581|79931|81793|114548|115727|150372|171389|285852,ADAM8|C3AR1|C4BPA|C5AR1|CD14|CNR1|CR1|EREG|FCER1G|FCN1|FGR|FPR1|FPR2|FFAR2|HCK|HLX|IL1B|IL10|IRAK2|ITGAM|ITGB2|LCP2|MEFV|MNDA|PDE4B|KLK7|PTPRC|SLC11A1|SLC19A1|SPI1|TLR4|LAT2|IL18RAP|IL18R1|THEMIS2|SH2B2|LILRA2|KLK5|CLEC4E|TLR8|CD177|NLRC4|CLEC7A|TNIP3|TLR10|NLRP3|RASGRP4|NFAM1|NLRP6|TREML4,-19.285259260916963,0,2,0,0,-45.33520680982095,9.169214162348876,
1,0,-18.100577781110317,0.0,GO:0002757,M10,1,0,GO Biological Processes,19,immune response-activating signaling pathway,19_GO:0002376 immune system process,-18.100577781110317,7.560623052959501,13.659229698199354,30337,321,400,32,8.0,1.3564659966250536,719|728|929|1378|2207|2219|2268|2357|2358|2867|3055|3656|3684|3937|4210|4332|5142|5788|7099|7462|9473|10603|11027|26253|51311|58484|64581|79931|81793|114548|150372|171389,C3AR1|C5AR1|CD14|CR1|FCER1G|FCN1|FGR|FPR1|FPR2|FFAR2|HCK|IRAK2|ITGAM|LCP2|MEFV|MNDA|PDE4B|PTPRC|TLR4|LAT2|THEMIS2|SH2B2|LILRA2|CLEC4E|TLR8|NLRC4|CLEC7A|TNIP3|TLR10|NLRP3|NFAM1|NLRP6,-15.171139204506588,0,2,0,0,-45.33520680982095,9.169214162348876,
1,0,-17.746576980587026,0.0,GO:0002768,M10,1,0,GO Biological Processes,19,immune response-regulating cell surface receptor signaling pathway,19_GO:0002376 immune system process,-17.746576980587026,8.039840989399293,13.75339579479899,30337,283,400,30,7.5,1.3169567191065923,719|728|929|1378|2207|2212|2215|2219|2268|2357|2358|2867|3055|3656|3684|3937|4332|5142|5788|7099|7462|9473|10288|10603|11027|26253|64581|79931|150372|338339,C3AR1|C5AR1|CD14|CR1|FCER1G|FCGR2A|FCGR3B|FCN1|FGR|FPR1|FPR2|FFAR2|HCK|IRAK2|ITGAM|LCP2|MNDA|PDE4B|PTPRC|TLR4|LAT2|THEMIS2|LILRB2|SH2B2|LILRA2|CLEC4E|CLEC7A|TNIP3|NFAM1|CLEC4D,-14.879286310732141,0,2,0,0,-45.33520680982095,9.169214162348876,
1,0,-16.597657877630738,0.0,GO:0002253,M10,1,0,GO Biological Processes,19,activation of immune response,19_GO:0002376 immune system process,-16.597657877630738,6.467189922480621,12.511985859616829,30337,387,400,33,8.25,1.375624858019075,719|722|728|929|1378|2207|2219|2268|2357|2358|2867|3055|3656|3684|3937|4210|4332|5142|5788|7099|7462|9473|10603|11027|26253|51311|58484|64581|79931|81793|114548|150372|171389,C3AR1|C4BPA|C5AR1|CD14|CR1|FCER1G|FCN1|FGR|FPR1|FPR2|FFAR2|HCK|IRAK2|ITGAM|LCP2|MEFV|MNDA|PDE4B|PTPRC|TLR4|LAT2|THEMIS2|SH2B2|LILRA2|CLEC4E|TLR8|NLRC4|CLEC7A|TNIP3|TLR10|NLRP3|NFAM1|NLRP6,-13.833029549673002,0,2,0,0,-45.33520680982095,9.169214162348876,
1,1,-15.383173788938414,-2.1249188902286296,GO:0002831,M11,2,0,GO Biological Processes,19,regulation of response to biotic stimulus,19_GO:0050896 response to stimulus,-15.549812733941572,3.9732844729196235,10.657688895479211,30337,543,689,49,7.111756168359942,0.9791724691252668,101|383|654|929|1378|2069|2219|2268|2358|2672|2867|3055|3553|3656|3665|4210|4332|5133|5578|5581|5595|5650|5771|5802|6279|6280|6573|6688|7099|8807|9437|11027|11314|23180|23369|25818|26253|51311|58484|64581|79931|81793|114548|115727|153090|171389|285852|406984|653361,ADAM8|ARG1|BMP6|CD14|CR1|EREG|FCN1|FGR|FPR2|GFI1|FFAR2|HCK|IL1B|IRAK2|IRF7|MEFV|MNDA|PDCD1|PRKCA|PRKCE|MAPK3|KLK7|PTPN2|PTPRS|S100A8|S100A9|SLC19A1|SPI1|TLR4|IL18RAP|NCR1|LILRA2|CD300A|RFTN1|PUM2|KLK5|CLEC4E|TLR8|NLRC4|CLEC7A|TNIP3|TLR10|NLRP3|RASGRP4|DAB2IP|NLRP6|TREML4|MIR200B|NCF1,-12.652558840709245,0,2,0,0,-45.33520680982095,9.169214162348876,
