Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
DEGs,Reactome Gene Sets,6,R-HSA-6798695,Neutrophil degranulation,,-55,15,29,30337,479,254,62,24,2.7,101|240|383|719|728|820|929|963|978|1378|2204|2207|2212|2215|2219|2268|2357|2358|3101|3240|3310|3577|3579|3684|3687|3689|4311|4317|4318|4973|5265|5328|5329|5473|5788|5806|6279|6280|6402|6515|6556|7130|7133|8778|8972|8993|10288|10326|11314|22918|27180|53831|56729|57126|64333|64386|84658|126014|140885|222487|338339|100049587,ADAM8|ALOX5|ARG1|C3AR1|C5AR1|CAMP|CD14|CD53|CDA|CR1|FCAR|FCER1G|FCGR2A|FCGR3B|FCN1|FGR|FPR1|FPR2|HK3|HP|HSPA6|CXCR1|CXCR2|ITGAM|ITGAX|ITGB2|MME|MMP8|MMP9|OLR1|SERPINA1|PLAU|PLAUR|PPBP|PTPRC|PTX3|S100A8|S100A9|SELL|SLC2A3|SLC11A1|TNFAIP6|TNFRSF1B|SIGLEC5|MGAM|PGLYRP1|LILRB2|SIRPB1|CD300A|CD93|SIGLEC9|GPR84|RETN|CD177|ARHGAP9|MMP25|ADGRE3|OSCAR|SIRPA|ADGRG3|CLEC4D|SIGLEC14,-50
DEGs,GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-48,13,26,30337,579,254,61,24,2.7,101|133|240|241|654|719|728|929|1230|1903|2212|2215|2353|2357|2358|2865|2867|3055|3162|3240|3552|3553|3557|3576|3579|3586|3656|3684|3689|3868|4210|4973|5265|5473|5806|6279|6280|6347|6354|6364|6374|6556|7099|7130|7133|7852|8807|8809|9051|9173|9839|23135|30817|51311|58484|60675|64386|64581|81793|114548|171389,ADAM8|ADM|ALOX5|ALOX5AP|BMP6|C3AR1|C5AR1|CD14|CCR1|S1PR3|FCGR2A|FCGR3B|FOS|FPR1|FPR2|FFAR3|FFAR2|HCK|HMOX1|HP|IL1A|IL1B|IL1RN|CXCL8|CXCR2|IL10|IRAK2|ITGAM|ITGB2|KRT16|MEFV|OLR1|SERPINA1|PPBP|PTX3|S100A8|S100A9|CCL2|CCL7|CCL20|CXCL5|SLC11A1|TLR4|TNFAIP6|TNFRSF1B|CXCR4|IL18RAP|IL18R1|PSTPIP1|IL1RL1|ZEB2|KDM6B|ADGRE2|TLR8|NLRC4|PROK2|MMP25|CLEC7A|TLR10|NLRP3|NLRP6,-44
DEGs,GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-37,11,22,30337,572,254,52,20,2.5,101|241|383|654|719|728|838|929|1230|1268|1901|2069|2219|2316|2358|2828|2865|2867|3055|3553|3576|3656|4210|4317|5008|5138|5328|5650|5743|5880|6279|6280|6354|6688|7056|7099|7852|8740|8807|9173|11027|25818|26253|51311|58484|64581|81793|91662|114548|115727|171389|285852,ADAM8|ALOX5AP|ARG1|BMP6|C3AR1|C5AR1|CASP5|CD14|CCR1|CNR1|S1PR1|EREG|FCN1|FLNA|FPR2|GPR4|FFAR3|FFAR2|HCK|IL1B|CXCL8|IRAK2|MEFV|MMP8|OSM|PDE2A|PLAU|KLK7|PTGS2|RAC2|S100A8|S100A9|CCL7|SPI1|THBD|TLR4|CXCR4|TNFSF14|IL18RAP|IL1RL1|LILRA2|KLK5|CLEC4E|TLR8|NLRC4|CLEC7A|TLR10|NLRP12|NLRP3|RASGRP4|NLRP6|TREML4,-34
DEGs,GO Biological Processes,19,GO:0050900,leukocyte migration,19_GO:0002376 immune system process,-31,17,23,30337,244,254,34,13,2.1,101|240|728|1230|1441|1901|2207|2321|2867|3055|3383|3553|3576|3577|3579|3586|3689|5142|5473|6279|6280|6347|6354|6364|6374|6402|7852|8740|30817|54210|57126|57580|91662|140885,ADAM8|ALOX5|C5AR1|CCR1|CSF3R|S1PR1|FCER1G|FLT1|FFAR2|HCK|ICAM1|IL1B|CXCL8|CXCR1|CXCR2|IL10|ITGB2|PDE4B|PPBP|S100A8|S100A9|CCL2|CCL7|CCL20|CXCL5|SELL|CXCR4|TNFSF14|ADGRE2|TREM1|CD177|PREX1|NLRP12|SIRPA,-28
DEGs,GO Biological Processes,19,GO:0040011,locomotion,19_GO:0040011 locomotion,-31,13,21,30337,366,254,39,15,2.3,101|240|719|728|1230|1441|1839|1901|1960|2207|2321|2357|2358|2867|3553|3576|3577|3579|3586|3689|4046|5142|5328|5329|5473|5880|6279|6280|6324|6347|6354|6364|6374|7852|8740|30817|54210|57580|60675,ADAM8|ALOX5|C3AR1|C5AR1|CCR1|CSF3R|HBEGF|S1PR1|EGR3|FCER1G|FLT1|FPR1|FPR2|FFAR2|IL1B|CXCL8|CXCR1|CXCR2|IL10|ITGB2|LSP1|PDE4B|PLAU|PLAUR|PPBP|RAC2|S100A8|S100A9|SCN1B|CCL2|CCL7|CCL20|CXCL5|CXCR4|TNFSF14|ADGRE2|TREM1|PREX1|PROK2,-28
DEGs,GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-30,13,21,30337,344,254,38,15,2.2,101|240|719|728|1230|1441|1839|1901|1960|2207|2321|2357|2358|2867|3553|3576|3577|3579|3586|3689|4046|5142|5328|5329|5473|5880|6279|6280|6347|6354|6364|6374|7852|8740|30817|54210|57580|60675,ADAM8|ALOX5|C3AR1|C5AR1|CCR1|CSF3R|HBEGF|S1PR1|EGR3|FCER1G|FLT1|FPR1|FPR2|FFAR2|IL1B|CXCL8|CXCR1|CXCR2|IL10|ITGB2|LSP1|PDE4B|PLAU|PLAUR|PPBP|RAC2|S100A8|S100A9|CCL2|CCL7|CCL20|CXCL5|CXCR4|TNFSF14|ADGRE2|TREM1|PREX1|PROK2,-28
DEGs,GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-30,13,21,30337,346,254,38,15,2.2,101|240|719|728|1230|1441|1839|1901|1960|2207|2321|2357|2358|2867|3553|3576|3577|3579|3586|3689|4046|5142|5328|5329|5473|5880|6279|6280|6347|6354|6364|6374|7852|8740|30817|54210|57580|60675,ADAM8|ALOX5|C3AR1|C5AR1|CCR1|CSF3R|HBEGF|S1PR1|EGR3|FCER1G|FLT1|FPR1|FPR2|FFAR2|IL1B|CXCL8|CXCR1|CXCR2|IL10|ITGB2|LSP1|PDE4B|PLAU|PLAUR|PPBP|RAC2|S100A8|S100A9|CCL2|CCL7|CCL20|CXCL5|CXCR4|TNFSF14|ADGRE2|TREM1|PREX1|PROK2,-27
DEGs,GO Biological Processes,19,GO:0009617,response to bacterium,19_GO:0044419 biological process involved in interspecies interaction between organisms,-30,8.2,18,30337,713,254,49,19,2.5,133|722|728|820|929|944|1268|1439|2207|2268|2353|2358|3055|3240|3552|3553|3576|3586|3656|3684|3853|4317|4318|5142|5473|5743|6279|6280|6347|6364|6374|6556|6700|7056|7099|7133|7538|8993|10288|26253|54210|58484|81793|114548|115727|140885|171389|199713|338339,ADM|C4BPA|C5AR1|CAMP|CD14|TNFSF8|CNR1|CSF2RB|FCER1G|FGR|FOS|FPR2|HCK|HP|IL1A|IL1B|CXCL8|IL10|IRAK2|ITGAM|KRT6A|MMP8|MMP9|PDE4B|PPBP|PTGS2|S100A8|S100A9|CCL2|CCL20|CXCL5|SLC11A1|SPRR2A|THBD|TLR4|TNFRSF1B|ZFP36|PGLYRP1|LILRB2|CLEC4E|TREM1|NLRC4|TLR10|NLRP3|RASGRP4|SIRPA|NLRP6|NLRP7|CLEC4D,-27
DEGs,GO Biological Processes,19,GO:0030595,leukocyte chemotaxis,19_GO:0040011 locomotion,-28,22,23,30337,146,254,27,11,1.9,101|240|728|1230|1441|1901|2207|2321|2867|3553|3576|3577|3579|3586|3689|5142|5473|6279|6280|6347|6354|6374|7852|8740|30817|54210|57580,ADAM8|ALOX5|C5AR1|CCR1|CSF3R|S1PR1|FCER1G|FLT1|FFAR2|IL1B|CXCL8|CXCR1|CXCR2|IL10|ITGB2|PDE4B|PPBP|S100A8|S100A9|CCL2|CCL7|CXCL5|CXCR4|TNFSF14|ADGRE2|TREM1|PREX1,-25
DEGs,GO Biological Processes,19,GO:0031349,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-28,11,19,30337,436,254,39,15,2.3,101|241|383|838|929|1268|2069|2219|2358|2828|2865|2867|3055|3553|3656|4210|4317|5008|5138|5650|5743|6279|6280|6688|7099|8807|9173|11027|25818|26253|51311|58484|64581|81793|91662|114548|115727|171389|285852,ADAM8|ALOX5AP|ARG1|CASP5|CD14|CNR1|EREG|FCN1|FPR2|GPR4|FFAR3|FFAR2|HCK|IL1B|IRAK2|MEFV|MMP8|OSM|PDE2A|KLK7|PTGS2|S100A8|S100A9|SPI1|TLR4|IL18RAP|IL1RL1|LILRA2|KLK5|CLEC4E|TLR8|NLRC4|CLEC7A|TLR10|NLRP12|NLRP3|RASGRP4|NLRP6|TREML4,-25
DEGs,GO Biological Processes,19,GO:0060326,cell chemotaxis,19_GO:0040011 locomotion,-27,17,21,30337,215,254,30,12,2,101|240|728|1230|1441|1839|1901|1960|2207|2321|2867|3553|3576|3577|3579|3586|3689|5142|5473|6279|6280|6347|6354|6364|6374|7852|8740|30817|54210|57580,ADAM8|ALOX5|C5AR1|CCR1|CSF3R|HBEGF|S1PR1|EGR3|FCER1G|FLT1|FFAR2|IL1B|CXCL8|CXCR1|CXCR2|IL10|ITGB2|PDE4B|PPBP|S100A8|S100A9|CCL2|CCL7|CCL20|CXCL5|CXCR4|TNFSF14|ADGRE2|TREM1|PREX1,-24
DEGs,GO Biological Processes,19,GO:0071345,cellular response to cytokine stimulus,19_GO:0050896 response to stimulus,-26,7.5,16,30337,737,254,46,18,2.4,820|1230|1439|1441|2069|2180|2207|2353|3055|3383|3552|3553|3576|3577|3579|3586|3598|3624|3656|3718|4046|4311|5008|5138|5473|6347|6354|6364|6374|6688|7099|7133|7454|7538|7850|7852|8807|8809|9021|9173|10288|10581|11027|91662|140885|199713,CAMP|CCR1|CSF2RB|CSF3R|EREG|ACSL1|FCER1G|FOS|HCK|ICAM1|IL1A|IL1B|CXCL8|CXCR1|CXCR2|IL10|IL13RA2|INHBA|IRAK2|JAK3|LSP1|MME|OSM|PDE2A|PPBP|CCL2|CCL7|CCL20|CXCL5|SPI1|TLR4|TNFRSF1B|WAS|ZFP36|IL1R2|CXCR4|IL18RAP|IL18R1|SOCS3|IL1RL1|LILRB2|IFITM2|LILRA2|NLRP12|SIRPA|NLRP7,-23
DEGs,GO Biological Processes,19,GO:0050778,positive regulation of immune response,19_GO:0002376 immune system process,-26,7.9,16,30337,669,254,44,17,2.4,101|719|722|728|929|1268|1378|2069|2207|2219|2268|2357|2358|2867|3055|3142|3553|3586|3656|3684|3689|3937|4210|5142|5650|5788|6556|6688|7099|7462|8807|8809|11027|25818|26253|51311|57126|58484|64581|81793|114548|115727|171389|285852,ADAM8|C3AR1|C4BPA|C5AR1|CD14|CNR1|CR1|EREG|FCER1G|FCN1|FGR|FPR1|FPR2|FFAR2|HCK|HLX|IL1B|IL10|IRAK2|ITGAM|ITGB2|LCP2|MEFV|PDE4B|KLK7|PTPRC|SLC11A1|SPI1|TLR4|LAT2|IL18RAP|IL18R1|LILRA2|KLK5|CLEC4E|TLR8|CD177|NLRC4|CLEC7A|TLR10|NLRP3|RASGRP4|NLRP6|TREML4,-23
