Cluster,Score,Type,Gene,Symbol,Network
1,8.85,Clustered,3579,CXCR2,DEGs_SUB1
1,8.85,Clustered,54331,GNG2,DEGs_SUB1
1,8.85,Clustered,8698,S1PR4,DEGs_SUB1
1,8.85,Clustered,53829,P2RY13,DEGs_SUB1
1,8.85,Clustered,1901,S1PR1,DEGs_SUB1
1,8.85,Clustered,5473,PPBP,DEGs_SUB1
1,8.85,Clustered,1268,CNR1,DEGs_SUB1
1,8.85,Clustered,6753,SSTR3,DEGs_SUB1
1,8.85,Clustered,1903,S1PR3,DEGs_SUB1
1,8.85,Clustered,6374,CXCL5,DEGs_SUB1
1,8.85,Clustered,7852,CXCR4,DEGs_SUB1
1,8.85,Clustered,2357,FPR1,DEGs_SUB1
1,8.85,Clustered,3576,CXCL8,DEGs_SUB1
1,8.85,Seed,728,C5AR1,DEGs_SUB1
1,8.85,Clustered,3577,CXCR1,DEGs_SUB1
1,8.85,Clustered,2358,FPR2,DEGs_SUB1
1,8.85,Clustered,1230,CCR1,DEGs_SUB1
1,8.85,Clustered,6364,CCL20,DEGs_SUB1
1,8.85,Clustered,719,C3AR1,DEGs_SUB1
1,8.85,Clustered,8843,HCAR3,DEGs_SUB1
4,3.0,Clustered,6699,SPRR1B,DEGs_SUB1
4,3.0,Seed,1824,DSC2,DEGs_SUB1
4,3.0,Clustered,6707,SPRR3,DEGs_SUB1
4,3.0,Clustered,1830,DSG3,DEGs_SUB1
4,3.0,Clustered,6698,SPRR1A,DEGs_SUB1
4,3.0,Clustered,6703,SPRR2D,DEGs_SUB1
4,3.0,Clustered,6700,SPRR2A,DEGs_SUB1
5,2.5,Clustered,124599,CD300LB,DEGs_SUB1
5,2.5,Clustered,342510,CD300E,DEGs_SUB1
5,2.5,Clustered,79865,TREML2,DEGs_SUB1
5,2.5,Seed,11314,CD300A,DEGs_SUB1
5,2.5,Clustered,285852,TREML4,DEGs_SUB1
5,2.5,Clustered,54210,TREM1,DEGs_SUB1
6,2.3333333333333335,Clustered,4923,NTSR1,DEGs_SUB1
6,2.3333333333333335,Seed,60675,PROK2,DEGs_SUB1
6,2.3333333333333335,Clustered,2867,FFAR2,DEGs_SUB1
6,2.3333333333333335,Clustered,8477,GPR65,DEGs_SUB1
6,2.3333333333333335,Clustered,2865,FFAR3,DEGs_SUB1
6,2.3333333333333335,Clustered,2828,GPR4,DEGs_SUB1
7,2.0,Clustered,114548,NLRP3,DEGs_SUB1
7,2.0,Clustered,838,CASP5,DEGs_SUB1
7,2.0,Clustered,58484,NLRC4,DEGs_SUB1
7,2.0,Clustered,4210,MEFV,DEGs_SUB1
7,2.0,Seed,171389,NLRP6,DEGs_SUB1
2,1.9,Clustered,2219,FCN1,DEGs_SUB1
2,1.9,Clustered,3640,INSL3,DEGs_SUB1
2,1.9,Clustered,389692,MAFA,DEGs_SUB1
2,1.9,Clustered,53831,GPR84,DEGs_SUB1
2,1.9,Seed,929,CD14,DEGs_SUB1
2,1.9,Clustered,6280,S100A9,DEGs_SUB1
2,1.9,Clustered,6279,S100A8,DEGs_SUB1
2,1.9,Clustered,3055,HCK,DEGs_SUB1
2,1.9,Clustered,9586,CREB5,DEGs_SUB1
2,1.9,Clustered,2353,FOS,DEGs_SUB1
2,1.9,Clustered,3290,HSD11B1,DEGs_SUB1
2,1.9,Clustered,1441,CSF3R,DEGs_SUB1
2,1.9,Clustered,133,ADM,DEGs_SUB1
2,1.9,Clustered,3689,ITGB2,DEGs_SUB1
2,1.9,Clustered,7099,TLR4,DEGs_SUB1
2,1.9,Clustered,3162,HMOX1,DEGs_SUB1
2,1.9,Clustered,134864,TAAR1,DEGs_SUB1
2,1.9,Clustered,3656,IRAK2,DEGs_SUB1
2,1.9,Clustered,3274,HRH2,DEGs_SUB1
2,1.9,Clustered,6688,SPI1,DEGs_SUB1
3,1.5,Clustered,5328,PLAU,DEGs_SUB1
3,1.5,Clustered,1959,EGR2,DEGs_SUB1
3,1.5,Clustered,3678,ITGA5,DEGs_SUB1
3,1.5,Clustered,3684,ITGAM,DEGs_SUB1
3,1.5,Clustered,3687,ITGAX,DEGs_SUB1
3,1.5,Seed,1960,EGR3,DEGs_SUB1
3,1.5,Clustered,2354,FOSB,DEGs_SUB1
3,1.5,Clustered,23237,ARC,DEGs_SUB1
8,1.25,Clustered,8972,MGAM,DEGs_SUB1
8,1.25,Clustered,5837,PYGM,DEGs_SUB1
8,1.25,Clustered,3101,HK3,DEGs_SUB1
8,1.25,Seed,93432,MGAM2,DEGs_SUB1
9,1.0,Seed,4689,NCF4,DEGs_SUB1
9,1.0,Clustered,5880,RAC2,DEGs_SUB1
9,1.0,Clustered,653361,NCF1,DEGs_SUB1
2,2.0,Seed,4772,NFATC1,DMRs_SUB1
2,2.0,Clustered,5590,PRKCZ,DMRs_SUB1
2,2.0,Clustered,5578,PRKCA,DMRs_SUB1
2,2.0,Clustered,5595,MAPK3,DMRs_SUB1
2,2.0,Clustered,4773,NFATC2,DMRs_SUB1
1,1.5,Clustered,51084,CRYL1,DMRs_SUB1
1,1.5,Clustered,1572,CYP2F1,DMRs_SUB1
1,1.5,Clustered,284422,SMIM24,DMRs_SUB1
1,1.5,Seed,119391,GSTO2,DMRs_SUB1
