_MEMBER_DEGs,_MEMBER_DMRs,_LogP_DEGs,_LogP_DMRs,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,-75,0,COVID017,M10,1,0,COVID,200,RNA_Blanco-Melo_Lung_Down,,-75,21,38,30337,259,400,73,18,1.9,241|366|399|597|719|777|838|951|963|969|978|1084|1118|1178|1230|1439|1441|2124|2207|2215|2219|2268|2357|2867|3557|3936|3937|4084|4317|4332|4973|5265|5341|5552|5880|6279|6280|6283|6354|6402|6688|7454|8740|8972|8993|10288|10326|10581|11025|11240|26253|27284|50856|53829|53831|54210|54331|54518|57817|64092|64407|64581|79168|79930|90134|196410|200315|266747|285852|338339|353345|353514|100049587,ALOX5AP|AQP9|RHOH|BCL2A1|C3AR1|CACNA1E|CASP5|CD37|CD53|CD69|CDA|CEACAM3|CHIT1|CLC|CCR1|CSF2RB|CSF3R|EVI2B|FCER1G|FCGR3B|FCN1|FGR|FPR1|FFAR2|IL1RN|LCP1|LCP2|MXD1|MMP8|MNDA|OLR1|SERPINA1|PLEK|SRGN|RAC2|S100A8|S100A9|S100A12|CCL7|SELL|SPI1|WAS|TNFSF14|MGAM|PGLYRP1|LILRB2|SIRPB1|IFITM2|LILRB3|PADI2|CLEC4E|SULT1B1|CLEC4A|P2RY13|GPR84|TREM1|GNG2|APBB1IP|HAMP|SAMSN1|RGS18|CLEC7A|LILRA6|DOK3|KCNH7|TMT1B|APOBEC3A|RGL4|TREML4|CLEC4D|GPR141|LILRA5|SIGLEC14,-72,0
1,0,-33,0,COVID240,M10,1,0,COVID,200,RNA_Lieberman_Nasopharynx_High_vs_Low_Down,,-33,15,23,30337,188,400,38,9.5,1.5,101|241|951|1378|1441|1960|2124|2204|2212|2353|3142|3385|3576|3577|3579|3687|4046|4311|4318|5008|5743|5788|5997|6280|6515|7852|8972|10135|10235|11240|23135|50486|55824|57580|60675|81793|221692|414152,ADAM8|ALOX5AP|CD37|CR1|CSF3R|EGR3|EVI2B|FCAR|FCGR2A|FOS|HLX|ICAM3|CXCL8|CXCR1|CXCR2|ITGAX|LSP1|MME|MMP9|OSM|PTGS2|PTPRC|RGS2|S100A9|SLC2A3|CXCR4|MGAM|NAMPT|RASGRP2|PADI2|KDM6B|G0S2|PAG1|PREX1|PROK2|TLR10|PHACTR1|C10orf105,-30,0
1,0,-32,0,COVID034,M10,1,0,COVID,200,RNA_Liao_BALF-severe-vs-mild_Up,,-32,11,20,30337,300,400,44,11,1.6,133|978|1308|1830|2012|2354|2865|2867|3142|3310|3576|3853|3854|4084|4317|4327|4923|5866|6283|6347|6354|6696|6699|7850|8277|8870|9021|9173|10215|10501|22918|23237|23601|28231|50486|60675|80740|114548|116448|285286|286006|342510|645687|105369343,ADM|CDA|COL17A1|DSG3|EMP1|FOSB|FFAR3|FFAR2|HLX|HSPA6|CXCL8|KRT6A|KRT6B|MXD1|MMP8|MMP19|NTSR1|RAB3IL1|S100A12|CCL2|CCL7|SPP1|SPRR1B|IL1R2|TKTL1|IER3|SOCS3|IL1RL1|OLIG2|SEMA6B|CD93|ARC|CLEC5A|SLCO4A1|G0S2|PROK2|LY6G6C|NLRP3|OLIG1|LINC00877|LSMEM1|CD300E|LINC00520|MIR194-2HG,-29,0
1,0,-26,0,COVID203,M10,1,0,COVID,200,RNA_Vanderheiden_pHAE_48h_Up,,-26,15,20,30337,155,400,30,7.5,1.3,101|241|597|1839|2012|3576|3624|3854|3860|4318|5329|5473|6279|6280|6283|6364|6374|6698|6699|6700|6703|6707|7850|8140|8796|9586|79931|114771|144568|389208,ADAM8|ALOX5AP|BCL2A1|HBEGF|EMP1|CXCL8|INHBA|KRT6B|KRT13|MMP9|PLAUR|PPBP|S100A8|S100A9|S100A12|CCL20|CXCL5|SPRR1A|SPRR1B|SPRR2A|SPRR2D|SPRR3|IL1R2|SLC7A5|SCEL|CREB5|TNIP3|PGLYRP3|A2ML1|TMPRSS11F,-23,0
1,0,-24,0,COVID246,M10,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C1B-severe_Up,,-24,23,22,30337,77,400,23,5.8,1.2,366|929|963|1230|1378|2180|2357|3240|3684|3689|3936|4001|4332|5265|5552|6279|6280|6283|6402|8291|8875|10581|199675,AQP9|CD14|CD53|CCR1|CR1|ACSL1|FPR1|HP|ITGAM|ITGB2|LCP1|LMNB1|MNDA|SERPINA1|SRGN|S100A8|S100A9|S100A12|SELL|DYSF|VNN2|IFITM2|MCEMP1,-22,0
1,0,-21,0,COVID256,M10,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C6_Up,,-21,13,17,30337,154,400,26,6.5,1.2,366|597|929|1230|1378|2012|2180|2357|2358|3557|3576|3689|4001|4332|6279|6280|6283|6402|6515|8291|9021|10581|56729|199675|200315|646309,AQP9|BCL2A1|CD14|CCR1|CR1|EMP1|ACSL1|FPR1|FPR2|IL1RN|CXCL8|ITGB2|LMNB1|MNDA|S100A8|S100A9|S100A12|SELL|SLC2A3|DYSF|SOCS3|IFITM2|RETN|MCEMP1|APOBEC3A|NAMPTP1,-18,0
1,0,-20,0,COVID020,M10,1,0,COVID,200,RNA_Blanco-Melo_NHBE_Up,,-20,19,19,30337,85,400,21,5.2,1.1,101|597|1839|3383|3552|3553|3624|3656|3854|4050|4318|6279|6280|6283|6364|6374|6700|6703|8740|9021|51458,ADAM8|BCL2A1|HBEGF|ICAM1|IL1A|IL1B|INHBA|IRAK2|KRT6B|LTB|MMP9|S100A8|S100A9|S100A12|CCL20|CXCL5|SPRR2A|SPRR2D|TNFSF14|SOCS3|RHCG,-18,0
1,1,-20,-2,COVID036,M11,2,0,COVID,200,RNA_Sun_Calu-3_0h_Up,,-20,8.3,15,30337,300,400,33,8.2,1.4,969|1839|1960|2069|2353|3383|3552|3553|3576|3624|3656|4050|5142|5209|5265|5328|5329|5743|5806|5880|6364|6374|6707|6781|7130|8870|9308|10135|10938|23135|28231|50486|170954,CD69|HBEGF|EGR3|EREG|FOS|ICAM1|IL1A|IL1B|CXCL8|INHBA|IRAK2|LTB|PDE4B|PFKFB3|SERPINA1|PLAU|PLAUR|PTGS2|PTX3|RAC2|CCL20|CXCL5|SPRR3|STC1|TNFAIP6|IER3|CD83|NAMPT|EHD1|KDM6B|SLCO4A1|G0S2|PPP1R18,-17,0
1,0,-19,0,COVID248,M10,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C2_Up,,-19,22,19,30337,63,400,18,4.5,1,366|929|1378|2180|2357|3240|3576|3684|6279|6280|6283|6402|6515|8291|9021|10135|10581|199675,AQP9|CD14|CR1|ACSL1|FPR1|HP|CXCL8|ITGAM|S100A8|S100A9|S100A12|SELL|SLC2A3|DYSF|SOCS3|NAMPT|IFITM2|MCEMP1,-16,0
1,1,-16,-6.3,COVID022,M11,2,0,COVID,200,RNA_Keller_B-cells-CD21pos_infection_Up,,-16,7.9,13,30337,269,400,28,7,1.3,366|2212|2268|2529|2867|3055|3101|3162|3687|4210|5265|5743|5957|5997|6556|7133|7940|8291|9021|9473|9586|10288|11024|11240|23569|54210|79168|79930,AQP9|FCGR2A|FGR|FUT7|FFAR2|HCK|HK3|HMOX1|ITGAX|MEFV|SERPINA1|PTGS2|RCVRN|RGS2|SLC11A1|TNFRSF1B|LST1|DYSF|SOCS3|THEMIS2|CREB5|LILRB2|LILRA1|PADI2|PADI4|TREM1|LILRA6|DOK3,-14,0
