_MEMBER_DEGs,_MEMBER_DMRs,_LogP_DEGs,_LogP_DMRs,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,1,-99,-5.5,M41700,M11,2,0,Cell Type Signatures,7,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-99,13,37,30337,726,400,122,30,2.3,101|133|241|366|597|719|728|929|944|963|1230|1441|1839|2012|2069|2180|2204|2207|2212|2219|2268|2316|2321|2353|2354|2357|2358|2867|3055|3162|3383|3552|3553|3557|3576|3586|3656|3678|3687|3936|3937|4001|4084|4327|4354|4973|5008|5142|5209|5265|5329|5341|5552|5743|5806|6279|6280|6283|6347|6354|6364|6503|6515|6556|6615|6688|7056|7099|7130|7133|7378|7462|7850|7940|8140|8291|8843|8870|9021|9308|9839|10135|10288|10437|10501|10938|11024|11025|22918|23135|23533|23601|25797|26253|27180|28231|30817|50486|50856|53831|54210|57817|64092|64581|64651|79168|79930|79931|83706|84649|114548|116448|140885|170954|199675|200315|338339|342510|353514|731424|100049587|100506115,ADAM8|ADM|ALOX5AP|AQP9|BCL2A1|C3AR1|C5AR1|CD14|TNFSF8|CD53|CCR1|CSF3R|HBEGF|EMP1|EREG|ACSL1|FCAR|FCER1G|FCGR2A|FCN1|FGR|FLNA|FLT1|FOS|FOSB|FPR1|FPR2|FFAR2|HCK|HMOX1|ICAM1|IL1A|IL1B|IL1RN|CXCL8|IL10|IRAK2|ITGA5|ITGAX|LCP1|LCP2|LMNB1|MXD1|MMP19|MPP1|OLR1|OSM|PDE4B|PFKFB3|SERPINA1|PLAUR|PLEK|SRGN|PTGS2|PTX3|S100A8|S100A9|S100A12|CCL2|CCL7|CCL20|SLA|SLC2A3|SLC11A1|SNAI1|SPI1|THBD|TLR4|TNFAIP6|TNFRSF1B|UPP1|LAT2|IL1R2|LST1|SLC7A5|DYSF|HCAR3|IER3|SOCS3|CD83|ZEB2|NAMPT|LILRB2|IFI30|SEMA6B|EHD1|LILRA1|LILRB3|CD93|KDM6B|PIK3R5|CLEC5A|QPCT|CLEC4E|SIGLEC9|SLCO4A1|ADGRE2|G0S2|CLEC4A|GPR84|TREM1|HAMP|SAMSN1|CLEC7A|CSRNP1|LILRA6|DOK3|TNIP3|FERMT3|DGAT2|NLRP3|OLIG1|SIRPA|PPP1R18|MCEMP1|APOBEC3A|CLEC4D|CD300E|LILRA5|MIR3945HG|SIGLEC14|PELATON,-95,0
1,0,-89,0,M41688,M10,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG NEUTROPHIL CELL,,-89,19,40,30337,368,400,91,23,2.1,101|133|241|366|383|597|728|762|978|1084|1378|1441|2180|2212|2215|2353|2357|2358|2867|3142|3576|3577|3579|3687|3937|4084|4210|4311|4318|4332|4542|4689|4778|5209|5329|5552|5743|5997|6279|6280|6283|6402|6503|6515|6556|6688|7099|7439|7454|7850|8291|8794|8807|8875|8993|9021|9586|10135|10326|10581|11240|23135|26253|50486|53829|54210|57458|57580|60675|64092|64333|64386|64407|64581|79930|80183|84649|115727|144423|146225|150372|200315|222487|338339|646309|653361|654817|100420257|100506115|100873467|107075254,ADAM8|ADM|ALOX5AP|AQP9|ARG1|BCL2A1|C5AR1|CA4|CDA|CEACAM3|CR1|CSF3R|ACSL1|FCGR2A|FCGR3B|FOS|FPR1|FPR2|FFAR2|HLX|CXCL8|CXCR1|CXCR2|ITGAX|LCP2|MXD1|MEFV|MME|MMP9|MNDA|MYO1F|NCF4|NFE2|PFKFB3|PLAUR|SRGN|PTGS2|RGS2|S100A8|S100A9|S100A12|SELL|SLA|SLC2A3|SLC11A1|SPI1|TLR4|BEST1|WAS|IL1R2|DYSF|TNFRSF10C|IL18RAP|VNN2|PGLYRP1|SOCS3|CREB5|NAMPT|SIRPB1|IFITM2|PADI2|KDM6B|CLEC4E|G0S2|P2RY13|TREM1|TMCC3|PREX1|PROK2|SAMSN1|ARHGAP9|MMP25|RGS18|CLEC7A|DOK3|RUBCNL|DGAT2|RASGRP4|GLT1D1|CMTM2|NFAM1|APOBEC3A|ADGRG3|CLEC4D|NAMPTP1|NCF1|NCF1C|CICP27|PELATON|RNA5SP207|MTND5P32,-85,0
1,0,-86,0,M40264,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL PANCREAS MYELOID CELLS,,-86,25,43,30337,233,400,77,19,2,366|597|719|728|820|929|1089|1230|1441|2204|2207|2212|2219|2268|2357|3055|3101|3162|3553|3557|3576|3586|3684|3687|4210|4332|4542|5008|5341|5552|6279|6280|6283|6324|6688|7850|7940|8778|8843|9308|10288|10326|10437|11024|11025|11240|23569|23601|27036|27180|30817|50856|51311|53829|54210|56729|58484|60675|64407|64581|79168|91662|114548|115727|123041|124599|126014|126364|150372|284759|342510|353345|353514|643418|653361|731424|100049587,AQP9|BCL2A1|C3AR1|C5AR1|CAMP|CD14|CEACAM4|CCR1|CSF3R|FCAR|FCER1G|FCGR2A|FCN1|FGR|FPR1|HCK|HK3|HMOX1|IL1B|IL1RN|CXCL8|IL10|ITGAM|ITGAX|MEFV|MNDA|MYO1F|OSM|PLEK|SRGN|S100A8|S100A9|S100A12|SCN1B|SPI1|IL1R2|LST1|SIGLEC5|HCAR3|CD83|LILRB2|SIRPB1|IFI30|LILRA1|LILRB3|PADI2|PADI4|CLEC5A|SIGLEC7|SIGLEC9|ADGRE2|CLEC4A|TLR8|P2RY13|TREM1|RETN|NLRC4|PROK2|RGS18|CLEC7A|LILRA6|NLRP12|NLRP3|RASGRP4|SLC24A4|CD300LB|OSCAR|LRRC25|NFAM1|SIRPB2|CD300E|GPR141|LILRA5|LIPN|NCF1|MIR3945HG|SIGLEC14,-82,0
1,0,-78,0,M40157,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL CEREBELLUM MICROGLIA,,-78,12,32,30337,642,400,101,25,2.2,240|241|399|597|719|728|752|838|929|944|951|963|969|1118|1230|1439|1441|1959|1960|2124|2207|2212|2357|2867|3055|3162|3310|3383|3552|3553|3557|3576|3586|3656|3684|3687|3689|3718|3936|3937|4210|4332|4542|4689|4973|5008|5023|5265|5341|5788|5866|5880|6280|6347|6402|6556|6688|6696|7099|7454|7940|8740|8778|8794|9308|9595|10288|10894|11024|11025|11027|23533|27036|27128|27180|53346|53829|53831|54518|55843|55911|57091|58484|64092|64333|64407|64581|79168|79930|80183|81793|83706|114548|115727|117289|126014|126364|150372|388387|100049587|100289061,ALOX5|ALOX5AP|RHOH|BCL2A1|C3AR1|C5AR1|FMNL1|CASP5|CD14|TNFSF8|CD37|CD53|CD69|CHIT1|CCR1|CSF2RB|CSF3R|EGR2|EGR3|EVI2B|FCER1G|FCGR2A|FPR1|FFAR2|HCK|HMOX1|HSPA6|ICAM1|IL1A|IL1B|IL1RN|CXCL8|IL10|IRAK2|ITGAM|ITGAX|ITGB2|JAK3|LCP1|LCP2|MEFV|MNDA|MYO1F|NCF4|OLR1|OSM|P2RX1|SERPINA1|PLEK|PTPRC|RAB3IL1|RAC2|S100A9|CCL2|SELL|SLC11A1|SPI1|SPP1|TLR4|WAS|LST1|TNFSF14|SIGLEC5|TNFRSF10C|CD83|CYTIP|LILRB2|LYVE1|LILRA1|LILRB3|LILRA2|PIK3R5|SIGLEC7|CYTH4|SIGLEC9|TM6SF1|P2RY13|GPR84|APBB1IP|ARHGAP15|APOBR|CASS4|NLRC4|SAMSN1|ARHGAP9|RGS18|CLEC7A|LILRA6|DOK3|RUBCNL|TLR10|FERMT3|NLRP3|RASGRP4|TAGAP|OSCAR|LRRC25|NFAM1|LINC00671|SIGLEC14|ADAMTSL4-AS2,-74,0
1,0,-69,0,M39160,M10,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE 24W C11 PANETH LIKE CELL,,-69,17,34,30337,325,400,74,18,1.9,597|728|752|929|951|963|1230|1378|1439|1441|2124|2207|2212|2357|3055|3162|3310|3383|3552|3553|3557|3576|3586|3624|3684|3687|3689|3936|3937|4046|4318|4689|5008|5142|5209|5328|5329|5341|5552|5743|5788|5791|5880|6503|6688|7056|7099|7133|7454|7462|7850|7852|7940|8140|8477|8843|9308|9535|10135|10288|10437|10894|11314|27076|27128|64092|64581|80183|83706|114548|150372|200315|342510|653361,BCL2A1|C5AR1|FMNL1|CD14|CD37|CD53|CCR1|CR1|CSF2RB|CSF3R|EVI2B|FCER1G|FCGR2A|FPR1|HCK|HMOX1|HSPA6|ICAM1|IL1A|IL1B|IL1RN|CXCL8|IL10|INHBA|ITGAM|ITGAX|ITGB2|LCP1|LCP2|LSP1|MMP9|NCF4|OSM|PDE4B|PFKFB3|PLAU|PLAUR|PLEK|SRGN|PTGS2|PTPRC|PTPRE|RAC2|SLA|SPI1|THBD|TLR4|TNFRSF1B|WAS|LAT2|IL1R2|CXCR4|LST1|SLC7A5|GPR65|HCAR3|CD83|GMFG|NAMPT|LILRB2|IFI30|LYVE1|CD300A|LYPD3|CYTH4|SAMSN1|CLEC7A|RUBCNL|FERMT3|NLRP3|NFAM1|APOBEC3A|CD300E|NCF1,-65,0
1,0,-65,0,M39124,M10,1,0,Cell Type Signatures,7,AIZARANI LIVER C23 KUPFFER CELLS 3,,-65,22,36,30337,221,400,63,16,1.8,240|597|728|929|951|1230|1441|2069|2124|2207|2212|2219|2268|2357|3055|3101|3553|3576|3684|3687|3689|4332|4354|4542|5329|5341|5552|5743|5791|5997|6279|6280|6283|6402|6503|6515|6556|7133|7454|7850|7940|8875|9535|9586|9770|9839|10135|10288|10326|11025|22918|26253|54210|57580|64092|64581|79930|91662|150372|200315|284759|342510|100506115,ALOX5|BCL2A1|C5AR1|CD14|CD37|CCR1|CSF3R|EREG|EVI2B|FCER1G|FCGR2A|FCN1|FGR|FPR1|HCK|HK3|IL1B|CXCL8|ITGAM|ITGAX|ITGB2|MNDA|MPP1|MYO1F|PLAUR|PLEK|SRGN|PTGS2|PTPRE|RGS2|S100A8|S100A9|S100A12|SELL|SLA|SLC2A3|SLC11A1|TNFRSF1B|WAS|IL1R2|LST1|VNN2|GMFG|CREB5|RASSF2|ZEB2|NAMPT|LILRB2|SIRPB1|LILRB3|CD93|CLEC4E|TREM1|PREX1|SAMSN1|CLEC7A|DOK3|NLRP12|NFAM1|APOBEC3A|SIRPB2|CD300E|PELATON,-62,0
1,0,-62,0,M39286,M10,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM DENDRITIC CELLS,,-62,32,39,30337,117,400,50,12,1.7,597|728|929|951|1441|2069|2124|2207|2219|2268|2357|3553|3576|3689|3936|4046|4084|4332|5008|5265|5329|5341|5552|5743|5788|5791|5997|6279|6280|6283|6556|6688|7133|7940|9535|9839|10135|10288|10437|10581|26253|50486|54210|64092|64581|114548|200315|221692|653361|100506115,BCL2A1|C5AR1|CD14|CD37|CSF3R|EREG|EVI2B|FCER1G|FCN1|FGR|FPR1|IL1B|CXCL8|ITGB2|LCP1|LSP1|MXD1|MNDA|OSM|SERPINA1|PLAUR|PLEK|SRGN|PTGS2|PTPRC|PTPRE|RGS2|S100A8|S100A9|S100A12|SLC11A1|SPI1|TNFRSF1B|LST1|GMFG|ZEB2|NAMPT|LILRB2|IFI30|IFITM2|CLEC4E|G0S2|TREM1|SAMSN1|CLEC7A|NLRP3|APOBEC3A|PHACTR1|NCF1|PELATON,-59,0
1,1,-59,-2.3,M39203,M11,2,0,Cell Type Signatures,7,HAY BONE MARROW NEUTROPHIL,,-59,13,29,30337,449,400,75,19,2,240|366|929|978|1089|1378|1441|2069|2180|2219|2316|2352|2353|2357|2358|3142|3557|3576|3684|3936|4084|4210|4332|4689|5329|5552|5743|5791|5997|6279|6280|6283|6402|6515|6556|7099|8291|8825|8875|9051|9535|9586|9770|10326|11025|11240|22918|23569|23601|25797|26253|51311|53829|54210|55911|60675|64092|79168|79930|91662|115727|122402|123041|124599|126014|140885|144423|146225|150372|199675|284415|338339|653361|100049587|115891964,ALOX5|AQP9|CD14|CDA|CEACAM4|CR1|CSF3R|EREG|ACSL1|FCN1|FLNA|FOLR3|FOS|FPR1|FPR2|HLX|IL1RN|CXCL8|ITGAM|LCP1|MXD1|MEFV|MNDA|NCF4|PLAUR|SRGN|PTGS2|PTPRE|RGS2|S100A8|S100A9|S100A12|SELL|SLC2A3|SLC11A1|TLR4|DYSF|LIN7A|VNN2|PSTPIP1|GMFG|CREB5|RASSF2|SIRPB1|LILRB3|PADI2|CD93|PADI4|CLEC5A|QPCT|CLEC4E|TLR8|P2RY13|TREM1|APOBR|PROK2|SAMSN1|LILRA6|DOK3|NLRP12|RASGRP4|TDRD9|SLC24A4|CD300LB|OSCAR|SIRPA|GLT1D1|CMTM2|NFAM1|MCEMP1|VSTM1|CLEC4D|NCF1|SIGLEC14|MIR223HG,-56,0
1,1,-59,-3.2,M41697,M11,2,0,Cell Type Signatures,7,TRAVAGLINI LUNG EREG DENDRITIC CELL,,-59,11,27,30337,579,400,82,20,2,597|719|728|929|944|1230|1839|2012|2069|2180|2204|2207|2212|2219|2268|2353|2354|2357|2358|3055|3162|3274|3383|3553|3557|3576|3586|3678|3687|3937|4084|4327|4973|5008|5142|5209|5328|5329|5341|5552|5791|5997|6347|6364|6515|6556|6688|7056|7099|7378|7462|7850|7940|8140|8870|9021|9308|9770|9839|10135|10288|10437|10501|11025|22918|23135|23533|23601|25797|26253|30817|50486|53831|54210|64092|64581|64651|114548|140885|200315|342510|100506115,BCL2A1|C3AR1|C5AR1|CD14|TNFSF8|CCR1|HBEGF|EMP1|EREG|ACSL1|FCAR|FCER1G|FCGR2A|FCN1|FGR|FOS|FOSB|FPR1|FPR2|HCK|HMOX1|HRH2|ICAM1|IL1B|IL1RN|CXCL8|IL10|ITGA5|ITGAX|LCP2|MXD1|MMP19|OLR1|OSM|PDE4B|PFKFB3|PLAU|PLAUR|PLEK|SRGN|PTPRE|RGS2|CCL2|CCL20|SLC2A3|SLC11A1|SPI1|THBD|TLR4|UPP1|LAT2|IL1R2|LST1|SLC7A5|IER3|SOCS3|CD83|RASSF2|ZEB2|NAMPT|LILRB2|IFI30|SEMA6B|LILRB3|CD93|KDM6B|PIK3R5|CLEC5A|QPCT|CLEC4E|ADGRE2|G0S2|GPR84|TREM1|SAMSN1|CLEC7A|CSRNP1|NLRP3|SIRPA|APOBEC3A|CD300E|PELATON,-56,0
1,0,-56,0,M40244,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL LUNG MYELOID CELLS,,-56,23,34,30337,176,400,53,13,1.7,597|719|838|929|1089|1230|1959|2015|2204|2219|2357|3055|3274|3553|3687|4210|4318|4332|5743|6688|7850|8778|9308|10288|10326|10437|11024|11025|11027|23601|27036|27128|30817|51311|53829|56729|58484|64581|79168|84658|114548|123041|124599|126014|126364|150372|284415|284759|342510|353345|353514|388387|100049587,BCL2A1|C3AR1|CASP5|CD14|CEACAM4|CCR1|EGR2|ADGRE1|FCAR|FCN1|FPR1|HCK|HRH2|IL1B|ITGAX|MEFV|MMP9|MNDA|PTGS2|SPI1|IL1R2|SIGLEC5|CD83|LILRB2|SIRPB1|IFI30|LILRA1|LILRB3|LILRA2|CLEC5A|SIGLEC7|CYTH4|ADGRE2|TLR8|P2RY13|RETN|NLRC4|CLEC7A|LILRA6|ADGRE3|NLRP3|SLC24A4|CD300LB|OSCAR|LRRC25|NFAM1|VSTM1|SIRPB2|CD300E|GPR141|LILRA5|LINC00671|SIGLEC14,-53,0
