_MEMBER_DEGs,_MEMBER_DMRs,_LogP_DEGs,_LogP_DMRs,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,-31,0,C3495559,M10,1,0,DisGeNET,35,Juvenile arthritis,,-31,8.6,19,30337,450,400,51,13,1.7,366|722|929|1118|1839|2353|2354|3162|3310|3383|3552|3553|3557|3576|3579|3586|4210|4311|4317|4318|4973|5008|5329|5788|5806|6279|6280|6283|6347|6364|6515|6556|6573|6615|6696|7099|7130|7133|7852|8291|8794|9051|9308|10135|23569|54210|81793|114548|146225|200315|353514,AQP9|C4BPA|CD14|CHIT1|HBEGF|FOS|FOSB|HMOX1|HSPA6|ICAM1|IL1A|IL1B|IL1RN|CXCL8|CXCR2|IL10|MEFV|MME|MMP8|MMP9|OLR1|OSM|PLAUR|PTPRC|PTX3|S100A8|S100A9|S100A12|CCL2|CCL20|SLC2A3|SLC11A1|SLC19A1|SNAI1|SPP1|TLR4|TNFAIP6|TNFRSF1B|CXCR4|DYSF|TNFRSF10C|PSTPIP1|CD83|NAMPT|PADI4|TREM1|TLR10|NLRP3|CMTM2|APOBEC3A|LILRA5,-28,0
1,0,-31,0,C0011615,M10,1,0,DisGeNET,35,"Dermatitis, Atopic",,-31,6.4,17,30337,750,400,63,16,1.8,133|597|820|929|944|1959|2207|2353|2354|3162|3290|3383|3552|3553|3557|3576|3579|3586|3598|3684|3718|3861|3868|4050|4311|4318|4923|5008|5142|5265|5328|5329|5473|5650|5653|5743|6279|6280|6347|6354|6364|6556|6698|6707|7099|7133|7852|8685|8740|8809|8875|9021|9173|10581|25797|25818|27036|54210|56729|64581|79168|114548|284415,ADM|BCL2A1|CAMP|CD14|TNFSF8|EGR2|FCER1G|FOS|FOSB|HMOX1|HSD11B1|ICAM1|IL1A|IL1B|IL1RN|CXCL8|CXCR2|IL10|IL13RA2|ITGAM|JAK3|KRT14|KRT16|LTB|MME|MMP9|NTSR1|OSM|PDE4B|SERPINA1|PLAU|PLAUR|PPBP|KLK7|KLK6|PTGS2|S100A8|S100A9|CCL2|CCL7|CCL20|SLC11A1|SPRR1A|SPRR3|TLR4|TNFRSF1B|CXCR4|MARCO|TNFSF14|IL18R1|VNN2|SOCS3|IL1RL1|IFITM2|QPCT|KLK5|SIGLEC7|TREM1|RETN|CLEC7A|LILRA6|NLRP3|VSTM1,-28,0
1,1,-31,-2.5,C3714514,M11,2,0,DisGeNET,35,Infection,,-31,8,18,30337,491,400,52,13,1.7,133|240|597|820|929|943|1118|1230|2204|2212|2316|2353|3055|3162|3383|3553|3557|3576|3586|3678|3689|4318|5008|5265|5328|5329|5743|5788|5806|6347|6364|6374|6402|6556|6688|6696|6753|7099|7133|7850|7852|8809|8870|9021|9173|9308|10135|27036|56729|57817|114548|150372,ADM|ALOX5|BCL2A1|CAMP|CD14|TNFRSF8|CHIT1|CCR1|FCAR|FCGR2A|FLNA|FOS|HCK|HMOX1|ICAM1|IL1B|IL1RN|CXCL8|IL10|ITGA5|ITGB2|MMP9|OSM|SERPINA1|PLAU|PLAUR|PTGS2|PTPRC|PTX3|CCL2|CCL20|CXCL5|SELL|SLC11A1|SPI1|SPP1|SSTR3|TLR4|TNFRSF1B|IL1R2|CXCR4|IL18R1|IER3|SOCS3|IL1RL1|CD83|NAMPT|SIGLEC7|RETN|HAMP|NLRP3|NFAM1,-28,0
1,0,-30,0,C0031099,M10,1,0,DisGeNET,35,Periodontitis,,-30,6.6,17,30337,679,400,59,15,1.8,133|820|929|969|1230|1441|1901|2015|2212|2215|2353|2354|2357|3162|3383|3552|3553|3557|3576|3579|3586|3684|3689|3860|4210|4311|4317|4318|5008|5023|5328|5341|5743|5806|5880|6279|6280|6347|6374|6402|7099|7439|7850|7852|8778|8809|9021|9437|10135|10763|11240|23569|25797|51311|54210|58484|114548|171389|353345,ADM|CAMP|CD14|CD69|CCR1|CSF3R|S1PR1|ADGRE1|FCGR2A|FCGR3B|FOS|FOSB|FPR1|HMOX1|ICAM1|IL1A|IL1B|IL1RN|CXCL8|CXCR2|IL10|ITGAM|ITGB2|KRT13|MEFV|MME|MMP8|MMP9|OSM|P2RX1|PLAU|PLEK|PTGS2|PTX3|RAC2|S100A8|S100A9|CCL2|CXCL5|SELL|TLR4|BEST1|IL1R2|CXCR4|SIGLEC5|IL18R1|SOCS3|NCR1|NAMPT|NES|PADI2|PADI4|QPCT|TLR8|TREM1|NLRC4|NLRP3|NLRP6|GPR141,-27,0
1,0,-29,0,C3714636,M10,1,0,DisGeNET,35,Pneumonitis,,-29,6.4,17,30337,696,400,59,15,1.8,101|240|383|654|719|728|929|943|1230|1839|1901|2215|2353|2354|2357|2358|3162|3240|3290|3383|3552|3553|3557|3576|3579|3586|3678|3687|3689|4046|4317|4318|4689|5008|5265|5743|5806|5997|6280|6283|6347|6354|6364|6374|6402|6696|7099|7130|7133|7538|7850|7852|8740|9021|54210|58484|64581|91662|114548,ADAM8|ALOX5|ARG1|BMP6|C3AR1|C5AR1|CD14|TNFRSF8|CCR1|HBEGF|S1PR1|FCGR3B|FOS|FOSB|FPR1|FPR2|HMOX1|HP|HSD11B1|ICAM1|IL1A|IL1B|IL1RN|CXCL8|CXCR2|IL10|ITGA5|ITGAX|ITGB2|LSP1|MMP8|MMP9|NCF4|OSM|SERPINA1|PTGS2|PTX3|RGS2|S100A9|S100A12|CCL2|CCL7|CCL20|CXCL5|SELL|SPP1|TLR4|TNFAIP6|TNFRSF1B|ZFP36|IL1R2|CXCR4|TNFSF14|SOCS3|TREM1|NLRC4|CLEC7A|NLRP12|NLRP3,-27,0
1,1,-29,-2.3,C0162871,M11,2,0,DisGeNET,35,"Aortic Aneurysm, Abdominal",,-29,7,17,30337,585,400,54,14,1.7,101|133|240|241|383|838|929|969|2215|2316|2321|2353|2354|3162|3240|3249|3383|3552|3553|3557|3576|3577|3579|3586|3684|3687|3689|4050|4317|4318|4332|5265|5328|5743|5788|5806|6279|6347|6364|6402|6696|7056|7099|7130|7852|8740|8809|9510|23569|54331|55824|56729|114548|653361,ADAM8|ADM|ALOX5|ALOX5AP|ARG1|CASP5|CD14|CD69|FCGR3B|FLNA|FLT1|FOS|FOSB|HMOX1|HP|HPN|ICAM1|IL1A|IL1B|IL1RN|CXCL8|CXCR1|CXCR2|IL10|ITGAM|ITGAX|ITGB2|LTB|MMP8|MMP9|MNDA|SERPINA1|PLAU|PTGS2|PTPRC|PTX3|S100A8|CCL2|CCL20|SELL|SPP1|THBD|TLR4|TNFAIP6|CXCR4|TNFSF14|IL18R1|ADAMTS1|PADI4|GNG2|PAG1|RETN|NLRP3|NCF1,-26,0
1,0,-29,0,C0021368,M10,1,0,DisGeNET,35,Inflammation,,-29,8,18,30337,467,400,49,12,1.6,133|240|241|719|728|820|1268|2204|2212|2321|2358|3162|3240|3383|3552|3553|3557|3576|3579|3586|4210|4311|4318|5265|5328|5329|5743|5806|6279|6280|6283|6347|6364|6696|6699|6781|7056|7099|7130|7538|8740|9021|9308|10135|54210|56729|57817|79865|114548,ADM|ALOX5|ALOX5AP|C3AR1|C5AR1|CAMP|CNR1|FCAR|FCGR2A|FLT1|FPR2|HMOX1|HP|ICAM1|IL1A|IL1B|IL1RN|CXCL8|CXCR2|IL10|MEFV|MME|MMP9|SERPINA1|PLAU|PLAUR|PTGS2|PTX3|S100A8|S100A9|S100A12|CCL2|CCL20|SPP1|SPRR1B|STC1|THBD|TLR4|TNFAIP6|ZFP36|TNFSF14|SOCS3|CD83|NAMPT|TREM1|RETN|HAMP|TREML2|NLRP3,-26,0
1,0,-27,0,C3875321,M10,1,0,DisGeNET,35,Inflammatory dermatosis,,-27,8.7,18,30337,382,400,44,11,1.6,240|383|820|943|1308|1901|2069|2316|2353|2354|2529|2867|3162|3383|3552|3553|3557|3576|3579|3586|3684|3687|3689|4311|4318|5008|5653|5743|5880|6279|6280|6347|6364|7056|7099|7940|8140|8740|9021|9051|11202|25818|114548|284415,ALOX5|ARG1|CAMP|TNFRSF8|COL17A1|S1PR1|EREG|FLNA|FOS|FOSB|FUT7|FFAR2|HMOX1|ICAM1|IL1A|IL1B|IL1RN|CXCL8|CXCR2|IL10|ITGAM|ITGAX|ITGB2|MME|MMP9|OSM|KLK6|PTGS2|RAC2|S100A8|S100A9|CCL2|CCL20|THBD|TLR4|LST1|SLC7A5|TNFSF14|SOCS3|PSTPIP1|KLK8|KLK5|NLRP3|VSTM1,-25,0
1,0,-27,0,C0024115,M10,1,0,DisGeNET,35,Lung diseases,,-27,6.1,16,30337,700,400,56,14,1.7,719|728|820|929|943|1084|1118|1230|1839|2069|2219|2316|2321|2353|2354|2357|2866|3162|3383|3552|3553|3557|3576|3577|3579|3586|4210|4317|4318|5008|5023|5265|5743|6279|6280|6347|6556|6615|6696|6781|7099|7130|7439|7852|8740|9173|10135|11025|11240|23569|26253|27180|56729|114548|126014|338339,C3AR1|C5AR1|CAMP|CD14|TNFRSF8|CEACAM3|CHIT1|CCR1|HBEGF|EREG|FCN1|FLNA|FLT1|FOS|FOSB|FPR1|GPR42|HMOX1|ICAM1|IL1A|IL1B|IL1RN|CXCL8|CXCR1|CXCR2|IL10|MEFV|MMP8|MMP9|OSM|P2RX1|SERPINA1|PTGS2|S100A8|S100A9|CCL2|SLC11A1|SNAI1|SPP1|STC1|TLR4|TNFAIP6|BEST1|CXCR4|TNFSF14|IL1RL1|NAMPT|LILRB3|PADI2|PADI4|CLEC4E|SIGLEC9|RETN|NLRP3|OSCAR|CLEC4D,-24,0
1,1,-26,-2,C0011603,M11,2,0,DisGeNET,35,Dermatitis,,-26,7.3,16,30337,496,400,48,12,1.6,240|383|820|943|1308|1901|2069|2316|2353|2354|2529|2867|3162|3383|3552|3553|3557|3576|3579|3586|3684|3687|3689|4050|4311|4318|5008|5328|5329|5650|5653|5743|5880|6279|6280|6347|6364|7056|7099|7538|8140|8740|9021|9051|11202|25818|58484|114548,ALOX5|ARG1|CAMP|TNFRSF8|COL17A1|S1PR1|EREG|FLNA|FOS|FOSB|FUT7|FFAR2|HMOX1|ICAM1|IL1A|IL1B|IL1RN|CXCL8|CXCR2|IL10|ITGAM|ITGAX|ITGB2|LTB|MME|MMP9|OSM|PLAU|PLAUR|KLK7|KLK6|PTGS2|RAC2|S100A8|S100A9|CCL2|CCL20|THBD|TLR4|ZFP36|SLC7A5|TNFSF14|SOCS3|PSTPIP1|KLK8|KLK5|NLRC4|NLRP3,-24,0
