_MEMBER_DEGs,_MEMBER_DMRs,_LogP_DEGs,_LogP_DMRs,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,-80,0,PGB:00026,M10,1,0,PaGenBase,36,Tissue-specific: Blood,,-80,23,40,30337,239,400,74,18,1.9,101|366|597|728|752|1230|1439|1441|2124|2180|2207|2212|2215|2219|2268|2352|2357|2358|2867|3055|3310|3385|3577|3579|3689|3936|3937|4046|4332|4542|4689|4778|5341|5473|5788|5791|5997|6402|6688|7133|7454|7462|7940|8698|8794|8807|8843|8875|9051|9473|9535|9595|10135|10288|11024|11025|11027|11314|27128|30817|50856|51311|53829|54210|55911|60675|64581|79168|83706|84649|84658|117289|200315|353514,ADAM8|AQP9|BCL2A1|C5AR1|FMNL1|CCR1|CSF2RB|CSF3R|EVI2B|ACSL1|FCER1G|FCGR2A|FCGR3B|FCN1|FGR|FOLR3|FPR1|FPR2|FFAR2|HCK|HSPA6|ICAM3|CXCR1|CXCR2|ITGB2|LCP1|LCP2|LSP1|MNDA|MYO1F|NCF4|NFE2|PLEK|PPBP|PTPRC|PTPRE|RGS2|SELL|SPI1|TNFRSF1B|WAS|LAT2|LST1|S1PR4|TNFRSF10C|IL18RAP|HCAR3|VNN2|PSTPIP1|THEMIS2|GMFG|CYTIP|NAMPT|LILRB2|LILRA1|LILRB3|LILRA2|CD300A|CYTH4|ADGRE2|CLEC4A|TLR8|P2RY13|TREM1|APOBR|PROK2|CLEC7A|LILRA6|FERMT3|DGAT2|ADGRE3|TAGAP|APOBEC3A|LILRA5,-76,0
1,0,-60,0,PGB:00030,M10,1,0,PaGenBase,36,Tissue-specific: bone marrow,,-60,20,33,30337,227,400,60,15,1.8,101|597|728|752|820|969|978|1178|2015|2124|2204|2219|2268|2352|2529|2867|3101|3576|4084|4210|4317|4332|4542|4689|4778|5008|5341|5473|5788|5791|6283|6556|7462|8530|8778|8807|8875|8993|9437|10326|11024|11025|11027|23569|23601|50856|53829|56729|64092|64386|64407|64581|79168|84658|91662|114548|200315|338339|342510|353345,ADAM8|BCL2A1|C5AR1|FMNL1|CAMP|CD69|CDA|CLC|ADGRE1|EVI2B|FCAR|FCN1|FGR|FOLR3|FUT7|FFAR2|HK3|CXCL8|MXD1|MEFV|MMP8|MNDA|MYO1F|NCF4|NFE2|OSM|PLEK|PPBP|PTPRC|PTPRE|S100A12|SLC11A1|LAT2|CST7|SIGLEC5|IL18RAP|VNN2|PGLYRP1|NCR1|SIRPB1|LILRA1|LILRB3|LILRA2|PADI4|CLEC5A|CLEC4A|P2RY13|RETN|SAMSN1|MMP25|RGS18|CLEC7A|LILRA6|ADGRE3|NLRP12|NLRP3|APOBEC3A|CLEC4D|CD300E|GPR141,-56,0
1,0,-58,0,PGB:00008,M10,1,0,PaGenBase,36,Tissue-specific: spleen,,-58,12,28,30337,499,400,77,19,2,101|399|838|951|963|1084|1089|1230|1378|2015|2124|2215|2529|3055|3162|3577|3579|4046|4050|4318|4542|4778|5473|5788|5880|6279|6283|6374|6402|6503|7099|7133|7454|7852|7940|8477|8530|8794|8807|8809|8843|9437|9473|10235|10288|10603|11024|11025|11027|11314|26253|27036|27128|30817|51311|53829|55843|58484|60675|64386|64407|79168|79865|79930|81793|84658|91662|115350|126364|140706|199675|285852|338339|353514|388512|653361|100049587,ADAM8|RHOH|CASP5|CD37|CD53|CEACAM3|CEACAM4|CCR1|CR1|ADGRE1|EVI2B|FCGR3B|FUT7|HCK|HMOX1|CXCR1|CXCR2|LSP1|LTB|MMP9|MYO1F|NFE2|PPBP|PTPRC|RAC2|S100A8|S100A12|CXCL5|SELL|SLA|TLR4|TNFRSF1B|WAS|CXCR4|LST1|GPR65|CST7|TNFRSF10C|IL18RAP|IL18R1|HCAR3|NCR1|THEMIS2|RASGRP2|LILRB2|SH2B2|LILRA1|LILRB3|LILRA2|CD300A|CLEC4E|SIGLEC7|CYTH4|ADGRE2|TLR8|P2RY13|ARHGAP15|NLRC4|PROK2|MMP25|RGS18|LILRA6|TREML2|DOK3|TLR10|ADGRE3|NLRP12|FCRL1|LRRC25|CCM2L|MCEMP1|TREML4|CLEC4D|LILRA5|CLEC17A|NCF1|SIGLEC14,-55,0
1,0,-19,0,PGB:00014,M10,1,0,PaGenBase,36,Tissue-specific: lung,,-19,6.1,13,30337,498,400,40,10,1.5,597|762|1084|1178|2212|2215|2828|3036|3383|3553|3576|3684|3853|4317|4589|4778|4973|5265|5743|6279|6283|6347|6364|6556|6699|8685|8796|8875|9021|9754|10288|10326|54210|79931|80739|114771|134864|199675|200315|643418,BCL2A1|CA4|CEACAM3|CLC|FCGR2A|FCGR3B|GPR4|HAS1|ICAM1|IL1B|CXCL8|ITGAM|KRT6A|MMP8|MUC7|NFE2|OLR1|SERPINA1|PTGS2|S100A8|S100A12|CCL2|CCL20|SLC11A1|SPRR1B|MARCO|SCEL|VNN2|SOCS3|STARD8|LILRB2|SIRPB1|TREM1|TNIP3|MPIG6B|PGLYRP3|TAAR1|MCEMP1|APOBEC3A|LIPN,-17,0
1,0,-17,0,PGB:00054,M10,1,0,PaGenBase,36,Tissue-specific: Tongue,,-17,30,20,30337,35,400,14,3.5,0.92,3557|3853|3854|3860|3868|6279|6698|6699|6707|27076|51458|54544|84518|84651,IL1RN|KRT6A|KRT6B|KRT13|KRT16|S100A8|SPRR1A|SPRR1B|SPRR3|LYPD3|RHCG|CRCT1|CNFN|SPINK7,-15,0
1,0,-15,0,PGB:00003,M10,1,0,PaGenBase,36,Tissue-specific: tonsil,,-15,19,16,30337,60,400,15,3.8,0.95,1830|3557|3853|6698|6699|6703|6707|26085|51458|54544|64407|84518|84651|144568|286887,DSG3|IL1RN|KRT6A|SPRR1A|SPRR1B|SPRR2D|SPRR3|KLK13|RHCG|CRCT1|RGS18|CNFN|SPINK7|A2ML1|KRT6C,-12,0
1,0,-14,0,PGB:00104,M10,1,0,PaGenBase,36,Cell-specific: CD33+ Myeloid,,-14,24,17,30337,41,400,13,3.2,0.89,2204|2354|3576|6515|7099|8843|10135|23569|23601|56729|60675|114548|199675,FCAR|FOSB|CXCL8|SLC2A3|TLR4|HCAR3|NAMPT|PADI4|CLEC5A|RETN|PROK2|NLRP3|MCEMP1,-12,0
1,0,-7.4,0,PGB:00094,M10,1,0,PaGenBase,36,Cell-specific: Bronchial Epithelial Cells,,-7.4,7.2,8.4,30337,137,400,13,3.2,0.89,1308|1824|1830|3552|3853|3854|3861|3868|5328|5743|6699|7378|9510,COL17A1|DSC2|DSG3|IL1A|KRT6A|KRT6B|KRT14|KRT16|PLAU|PTGS2|SPRR1B|UPP1|ADAMTS1,-5.7,0
1,0,-7.2,0,PGB:00093,M10,1,0,PaGenBase,36,Cell-specific: Vaginal Epithelial,,-7.2,19,11,30337,28,400,7,1.8,0.66,101|5650|6279|6707|7378|26085|51458,ADAM8|KLK7|S100A8|SPRR3|UPP1|KLK13|RHCG,-5.5,0
1,0,-6.8,0,PGB:00013,M10,1,0,PaGenBase,36,Tissue-specific: skin,,-6.8,5.4,7.4,30337,210,400,15,3.8,0.95,1824|1830|3853|3854|3861|3868|5650|6698|6699|8796|11202|25818|27076|54544|80740,DSC2|DSG3|KRT6A|KRT6B|KRT14|KRT16|KLK7|SPRR1A|SPRR1B|SCEL|KLK8|KLK5|LYPD3|CRCT1|LY6G6C,-5.1,0
