_MEMBER_DEGs,_MEMBER_DMRs,_LogP_DEGs,_LogP_DMRs,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,-20,0,TRR01158,M10,1,0,TRRUST,34,Regulated by: RELA,,-20,7.9,15,30337,334,400,35,8.8,1.4,240|241|597|969|1839|3162|3383|3552|3553|3557|3576|3579|3586|3687|3936|4318|4973|5328|5329|5743|6279|6280|6347|6364|6374|6615|7056|7378|7852|8740|8870|9021|9308|10135|79931,ALOX5|ALOX5AP|BCL2A1|CD69|HBEGF|HMOX1|ICAM1|IL1A|IL1B|IL1RN|CXCL8|CXCR2|IL10|ITGAX|LCP1|MMP9|OLR1|PLAU|PLAUR|PTGS2|S100A8|S100A9|CCL2|CCL20|CXCL5|SNAI1|THBD|UPP1|CXCR4|TNFSF14|IER3|SOCS3|CD83|NAMPT|TNIP3,-18,0
1,0,-20,0,TRR00875,M10,1,0,TRRUST,34,Regulated by: NFKB1,,-20,7.8,15,30337,340,400,35,8.8,1.4,240|241|597|969|1839|3162|3383|3552|3553|3557|3576|3579|3586|3687|3936|4318|4973|5328|5329|5743|6279|6280|6347|6364|6374|6615|7056|7378|7852|8740|8870|9021|9308|10135|79931,ALOX5|ALOX5AP|BCL2A1|CD69|HBEGF|HMOX1|ICAM1|IL1A|IL1B|IL1RN|CXCL8|CXCR2|IL10|ITGAX|LCP1|MMP9|OLR1|PLAU|PLAUR|PTGS2|S100A8|S100A9|CCL2|CCL20|CXCL5|SNAI1|THBD|UPP1|CXCR4|TNFSF14|IER3|SOCS3|CD83|NAMPT|TNIP3,-18,0
1,0,-11,0,TRR01256,M10,1,0,TRRUST,34,Regulated by: SP1,,-11,4.5,9.3,30337,526,400,31,7.8,1.3,240|929|1839|2353|3383|3586|3678|3687|3689|3861|3868|3936|4046|4311|4318|4332|5328|5329|5743|6279|6280|6347|6374|6573|6696|7056|7454|8140|8740|9308|56729,ALOX5|CD14|HBEGF|FOS|ICAM1|IL10|ITGA5|ITGAX|ITGB2|KRT14|KRT16|LCP1|LSP1|MME|MMP9|MNDA|PLAU|PLAUR|PTGS2|S100A8|S100A9|CCL2|CXCL5|SLC19A1|SPP1|THBD|WAS|SLC7A5|TNFSF14|CD83|RETN,-9.2,0
1,0,-11,0,TRR00109,M10,1,0,TRRUST,34,Regulated by: CEBPA,,-11,15,13,30337,59,400,12,3,0.85,1441|3101|3383|3579|3586|3687|6280|6347|6688|6696|9021|57817,CSF3R|HK3|ICAM1|CXCR2|IL10|ITGAX|S100A9|CCL2|SPI1|SPP1|SOCS3|HAMP,-8.7,0
1,0,-10,0,TRR01264,M10,1,0,TRRUST,34,Regulated by: SPI1,,-10,14,12,30337,65,400,12,3,0.85,1441|3055|3553|3577|3684|3687|3689|4311|4332|6347|7099|7454,CSF3R|HCK|IL1B|CXCR1|ITGAM|ITGAX|ITGB2|MME|MNDA|CCL2|TLR4|WAS,-8.3,0
1,0,-9.8,0,TRR00645,M10,1,0,TRRUST,34,Regulated by: JUN,,-9.8,7.5,9.9,30337,172,400,17,4.2,1,3552|3553|3576|3687|3868|4318|5328|5329|5743|6347|6573|6688|6699|6707|7133|10135|64386,IL1A|IL1B|CXCL8|ITGAX|KRT16|MMP9|PLAU|PLAUR|PTGS2|CCL2|SLC19A1|SPI1|SPRR1B|SPRR3|TNFRSF1B|NAMPT|MMP25,-7.8,0
1,0,-9.4,0,TRR00261,M10,1,0,TRRUST,34,Regulated by: ELF3,,-9.4,51,17,30337,9,400,6,1.5,0.61,4318|5743|6698|6699|6700|6707,MMP9|PTGS2|SPRR1A|SPRR1B|SPRR2A|SPRR3,-7.4,0
1,0,-8.3,0,TRR01277,M10,1,0,TRRUST,34,Regulated by: STAT3,,-8.3,7,8.9,30337,162,400,15,3.8,0.95,1901|2353|3162|3240|3383|3557|3576|3586|4318|5008|5743|6347|7538|9021|57817,S1PR1|FOS|HMOX1|HP|ICAM1|IL1RN|CXCL8|IL10|MMP9|OSM|PTGS2|CCL2|ZFP36|SOCS3|HAMP,-6.5,0
1,0,-7.7,0,TRR00110,M10,1,0,TRRUST,34,Regulated by: CEBPB,,-7.7,11,9.8,30337,67,400,10,2.5,0.78,133|1441|3240|3553|3576|3586|5743|6280|6573|7130,ADM|CSF3R|HP|IL1B|CXCL8|IL10|PTGS2|S100A9|SLC19A1|TNFAIP6,-5.9,0
1,0,-6.8,0,TRR00342,M10,1,0,TRRUST,34,Regulated by: FOS,,-6.8,11,8.9,30337,64,400,9,2.2,0.74,2353|3552|3576|4318|5328|5329|5743|6688|6707,FOS|IL1A|CXCL8|MMP9|PLAU|PLAUR|PTGS2|SPI1|SPRR3,-5.1,0
