GO,Description,_LogP_DEGs,_LogP_DMRs
R-HSA-109582,Hemostasis,-12.827407706058239,-3.8273345627498014
R-HSA-372790,Signaling by GPCR,-17.471616848722523,-2.7525347726267526
hsa05135,Yersinia infection,-8.33832403776782,-5.956092740112212
GO:0050900,leukocyte migration,-26.242189611796455,0.0
GO:0050865,regulation of cell activation,-22.516108729974277,0.0
GO:0050727,regulation of inflammatory response,-23.201970973659574,0.0
GO:0071345,cellular response to cytokine stimulus,-22.246523640947938,0.0
R-HSA-6798695,Neutrophil degranulation,-57.08154622053995,0.0
GO:0006954,inflammatory response,-45.33520680982095,0.0
GO:0002697,regulation of immune effector process,-21.797076531225684,0.0
GO:0009617,response to bacterium,-27.15334348315443,0.0
GO:0001775,cell activation,-20.826233478633032,0.0
GO:0030335,positive regulation of cell migration,-15.63453458888712,0.0
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,-14.956977904239501,0.0
GO:0071674,mononuclear cell migration,-12.7404799041466,0.0
GO:0002274,myeloid leukocyte activation,-12.68558721131595,0.0
GO:0001819,positive regulation of cytokine production,-18.89885958586486,0.0
hsa04380,Osteoclast differentiation,-14.391703905341808,0.0
R-HSA-6783783,Interleukin-10 signaling,-13.55104670470598,0.0
GO:0002237,response to molecule of bacterial origin,-19.645690228117086,0.0
