GO,Description,_LogP_DEGs,_LogP_DMRs
GO:0016032,viral process,-2.4798932754727168,-3.1004357018096447
GO:0042592,homeostatic process,-4.116010412910368,-2.309114871413556
GO:0002376,immune system process,-27.16760793429054,-3.1004357018096447
GO:0048518,positive regulation of biological process,-32.16549950333854,-3.039541499586418
GO:0048519,negative regulation of biological process,-12.038839247664395,-3.0329886024511405
GO:0051179,localization,-11.222086324049437,-3.9948845196683807
GO:0050896,response to stimulus,-45.33520680982095,-4.370780464192757
GO:0044419,biological process involved in interspecies interaction between organisms,-27.15334348315443,-2.3478939062257123
GO:0032501,multicellular organismal process,-22.516108729974277,-2.645234180358539
GO:0040011,locomotion,-26.12756888921826,-2.9091390853899504
GO:0065007,biological regulation,-6.74639313738159,-5.415450260951916
GO:0008152,metabolic process,-6.736481680229676,-4.538927117794745
GO:0009987,cellular process,-11.012740054584519,-5.016846105640468
GO:0050789,regulation of biological process,-10.381904707666713,-5.751375576816125
GO:0032502,developmental process,-10.03737259467699,-5.881997317716356
GO:0048511,rhythmic process,-5.0451829681017974,0.0
GO:0022414,reproductive process,-9.0000531115875,0.0
GO:0040007,growth,0.0,-2.946469228512912
