Gene,TotalEvidenceCounts,EvidenceHit:DEGs,EvidenceHit:DMRs,EvidenceGO:DEGs,EvidenceGO:DMRs,EvidencePPI:DEGs,EvidencePPI:DMRs
240,6.0,1,1,1,1,1,1
8291,6.0,1,1,1,1,1,1
5209,5.0,1,1,1,0,1,1
5023,5.0,1,1,1,1,0,1
8140,5.0,1,1,1,1,0,1
10603,4.0,1,1,1,1,0,0
654,3.0,1,0,1,0,1,0
5802,3.0,0,1,0,1,0,1
2867,3.0,1,0,1,0,1,0
9021,3.0,1,0,1,0,1,0
5771,3.0,0,1,0,1,0,1
3678,3.0,1,0,1,0,1,0
286887,3.0,1,0,1,0,1,0
80739,3.0,1,0,1,0,1,0
3142,3.0,1,0,1,0,1,0
218,3.0,0,1,0,1,0,1
4784,3.0,0,1,0,1,0,1
3983,3.0,0,1,0,1,0,1
3090,3.0,0,1,0,1,0,1
10801,3.0,0,1,0,1,0,1
3202,3.0,0,1,0,1,0,1
11033,3.0,0,1,0,1,0,1
342510,3.0,1,0,1,0,1,0
1839,3.0,1,0,1,0,1,0
5142,3.0,1,0,1,0,1,0
4210,3.0,1,0,1,0,1,0
10458,3.0,0,1,0,1,0,1
1378,3.0,1,0,1,0,1,0
1959,3.0,1,0,1,0,1,0
2817,3.0,0,1,0,1,0,1
2015,3.0,1,0,1,0,1,0
3632,3.0,0,1,0,1,0,1
2268,3.0,1,0,1,0,1,0
838,3.0,1,0,1,0,1,0
23135,3.0,1,0,1,0,1,0
26960,3.0,0,1,0,1,0,1
3718,3.0,1,0,1,0,1,0
6402,3.0,1,0,1,0,1,0
7850,3.0,1,0,1,0,1,0
9586,3.0,1,0,1,0,1,0
4318,3.0,1,0,1,0,1,0
3240,3.0,1,0,1,0,1,0
5361,3.0,0,1,0,1,0,1
3853,3.0,1,0,1,0,1,0
23654,3.0,0,1,0,1,0,1
1824,3.0,1,0,1,0,1,0
133,3.0,1,0,1,0,1,0
1268,3.0,1,0,1,0,1,0
9839,3.0,1,0,1,0,1,0
5578,3.0,0,1,0,1,0,1
26085,3.0,1,0,1,0,1,0
4923,3.0,1,0,1,0,1,0
53637,3.0,0,1,0,1,0,1
64581,3.0,1,0,1,0,1,0
5753,3.0,0,1,0,1,0,1
4053,3.0,0,1,0,1,0,1
64386,3.0,1,0,1,0,1,0
1855,3.0,0,1,0,1,0,1
7161,3.0,0,1,0,1,0,1
23369,3.0,0,1,0,1,0,1
1487,3.0,0,1,0,1,0,1
4155,3.0,0,1,0,1,0,1
1901,3.0,1,0,1,0,1,0
2353,3.0,1,0,1,0,1,0
2358,3.0,1,0,1,0,1,0
57091,3.0,1,0,1,0,1,0
57126,3.0,1,0,1,0,1,0
3854,3.0,1,0,1,0,1,0
3553,3.0,1,0,1,0,1,0
777,3.0,1,0,1,0,1,0
1759,3.0,0,1,0,1,0,1
5138,3.0,1,0,1,0,1,0
3577,3.0,1,0,1,0,1,0
722,3.0,1,0,1,0,1,0
9651,3.0,0,1,0,1,0,1
376497,3.0,0,1,0,1,0,1
140885,3.0,1,0,1,0,1,0
5329,3.0,1,0,1,0,1,0
3274,3.0,1,0,1,0,1,0
3559,3.0,0,1,0,1,0,1
3576,3.0,1,0,1,0,1,0
25818,3.0,1,0,1,0,1,0
5341,3.0,1,0,1,0,1,0
8698,3.0,1,0,1,0,1,0
6615,3.0,1,0,1,0,1,0
864,3.0,0,1,0,1,0,1
23533,3.0,1,0,1,0,1,0
84658,3.0,1,0,1,0,1,0
51311,3.0,1,0,1,0,1,0
81793,3.0,1,0,1,0,1,0
116986,3.0,0,1,0,1,0,1
6703,3.0,1,0,1,0,1,0
2828,3.0,1,0,1,0,1,0
9437,3.0,1,0,1,0,1,0
2357,3.0,1,0,1,0,1,0
27076,3.0,1,0,1,0,1,0
9051,3.0,1,0,1,0,1,0
5743,3.0,1,0,1,0,1,0
8993,3.0,1,0,1,0,1,0
51764,3.0,0,1,0,1,0,1
23327,3.0,0,1,0,1,0,1
1969,3.0,0,1,0,1,0,1
5552,3.0,1,0,1,0,1,0
3101,3.0,1,0,1,0,1,0
8740,3.0,1,0,1,0,1,0
2052,3.0,0,1,0,1,0,1
22821,3.0,0,1,0,1,0,1
4773,3.0,0,1,0,1,0,1
5650,3.0,1,0,1,0,1,0
7130,3.0,1,0,1,0,1,0
26053,3.0,0,1,0,1,0,1
6700,3.0,1,0,1,0,1,0
4774,3.0,0,1,0,1,0,1
1572,3.0,0,1,0,1,0,1
5725,3.0,0,1,0,1,0,1
144195,3.0,1,0,1,0,1,0
9612,3.0,0,1,0,1,0,1
53829,3.0,1,0,1,0,1,0
11314,3.0,1,0,1,0,1,0
10235,3.0,1,0,1,0,1,0
2212,3.0,1,0,1,0,1,0
719,3.0,1,0,1,0,1,0
3936,3.0,1,0,1,0,1,0
219699,3.0,0,1,0,1,0,1
124599,3.0,1,0,1,0,1,0
23396,3.0,0,1,0,1,0,1
978,3.0,1,0,1,0,1,0
115,3.0,0,1,0,1,0,1
3586,3.0,1,0,1,0,1,0
10938,3.0,1,0,1,0,1,0
6354,3.0,1,0,1,0,1,0
6688,3.0,1,0,1,0,1,0
26253,3.0,1,0,1,0,1,0
2548,3.0,0,1,0,1,0,1
639,3.0,0,1,0,1,0,1
963,3.0,1,0,1,0,1,0
5473,3.0,1,0,1,0,1,0
10160,3.0,0,1,0,1,0,1
3055,3.0,1,0,1,0,1,0
199713,3.0,1,0,1,0,1,0
6374,3.0,1,0,1,0,1,0
114548,3.0,1,0,1,0,1,0
944,3.0,1,0,1,0,1,0
3385,3.0,1,0,1,0,1,0
3310,3.0,1,0,1,0,1,0
2034,3.0,0,1,0,1,0,1
23237,3.0,1,0,1,0,1,0
2215,3.0,1,0,1,0,1,0
10437,3.0,1,0,1,0,1,0
2069,3.0,1,0,1,0,1,0
3684,3.0,1,0,1,0,1,0
101,3.0,1,0,1,0,1,0
2204,3.0,1,0,1,0,1,0
8224,3.0,0,1,0,1,0,1
23352,3.0,0,1,0,1,0,1
5653,3.0,1,0,1,0,1,0
5788,3.0,1,0,1,0,1,0
2672,3.0,0,1,0,1,0,1
114781,3.0,0,1,0,1,0,1
91662,3.0,1,0,1,0,1,0
23136,3.0,0,1,0,1,0,1
10581,3.0,1,0,1,0,1,0
1312,3.0,0,1,0,1,0,1
6347,3.0,1,0,1,0,1,0
4589,3.0,1,0,1,0,1,0
3036,3.0,1,0,1,0,1,0
943,3.0,1,0,1,0,1,0
6556,3.0,1,0,1,0,1,0
119391,3.0,0,1,0,1,0,1
10288,3.0,1,0,1,0,1,0
5270,3.0,1,0,1,0,1,0
11078,3.0,0,1,0,1,0,1
58484,3.0,1,0,1,0,1,0
7852,3.0,1,0,1,0,1,0
3689,3.0,1,0,1,0,1,0
3665,3.0,0,1,0,1,0,1
10335,3.0,1,0,1,0,1,0
7078,3.0,0,1,0,1,0,1
6753,3.0,1,0,1,0,1,0
60675,3.0,1,0,1,0,1,0
5328,3.0,1,0,1,0,1,0
53831,3.0,1,0,1,0,1,0
22905,3.0,0,1,0,1,0,1
793,3.0,1,0,1,0,1,0
3687,3.0,1,0,1,0,1,0
5265,3.0,1,0,1,0,1,0
6280,3.0,1,0,1,0,1,0
5581,3.0,0,1,0,1,0,1
63976,3.0,0,1,0,1,0,1
3656,3.0,1,0,1,0,1,0
8277,3.0,1,0,1,0,1,0
338339,3.0,1,0,1,0,1,0
2022,3.0,0,1,0,1,0,1
4782,3.0,0,1,0,1,0,1
728,3.0,1,0,1,0,1,0
147179,3.0,0,1,0,1,0,1
5590,3.0,0,1,0,1,0,1
11027,3.0,1,0,1,0,1,0
