Names	total	elements
hypo up	1	ENSG00000269220
down hypo	1	ENSG00000172915
hyper up	31	ENSG00000244158
		ENSG00000198113
		ENSG00000140548
		ENSG00000180448
		ENSG00000169184
		ENSG00000104714
		ENSG00000101213
		ENSG00000167460
		ENSG00000140859
		ENSG00000095370
		ENSG00000106991
		ENSG00000118898
		ENSG00000189067
		ENSG00000142627
		ENSG00000065328
		ENSG00000103257
		ENSG00000160255
		ENSG00000119403
		ENSG00000128011
		ENSG00000145283
		ENSG00000224689
		ENSG00000173638
		ENSG00000147454
		ENSG00000148344
		ENSG00000182541
		ENSG00000064932
		ENSG00000135439
		ENSG00000110934
		ENSG00000136802
		ENSG00000173442
		ENSG00000100599
down hyper	5	ENSG00000008283
		ENSG00000140398
		ENSG00000102934
		ENSG00000198556
		ENSG00000176155
hypo	10	ENSG00000283403
		ENSG00000162367
		ENSG00000178078
		ENSG00000188112
		ENSG00000196642
		ENSG00000087510
		ENSG00000170638
		ENSG00000143867
		ENSG00000177374
		ENSG00000168993
hyper	121	ENSG00000177096
		ENSG00000180739
		ENSG00000230148
		ENSG00000135835
		ENSG00000183060
		ENSG00000186193
		ENSG00000173480
		ENSG00000174137
		ENSG00000175906
		ENSG00000197182
		ENSG00000232586
		ENSG00000106852
		ENSG00000185507
		ENSG00000115239
		ENSG00000172830
		ENSG00000099797
		ENSG00000251600
		ENSG00000175287
		ENSG00000185567
		ENSG00000049759
		ENSG00000188389
		ENSG00000163435
		ENSG00000067606
		ENSG00000291072
		ENSG00000078900
		ENSG00000157978
		ENSG00000168070
		ENSG00000284574
		ENSG00000023892
		ENSG00000184363
		ENSG00000130304
		ENSG00000103326
		ENSG00000106976
		ENSG00000128805
		ENSG00000122512
		ENSG00000124207
		ENSG00000102539
		ENSG00000238227
		ENSG00000165060
		ENSG00000103591
		ENSG00000267530
		ENSG00000105325
		ENSG00000253302
		ENSG00000164309
		ENSG00000272610
		ENSG00000183773
		ENSG00000095932
		ENSG00000124942
		ENSG00000258537
		ENSG00000184277
		ENSG00000203883
		ENSG00000102882
		ENSG00000008441
		ENSG00000149527
		ENSG00000216921
		ENSG00000159314
		ENSG00000162522
		ENSG00000125817
		ENSG00000126522
		ENSG00000264468
		ENSG00000223923
		ENSG00000188070
		ENSG00000207730
		ENSG00000145214
		ENSG00000141622
		ENSG00000082397
		ENSG00000114656
		ENSG00000106004
		ENSG00000158480
		ENSG00000140948
		ENSG00000182580
		ENSG00000149499
		ENSG00000225945
		ENSG00000197971
		ENSG00000159784
		ENSG00000214650
		ENSG00000177731
		ENSG00000281756
		ENSG00000178685
		ENSG00000185885
		ENSG00000163959
		ENSG00000114349
		ENSG00000260302
		ENSG00000166483
		ENSG00000138835
		ENSG00000167100
		ENSG00000131634
		ENSG00000196576
		ENSG00000110237
		ENSG00000262075
		ENSG00000055917
		ENSG00000105655
		ENSG00000185332
		ENSG00000154319
		ENSG00000072134
		ENSG00000283199
		ENSG00000116016
		ENSG00000114554
		ENSG00000169598
		ENSG00000136950
		ENSG00000169220
		ENSG00000157881
		ENSG00000185818
		ENSG00000169925
		ENSG00000141750
		ENSG00000065621
		ENSG00000218416
		ENSG00000167889
		ENSG00000268655
		ENSG00000063127
		ENSG00000251322
		ENSG00000163013
		ENSG00000284258
		ENSG00000131389
		ENSG00000260325
		ENSG00000088881
		ENSG00000181790
		ENSG00000177133
		ENSG00000204876
		ENSG00000184640
		ENSG00000105997
up	2402	ENSG00000154548
		ENSG00000160013
		ENSG00000188906
		ENSG00000182511
		ENSG00000135919
		ENSG00000240891
		ENSG00000106780
		ENSG00000143376
		ENSG00000163602
		ENSG00000279719
		ENSG00000062282
		ENSG00000176845
		ENSG00000143507
		ENSG00000136542
		ENSG00000178372
		ENSG00000142185
		ENSG00000184497
		ENSG00000070495
		ENSG00000103005
		ENSG00000128595
		ENSG00000282440
		ENSG00000129128
		ENSG00000156282
		ENSG00000188089
		ENSG00000226479
		ENSG00000153922
		ENSG00000170561
		ENSG00000141298
		ENSG00000085265
		ENSG00000109743
		ENSG00000134757
		ENSG00000183625
		ENSG00000165527
		ENSG00000258102
		ENSG00000254789
		ENSG00000054523
		ENSG00000102057
		ENSG00000161011
		ENSG00000141968
		ENSG00000276900
		ENSG00000134516
		ENSG00000246334
		ENSG00000089169
		ENSG00000087086
		ENSG00000173039
		ENSG00000169026
		ENSG00000062582
		ENSG00000140564
		ENSG00000043462
		ENSG00000099337
		ENSG00000090376
		ENSG00000267655
		ENSG00000174130
		ENSG00000127084
		ENSG00000237513
		ENSG00000005381
		ENSG00000136026
		ENSG00000080815
		ENSG00000234518
		ENSG00000184611
		ENSG00000137877
		ENSG00000167553
		ENSG00000135269
		ENSG00000096433
		ENSG00000104327
		ENSG00000197943
		ENSG00000125505
		ENSG00000120129
		ENSG00000096996
		ENSG00000118508
		ENSG00000156675
		ENSG00000273812
		ENSG00000196511
		ENSG00000234511
		ENSG00000080573
		ENSG00000158805
		ENSG00000155926
		ENSG00000272549
		ENSG00000073614
		ENSG00000258867
		ENSG00000147697
		ENSG00000184730
		ENSG00000163466
		ENSG00000142347
		ENSG00000124103
		ENSG00000172216
		ENSG00000204160
		ENSG00000243797
		ENSG00000104894
		ENSG00000105639
		ENSG00000180138
		ENSG00000105851
		ENSG00000280832
		ENSG00000186834
		ENSG00000008086
		ENSG00000231964
		ENSG00000110203
		ENSG00000273017
		ENSG00000101336
		ENSG00000174004
		ENSG00000115738
		ENSG00000144228
		ENSG00000205927
		ENSG00000211455
		ENSG00000126233
		ENSG00000081985
		ENSG00000105835
		ENSG00000115419
		ENSG00000240695
		ENSG00000110719
		ENSG00000270972
		ENSG00000112299
		ENSG00000101084
		ENSG00000204767
		ENSG00000204291
		ENSG00000163823
		ENSG00000214872
		ENSG00000170989
		ENSG00000182118
		ENSG00000103653
		ENSG00000164733
		ENSG00000215464
		ENSG00000070614
		ENSG00000105514
		ENSG00000286076
		ENSG00000205730
		ENSG00000163209
		ENSG00000218073
		ENSG00000166974
		ENSG00000170477
		ENSG00000123146
		ENSG00000102218
		ENSG00000132475
		ENSG00000189430
		ENSG00000162704
		ENSG00000066336
		ENSG00000169896
		ENSG00000115808
		ENSG00000096006
		ENSG00000168453
		ENSG00000180316
		ENSG00000203804
		ENSG00000189056
		ENSG00000167994
		ENSG00000126251
		ENSG00000104320
		ENSG00000167656
		ENSG00000241170
		ENSG00000261373
		ENSG00000185650
		ENSG00000197405
		ENSG00000129292
		ENSG00000105122
		ENSG00000186594
		ENSG00000222041
		ENSG00000105402
		ENSG00000117091
		ENSG00000110841
		ENSG00000069849
		ENSG00000135476
		ENSG00000115762
		ENSG00000149428
		ENSG00000286646
		ENSG00000168918
		ENSG00000223458
		ENSG00000286044
		ENSG00000249992
		ENSG00000105707
		ENSG00000145819
		ENSG00000124466
		ENSG00000251139
		ENSG00000021355
		ENSG00000105967
		ENSG00000070961
		ENSG00000262406
		ENSG00000143536
		ENSG00000152253
		ENSG00000269119
		ENSG00000206075
		ENSG00000197191
		ENSG00000121797
		ENSG00000223773
		ENSG00000095794
		ENSG00000128512
		ENSG00000166928
		ENSG00000162461
		ENSG00000146826
		ENSG00000170439
		ENSG00000145244
		ENSG00000076685
		ENSG00000279447
		ENSG00000280407
		ENSG00000134571
		ENSG00000169508
		ENSG00000266094
		ENSG00000119714
		ENSG00000157765
		ENSG00000181631
		ENSG00000171310
		ENSG00000019995
		ENSG00000154217
		ENSG00000188511
		ENSG00000196805
		ENSG00000135090
		ENSG00000182782
		ENSG00000233559
		ENSG00000188765
		ENSG00000109047
		ENSG00000131370
		ENSG00000265975
		ENSG00000068383
		ENSG00000259379
		ENSG00000120162
		ENSG00000071054
		ENSG00000276085
		ENSG00000079277
		ENSG00000242247
		ENSG00000281162
		ENSG00000153310
		ENSG00000101265
		ENSG00000157350
		ENSG00000198837
		ENSG00000176986
		ENSG00000197329
		ENSG00000262089
		ENSG00000144824
		ENSG00000155629
		ENSG00000134061
		ENSG00000274536
		ENSG00000086288
		ENSG00000106665
		ENSG00000130309
		ENSG00000085514
		ENSG00000188056
		ENSG00000196923
		ENSG00000167759
		ENSG00000279227
		ENSG00000272636
		ENSG00000241878
		ENSG00000084110
		ENSG00000105656
		ENSG00000162366
		ENSG00000101255
		ENSG00000112053
		ENSG00000112715
		ENSG00000177628
		ENSG00000127507
		ENSG00000153395
		ENSG00000090674
		ENSG00000184602
		ENSG00000203497
		ENSG00000281491
		ENSG00000105205
		ENSG00000205716
		ENSG00000255197
		ENSG00000198406
		ENSG00000287216
		ENSG00000196611
		ENSG00000158828
		ENSG00000109466
		ENSG00000154451
		ENSG00000107968
		ENSG00000283602
		ENSG00000101000
		ENSG00000143862
		ENSG00000179967
		ENSG00000109079
		ENSG00000129353
		ENSG00000167077
		ENSG00000143226
		ENSG00000153162
		ENSG00000125744
		ENSG00000151948
		ENSG00000232187
		ENSG00000272379
		ENSG00000197852
		ENSG00000160888
		ENSG00000143333
		ENSG00000102879
		ENSG00000118113
		ENSG00000072401
		ENSG00000171862
		ENSG00000176871
		ENSG00000184106
		ENSG00000265206
		ENSG00000136630
		ENSG00000095015
		ENSG00000165494
		ENSG00000241794
		ENSG00000011600
		ENSG00000118496
		ENSG00000116337
		ENSG00000035681
		ENSG00000163735
		ENSG00000111321
		ENSG00000197043
		ENSG00000171777
		ENSG00000284930
		ENSG00000162551
		ENSG00000165474
		ENSG00000242125
		ENSG00000101276
		ENSG00000183386
		ENSG00000213889
		ENSG00000198925
		ENSG00000088992
		ENSG00000127663
		ENSG00000139572
		ENSG00000184221
		ENSG00000165178
		ENSG00000134686
		ENSG00000007944
		ENSG00000123066
		ENSG00000166451
		ENSG00000198563
		ENSG00000163221
		ENSG00000227376
		ENSG00000127528
		ENSG00000198142
		ENSG00000073008
		ENSG00000142867
		ENSG00000229035
		ENSG00000100060
		ENSG00000136869
		ENSG00000287691
		ENSG00000166478
		ENSG00000197930
		ENSG00000112096
		ENSG00000129194
		ENSG00000283646
		ENSG00000170961
		ENSG00000148680
		ENSG00000173262
		ENSG00000146070
		ENSG00000235066
		ENSG00000163736
		ENSG00000203747
		ENSG00000237649
		ENSG00000182378
		ENSG00000100024
		ENSG00000150681
		ENSG00000122591
		ENSG00000160908
		ENSG00000167977
		ENSG00000035862
		ENSG00000122783
		ENSG00000283573
		ENSG00000101311
		ENSG00000108518
		ENSG00000123360
		ENSG00000204577
		ENSG00000231329
		ENSG00000280693
		ENSG00000131503
		ENSG00000118520
		ENSG00000120705
		ENSG00000276644
		ENSG00000279024
		ENSG00000101187
		ENSG00000125462
		ENSG00000258082
		ENSG00000138964
		ENSG00000173868
		ENSG00000197081
		ENSG00000122877
		ENSG00000160883
		ENSG00000153923
		ENSG00000234262
		ENSG00000111266
		ENSG00000027075
		ENSG00000185950
		ENSG00000170091
		ENSG00000266970
		ENSG00000225313
		ENSG00000111737
		ENSG00000270640
		ENSG00000169469
		ENSG00000169564
		ENSG00000123595
		ENSG00000196154
		ENSG00000178458
		ENSG00000237781
		ENSG00000171940
		ENSG00000151702
		ENSG00000168143
		ENSG00000171044
		ENSG00000228079
		ENSG00000108691
		ENSG00000141526
		ENSG00000253214
		ENSG00000104419
		ENSG00000110756
		ENSG00000126259
		ENSG00000198363
		ENSG00000127311
		ENSG00000159527
		ENSG00000283839
		ENSG00000132405
		ENSG00000182400
		ENSG00000141506
		ENSG00000182162
		ENSG00000076928
		ENSG00000103496
		ENSG00000079432
		ENSG00000005238
		ENSG00000225647
		ENSG00000237803
		ENSG00000134107
		ENSG00000162711
		ENSG00000157600
		ENSG00000147533
		ENSG00000143119
		ENSG00000100221
		ENSG00000156639
		ENSG00000198576
		ENSG00000146918
		ENSG00000173918
		ENSG00000117090
		ENSG00000179361
		ENSG00000159166
		ENSG00000095951
		ENSG00000124216
		ENSG00000267519
		ENSG00000066279
		ENSG00000189077
		ENSG00000226091
		ENSG00000184922
		ENSG00000163216
		ENSG00000185591
		ENSG00000160785
		ENSG00000185897
		ENSG00000110400
		ENSG00000142405
		ENSG00000260314
		ENSG00000165006
		ENSG00000167779
		ENSG00000155659
		ENSG00000227467
		ENSG00000105339
		ENSG00000186074
		ENSG00000124102
		ENSG00000112033
		ENSG00000163806
		ENSG00000078098
		ENSG00000174125
		ENSG00000140030
		ENSG00000155304
		ENSG00000130475
		ENSG00000110375
		ENSG00000074660
		ENSG00000118564
		ENSG00000261267
		ENSG00000224187
		ENSG00000130962
		ENSG00000100055
		ENSG00000165071
		ENSG00000087253
		ENSG00000125447
		ENSG00000105887
		ENSG00000227502
		ENSG00000135678
		ENSG00000166250
		ENSG00000123838
		ENSG00000198805
		ENSG00000278195
		ENSG00000104368
		ENSG00000127824
		ENSG00000151743
		ENSG00000164086
		ENSG00000154227
		ENSG00000138311
		ENSG00000202019
		ENSG00000133800
		ENSG00000102362
		ENSG00000179750
		ENSG00000116852
		ENSG00000104974
		ENSG00000140519
		ENSG00000256171
		ENSG00000197632
		ENSG00000113273
		ENSG00000147168
		ENSG00000235750
		ENSG00000105383
		ENSG00000174502
		ENSG00000092067
		ENSG00000170027
		ENSG00000177575
		ENSG00000198858
