"Gene","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"APOBEC2","Healthy","Mild",33,33,609,0.414,1,"ns"
"APOBEC2","Healthy","Severe",33,36,631,0.663,1,"ns"
"APOBEC2","Mild","Severe",33,36,512,0.33,1,"ns"
"APOBEC3A","Healthy","Mild",33,33,363,0.02,0.54,"ns"
"APOBEC3A","Healthy","Severe",33,36,166,4.24e-08,1.1448e-06,"****"
"APOBEC3A","Mild","Severe",33,36,284,0.000135,0.003645,"**"
"APOBEC3B","Healthy","Mild",33,33,340,0.008,0.216,"ns"
"APOBEC3B","Healthy","Severe",33,36,202,7.5e-07,2.025e-05,"****"
"APOBEC3B","Mild","Severe",33,36,406,0.024,0.648,"ns"
"APOBEC3C","Healthy","Mild",33,33,437,0.171,1,"ns"
"APOBEC3C","Healthy","Severe",33,36,869,0.000779,0.021033,"*"
"APOBEC3C","Mild","Severe",33,36,921,5.24e-05,0.0014148,"**"
"APOBEC3D","Healthy","Mild",33,33,387,0.044,1,"ns"
"APOBEC3D","Healthy","Severe",33,36,836,0.003,0.081,"ns"
"APOBEC3D","Mild","Severe",33,36,946,1.16e-05,0.0003132,"***"
"APOBEC3F","Healthy","Mild",33,33,397,0.059,1,"ns"
"APOBEC3F","Healthy","Severe",33,36,916,6.96e-05,0.0018792,"**"
"APOBEC3F","Mild","Severe",33,36,999,2.79e-07,7.533e-06,"****"
"APOBEC3G","Healthy","Mild",33,33,401,0.066,1,"ns"
"APOBEC3G","Healthy","Severe",33,36,918,6.22e-05,0.0016794,"**"
"APOBEC3G","Mild","Severe",33,36,1017,6.49e-08,1.7523e-06,"****"
"APOBEC3H","Healthy","Mild",33,33,467,0.323,1,"ns"
"APOBEC3H","Healthy","Severe",33,36,566,0.743,1,"ns"
"APOBEC3H","Mild","Severe",33,36,641.5,0.572,1,"ns"
"APOBEC4","Healthy","Mild",33,33,784,0.002,0.054,"ns"
"APOBEC4","Healthy","Severe",33,36,774,0.03,0.81,"ns"
"APOBEC4","Mild","Severe",33,36,485,0.194,1,"ns"
