"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","GO:0050900","leukocyte migration","65/515","459/21069",6.25266782729641e-31,2.89686100438643e-27,2.07259484085857e-27,"MIR223/CCL3/CCL3L1/CCL4L2/CCL4/ITGB3/DEFA1B/DEFA1/CD177/SIRPA/SELL/PDE4B/CSF1/CXCR2/FUT7/LEP/C3AR1/FPR2/S1PR1/CXCL8/GP2/CD300A/CCR1/CXCL5/CXCL3/CXCR1/S100A12/S100A9/FCER1G/ADAM8/S100A7/S100A8/NLRP12/TRPM2/IL6/ITGA7/LYVE1/NINJ1/MPP1/RAC2/ADGRE2/FFAR2/TNFSF14/IL1B/TREM1/TNFAIP6/CXCR4/CSF3R/PADI2/IL1R1/TACR1/CCL20/IL1A/RIPOR2/NEDD9/CCL2/FLT1/HCK/MMP9/HMOX1/ICAM1/CXCL2/EDN1/SPI1/ALOX5",65
"GO:0030595","GO:0030595","leukocyte chemotaxis","47/515","280/21069",8.15849656009604e-26,1.88991572814625e-22,1.35216345619697e-22,"MIR223/CCL3/CCL3L1/CCL4L2/CCL4/DEFA1B/DEFA1/PDE4B/CSF1/CXCR2/C3AR1/FPR2/S1PR1/CXCL8/CCR1/CXCL5/CXCL3/CXCR1/S100A12/S100A9/FCER1G/ADAM8/S100A7/S100A8/TRPM2/IL6/NINJ1/MPP1/RAC2/ADGRE2/FFAR2/TNFSF14/IL1B/TREM1/TNFAIP6/CXCR4/CSF3R/PADI2/CCL20/RIPOR2/NEDD9/CCL2/FLT1/CXCL2/EDN1/SPI1/ALOX5",47
"GO:0060326","GO:0060326","cell chemotaxis","53/515","369/21069",1.26542778842257e-25,1.95424231458726e-22,1.39818670376936e-22,"MIR223/CCL3/CCL3L1/CCL4L2/CCL4/DEFA1B/DEFA1/PDE4B/CSF1/CCR3/CXCR2/EGR3/C3AR1/FPR2/S1PR1/CXCL8/CCR1/CXCL5/CXCL3/CXCR1/S100A12/S100A9/FCER1G/EPHB1/ADAM8/S100A7/S100A8/TRPM2/IL6/NINJ1/MPP1/DOCK4/RAC2/ADGRE2/FFAR2/TNFSF14/IL1B/TREM1/TNFAIP6/CXCR4/CCRL2/CSF3R/PADI2/CCL20/HBEGF/RIPOR2/NEDD9/CCL2/FLT1/CXCL2/EDN1/SPI1/ALOX5",53
"GO:0097530","GO:0097530","granulocyte migration","37/515","174/21069",2.72458992605306e-24,3.15575628185096e-21,2.25782465187923e-21,"MIR223/CCL3/CCL3L1/CCL4L2/CCL4/CD177/PDE4B/CSF1/CXCR2/FUT7/C3AR1/CXCL8/GP2/CD300A/CXCL5/CXCL3/CXCR1/S100A12/S100A9/FCER1G/ADAM8/S100A7/S100A8/MPP1/RAC2/ADGRE2/IL1B/TREM1/TNFAIP6/CSF3R/IL1R1/CCL20/IL1A/RIPOR2/CCL2/CXCL2/EDN1",37
"GO:0032496","GO:0032496","response to lipopolysaccharide","53/515","398/21069",4.9617561586408e-24,4.59756325659657e-21,3.28938318811787e-21,"MIR223/MIR21/CCL3/MRC1/DEFA1B/LILRA2/DEFA3/DEFA1/CARD16/SIRPA/PDE4B/CSF1/THBD/TRIB1/CD14/FOS/CXCL8/CAMP/CXCL5/CXCL3/S100A9/NLRP3/BMP6/ADM/S100A7/S100A8/TLR2/TLR4/IL36RN/IL36G/IL6/IRAK2/LILRB2/ZFP36/IL1B/GHSR/TNFAIP3/IL1A/IL12B/SOD2/CCL2/SLC7A5/ACOD1/HCK/NFKBIA/CSF2RB/CXCL2/EDN1/PTGS2/SPI1/TNFRSF1B/SLC11A1/MPO",53
"GO:1990266","GO:1990266","neutrophil migration","33/515","146/21069",1.10371496356166e-22,8.52251904363532e-20,6.09754108816786e-20,"MIR223/CCL3/CCL3L1/CCL4L2/CCL4/CD177/PDE4B/CXCR2/FUT7/C3AR1/CXCL8/GP2/CXCL5/CXCL3/CXCR1/S100A12/S100A9/FCER1G/ADAM8/S100A8/MPP1/RAC2/IL1B/TREM1/TNFAIP6/CSF3R/IL1R1/CCL20/IL1A/RIPOR2/CCL2/CXCL2/EDN1",33
"GO:0002237","GO:0002237","response to molecule of bacterial origin","53/515","432/21069",2.42822105277034e-22,1.60713544821214e-19,1.14984482634192e-19,"MIR223/MIR21/CCL3/MRC1/DEFA1B/LILRA2/DEFA3/DEFA1/CARD16/SIRPA/PDE4B/CSF1/THBD/TRIB1/CD14/FOS/CXCL8/CAMP/CXCL5/CXCL3/S100A9/NLRP3/BMP6/ADM/S100A7/S100A8/TLR2/TLR4/IL36RN/IL36G/IL6/IRAK2/LILRB2/ZFP36/IL1B/GHSR/TNFAIP3/IL1A/IL12B/SOD2/CCL2/SLC7A5/ACOD1/HCK/NFKBIA/CSF2RB/CXCL2/EDN1/PTGS2/SPI1/TNFRSF1B/SLC11A1/MPO",53
"GO:0097529","GO:0097529","myeloid leukocyte migration","43/515","280/21069",4.00968911959518e-22,2.32211121138556e-19,1.66138303126384e-19,"MIR223/CCL3/CCL3L1/CCL4L2/CCL4/CD177/SIRPA/PDE4B/CSF1/CXCR2/FUT7/C3AR1/FPR2/CXCL8/GP2/CD300A/CCR1/CXCL5/CXCL3/CXCR1/S100A12/S100A9/FCER1G/ADAM8/S100A7/S100A8/IL6/MPP1/RAC2/ADGRE2/IL1B/TREM1/TNFAIP6/CSF3R/IL1R1/CCL20/IL1A/RIPOR2/CCL2/FLT1/CXCL2/EDN1/SPI1",43
"GO:0050727","GO:0050727","regulation of inflammatory response","55/515","500/21069",6.97713979424097e-21,3.59167651852427e-18,2.56970914760992e-18,"MIR223/MIR21/CCL3/SUCNR1/SIRPA/LRRK2/LILRA5/PDE2A/FFAR3/SOCS3/FUT7/NLRP6/FPR2/S100A12/S100A9/NLRP3/NCF1/PIK3AP1/ADAM8/MMP3/NFKBIZ/S100A8/NLRP12/CASP5/TLR2/TLR4/IL6/ALOX5AP/NINJ1/ADORA2A/ZFP36/FFAR2/IL1B/TNFAIP6/GHSR/TNFAIP3/MMP8/IL1RL1/IL1R1/BCL6/IL12B/CCN4/MEFV/ACOD1/HCK/MMP9/NFKBIA/OSM/NLRC4/PTPRC/CST7/PTGS2/TNFRSF1B/ALOX5/FGR",55
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","40/515","270/21069",4.52375961088096e-20,2.09585782772115e-17,1.49950726470149e-17,"MIR223/MIR21/CCL3/MRC1/DEFA1B/LILRA2/DEFA3/DEFA1/CARD16/SIRPA/PDE4B/TRIB1/CD14/CXCL8/CAMP/CXCL5/CXCL3/NLRP3/BMP6/TLR2/TLR4/IL36RN/IL36G/IL6/IRAK2/LILRB2/ZFP36/IL1B/GHSR/TNFAIP3/IL1A/IL12B/CCL2/SLC7A5/ACOD1/HCK/NFKBIA/CXCL2/SPI1/TNFRSF1B",40
