Mixture,Severity,FFAR4 high Macrophages,MSR1 C1QB high Macrophages,Interferon Responsive Secretory Cells,AZGP1 SCGB3A1 LTF high Goblet Cells,Interferon Responsive Macrophages,Deuterosomal Cells,ITGAX high Macrophages,Interferon Responsive Cytotoxic CD8 T Cells,Dendritic Cells,Early Response T Cells,B Cells,Inflammatory Macrophages,SPRR2D high Squamous Cells,CD8 T Cells,AZGP1 high Goblet Cells,Developing Secretory and Goblet Cells,SERPINB11 high Secretory Cells,Developing Ciliated Cells,Early Response Secretory Cells,Early Response FOXJ1 high Ciliated Cells,BEST4 high Cilia high Ciliated Cells,MUC5AC high Goblet Cells,FOXJ1 high Ciliated Cells
Healthy1,Healthy,0.003394017,0.009191738,0.01032172,0.00664234,0.001858085,0.01377384,0,0,0.008338424,0.017278831,0.018326558,0.016799403,0.017860566,0.011290732,0.051071618,0.026048038,0.039971101,0.080631903,0.082704138,0.070444699,0.119253936,0.139329911,0.255468402
Healthy2,Healthy,0,0.000173073,0.007158235,0.009217001,0.004982725,0,0,0,0.017066445,0.004556606,0.01541486,0.000782299,0.025835484,0.015372401,0.033927876,0.021472391,0.029429411,0.088146005,0.103653752,0.122902757,0.147666894,0.133167916,0.219073868
Healthy4,Healthy,0.0033771,0,0.001513607,0,0,0.007504441,9.10E-05,0,0.006069945,0.005619897,0.012400338,0.023367592,0.019257198,0.008514868,0.043262356,0.018268139,0.039610672,0.102324835,0.10853231,0.118693823,0.136463009,0.128686997,0.216441877
Healthy5,Healthy,0.001608496,0.006879594,0,0.005985747,0,0,0.002388283,0.012561934,0.02807702,0,0,0,0.03393832,0.044831701,0.034692061,0,0.038126789,0.019619122,0.056324692,0.105954662,0.20721211,0.09708009,0.286820521
Healthy6,Healthy,0,0.00531296,0,0,0,0,0,0,0.01931601,0.02080249,0.005473186,0,0.00085586,0.00754246,0.036926715,0.073610739,0.07267845,0.042976503,0.073298647,0.155760984,0.177443348,0.06379598,0.184159539
Healthy7,Healthy,0.004809649,0.022543556,0,0,0,0,0,0,0,0.016024707,0.00888886,0.002324985,0.030767701,0.010588394,0.037512007,0.058657799,0.075012107,0.099076692,0.077888619,0.203824414,0.088388349,0.056156183,0.125182187
Healthy8,Healthy,0,0.002374835,0.005937198,0,0.004583794,0,0,0,0.004064794,0.013570005,0.013029423,0.002331246,0.001499715,0.015449248,0.01043341,0.032611777,0.047973659,0.105551245,0.060947762,0.130692714,0.141681928,0.063776606,0.313029392
Healthy9,Healthy,0.000495946,0,0.002985629,0.000927239,0.011598328,0,0.024941123,0.029287115,0,0,0.007520215,0,0.004674117,0.029081413,0.027697862,0.017131941,0.07362822,0.080533795,0.122854773,0.137956795,0.134895389,0.120886276,0.160269312
Healthy11,Healthy,0,0.004209561,0.005317625,0.001645128,0.001154252,0,0,0,0.009984452,0.007272027,0.011804386,0.001137009,0.017496038,0.008927456,0.008525753,0.060609155,0.037062551,0.086888489,0.094389386,0.138466656,0.148254851,0.060909582,0.269352432
Healthy12,Healthy,0.004579399,0,0,0.012562369,0,0,0.010066865,0,0.026019591,0.011754138,0.003880411,0,0.013892514,0.015062584,0.011011063,0.061387653,0.061911393,0.048644926,0.051537815,0.118577635,0.183730309,0.06735005,0.260094474
Healthy13,Healthy,0.00418322,0.014098419,0.001951602,0,0,0,0.000441798,0.007590392,0.01383286,0.007051663,0.007374524,0,0.032684125,0.01437982,0.033989681,0.045161166,0.054439821,0.092699248,0.065237026,0.157778668,0.09816929,0.059275615,0.195371282
Healthy14,Healthy,0.002176479,0,0,0.009067062,0.00590237,0.009896874,0.006677045,0.003388143,0.01344698,0,0.009003197,0,0.031212016,0.017144744,0.039705373,0,0.05157539,0.073282222,0.07656839,0.178452195,0.093198681,0.161743389,0.180055549
Healthy15,Healthy,0.000676563,0,0,0.018786927,0.017081909,0,0.00758536,0,0,0,0.001417413,0,0,0.034934381,0.000713652,0,0.053386501,0.110160534,0.089745626,0.122258251,0.023590216,0.100547368,0.394612485
Healthy17,Healthy,0,0.005682707,0.008492842,0,0.050004378,0,0,0.063518337,0.019480864,0,0,0.001993356,0,0.038037086,0,0,0.083729052,0.00761608,0.102889802,0.023646901,0.127431033,0.178961045,0.246098052
Healthy18,Healthy,0.002271518,0.010645665,0,0.003510203,0.007820842,0,0,0.020780691,0,7.11E-05,0.013072099,0.010121029,0.030815239,0.008542549,0.036212292,0,0.092841265,0.136621244,0.06647733,0.140536005,0.080920881,0.118626521,0.215810526
Healthy19,Healthy,0,0.000393456,0.005477535,0,0.004680769,0,0,0,0.016327307,0.004465949,0.009548819,0.00645092,0.034058495,0.007526819,0.025389007,0.034248527,0.034158637,0.066124971,0.090592349,0.107496436,0.195672539,0.132770502,0.224616962
Healthy20,Healthy,0.002733939,1.37E-05,0.004834808,0.012196668,0,0,0.017099751,0.002317518,0.014963243,0,0.007252666,0,0.029016192,0.038498676,0,0.053036445,0.050336215,0.046279977,0.096965813,0.082388025,0.174644007,0.055309601,0.271500448
Healthy21,Healthy,0,0.001867687,0.012547465,0.00076743,0.012394192,0.008213018,0,0,0,0.027358877,0.015799019,0.020268126,0.024834908,0.00268469,0.04524384,0.017512053,0.043361456,0.117320557,0.077225398,0.120207707,0.068692144,0.136004822,0.246699849
Healthy22,Healthy,0.001101484,0.008744766,0,0.011549463,0.003058328,0.008535925,0.005853149,0.011819087,0.012359794,0,0.019405271,0.003094715,0,0.019728478,0.113317099,0.00219769,0.027758719,0.023957825,0.178329648,0.138822023,0.099592525,0.206114196,0.092993286
Healthy23,Healthy,0,0.007736096,0.002187411,0.001313001,0.013652364,0.011823055,0,0.012462251,0.005926443,0,0.018722547,0.008478306,0.015850498,0.022667213,0.021201087,0.017718278,0.02348245,0.07883832,0.11383817,0.138689383,0.097086827,0.129882664,0.232015428
Healthy24,Healthy,0,0.00016784,0.000307075,0,0.000769484,0.022034982,0,0,0.010165016,0.011407717,0.021226863,0.025647673,0.034098144,0.012127453,0.059690175,0.022671214,0.084305025,0.096490767,0.076739549,0.170886812,0.07562515,0.145265467,0.130373593
Healthy25,Healthy,0.003232188,0.009029739,0.00705543,0.009474207,0,0,0.006902341,0.060446603,0.021217252,0,0,0,0.013944647,0.044096355,0.027243202,0.000961245,0.033370128,0,0.069690383,0.141665893,0.223883501,0.090644215,0.225327719
Healthy26,Healthy,0.014589247,0.000719364,0.005652482,0.003399989,0.013072028,0,0,0.044984113,0.022147035,0,0.002181332,0,0,0.050566047,0.011053042,0.017957419,0.048948922,0,0.102329597,0.14260168,0.208933719,0.13821646,0.156681531
Healthy27,Healthy,0.014221506,0,0.009804799,0,0.012804519,0,0,0,0.025293642,0.034301642,0.026561021,0.003285451,0.066390882,0.005178418,0.028361972,0.050923601,0.043235848,0,0.100506094,0.096071812,0.099070843,0.202175436,0.169378142
Healthy28,Healthy,0.003849013,0,0.016258874,0,0.012510582,0.01089964,0.058133624,0.009146006,0.029694048,0.004462726,0.020289392,0,0.016685325,0.040398277,0.058246735,0.011354166,0.047817596,0,0.108658269,0.074574613,0.151096973,0.137488164,0.171057345
Healthy29,Healthy,0.006411728,0,0,0.00906828,0.013054272,0,0.009065479,0.040376096,0.032504486,0,0.002114245,0,0,0.042505973,0.009360097,0.008866271,0.064441491,0,0.114682759,0.092401231,0.227736016,0.100302786,0.225204758
Healthy31,Healthy,0,0.000135667,0,0.005123535,0,0,0,0.028690408,0.011912774,0.000639588,0.014954277,0.006918192,0.022131535,0.009525242,0,0.003108504,0.051433682,0.036000264,0.097793088,0.058449452,0.189375095,0.14712274,0.316685957
Healthy32,Healthy,0,0.002602304,0.001837762,0,0.004067495,0,0.003642745,0,0.016538103,0.006507645,0.008547832,0,0.017684279,0.015540851,0.003858612,0.03035258,0.078193917,0.058289728,0.094527319,0.188872895,0.131306656,0.062687553,0.222582463
Healthy33,Healthy,0,0.00291326,0.012156173,0.000102022,0.008876588,9.12E-05,0,0,0.001749911,0.024029292,0.008948529,0.012380954,0.006165228,0.005080179,0.016529203,0.0251603,0.095126493,0.078326582,0.05131929,0.151735588,0.083872348,0.132505706,0.282931131
Healthy34,Healthy,0.004730993,0,0.014876645,0,0.001101189,0,0,0,0.008148148,0.02503161,0.003833406,0.004958204,0,0.009878816,0,0.052881477,0.099010916,0.085901799,0.027189615,0.129719492,0.160397794,0.048948812,0.299695462
Healthy36,Healthy,0.000105652,0.00112688,0.0093406,0.001202496,0.001570801,0.010085552,0,0.021365655,0.013598786,0,0.003053423,0,0.023084494,0.015659692,0.027755035,0.009422039,0.037694084,0.030312952,0.081832511,0.140971495,0.216286441,0.12075684,0.234774571
Healthy37,Healthy,0,0.011895274,0.009055443,0,0.012726404,0.014325148,0,0.004873489,0.00743013,0.018443407,0.003038133,0.006446052,0,0.024562343,0.101022949,0.011321048,0.099841577,0.011982948,0.032074826,0.181310096,0.100596531,0.181345843,0.167708356
Healthy38,Healthy,0.002209932,0,0,0.021595801,0.008890761,0.001868973,0.007053054,0.014657686,0.017709414,0,0,0,0,0.043739213,0.004964735,0,0.054501424,0.056732314,0.098030215,0.135054253,0.080565376,0.129092645,0.314761494
Mild1,Mild,0,0.010722933,0.015573225,0.045830651,0.032142909,0,0.008564109,0.027425148,0.008220993,0,0.003787971,0,0.02195083,0.028602239,0.06136141,0.017022009,0.015114217,0.062564824,0.179236551,0.058427214,0.088272812,0.197787828,0.117392127
Mild3,Mild,0,0.001234305,0.002659582,0.006108696,0.004802028,0.008942762,0,0,0.012341592,0.041930746,0.005659809,0.00914903,0.023382727,0.009902641,0.010021706,0.041831868,0.026606158,0.10158839,0.107495027,0.077563562,0.138452079,0.097141631,0.252709201
Mild4,Mild,0,0.007368196,0.004619685,0.006722919,0.014316888,0.008334643,0,0,0.001944349,0.004791992,0.011698165,0.009880954,0.027504873,0.011725497,0.009213115,0.020917998,0.026656654,0.095992519,0.106723093,0.131569742,0.080150494,0.125242655,0.245751246
Mild5,Mild,0,0.004293677,0.012582819,0.010245565,0.00883889,0.003884608,0,0,0.014923429,0.004901481,0.015736009,0,0.013386792,0.012390308,0.008812864,0.042175724,0.027556083,0.084474956,0.107737855,0.129505267,0.134687169,0.096269388,0.251730431
Mild6,Mild,0,0.000781663,0,0,0,0,0.003983301,0,0.005469704,0.009829637,0.007073632,0.014616612,0.032572131,0.011107513,0.01908382,0.074938886,0.068556815,0.094867107,0.062909367,0.107082727,0.154926099,0.05773539,0.221809021
Mild7,Mild,0,0.002355536,0.010231495,0.000956504,0.015035202,0.004994531,0,0,0.008745024,0.018426525,0.011384635,0.008990469,0,0.026262922,0,0.057161088,0.021616864,0.084254656,0.13892437,0.06248706,0.148619284,0.137714756,0.241787849
Mild8,Mild,0.002539633,0.010611124,0,0,0.008484851,0.024749366,0,0,0.006794838,0.020247701,0.011066729,0,0.030784204,0.013574183,0.054513417,0.019843982,0.028278045,0.04189148,0.142110955,0.11051845,0.095396237,0.156533688,0.222061118
Mild9,Mild,0.004130133,0.018115645,0.001458316,0,0.00542681,0.02790961,0.002459761,0.0061439,0.012331082,0.015850459,0.010352622,0,0,0.018068428,0.050176366,0.009677443,0.015503837,0.03111844,0.196613802,0.080226713,0.120503633,0.14834281,0.191224096
Mild10,Mild,0,0.006634358,0.00691185,0.017620893,0.01317846,0.023189771,0,0.000648542,0.010034311,0.029855181,0.013602086,0.00968693,0.004241134,0.016697253,0,0.031370509,0.00933695,0.101712612,0.095670348,0.139928407,0.067818416,0.144046975,0.183722748
Mild11,Mild,0.004469701,0.01483511,0,0,0.005168289,0.01324964,0,0.013278896,0.010383849,2.84E-05,0.016854431,0.008561428,0.040167569,0.011380982,0.049232498,0,0.042782236,0.062145282,0.113608191,0.124467612,0.088376854,0.173452763,0.176769654
Mild13,Mild,0.002824895,0,0.001296973,0,0.004564571,0.024116489,0,0,0.006190132,0.023642229,0.018519333,0.047956458,0.025520608,0.010261449,0.042402518,0.017149934,0.018359976,0.049735232,0.151382364,0.072055403,0.098555168,0.177522505,0.199771812
Mild14,Mild,0,0.015089144,0.001410193,0.020305424,0,0.01266258,0,0.011054752,0.017275693,0,0.011455304,0,0,0.013876629,0.050390053,0,0.054250511,0.066037607,0.092790744,0.173850146,0.111627341,0.127676243,0.202072559
Mild16,Mild,0,0.008465392,0,0.015127548,0,0.042500232,0,0.011280952,0.022131988,0,0.008867414,0,0.041356614,0.011207539,0.063010313,0,0,0.055991538,0.132054374,0.108711152,0.132716085,0.159434688,0.181101801
Mild17,Mild,0.004104734,0,0.005341228,0.024176915,0.009905492,0,0.017959491,0.035847114,0.014644209,0,0.004675596,0,0.038137949,0.037828461,0,0.029628196,0.014153263,0.011150923,0.07693487,0.094264386,0.233887055,0.147571725,0.198283947
Mild18,Mild,0,0.001654419,0.009040053,0,0.006497515,0.018806403,0.022140966,0,0.054169813,0.024221566,0.031602047,0,0.069064786,0.025099885,0,0.065149965,0.026959573,0.024088218,0.080402301,0.154711114,0.129549901,0.073771718,0.118888443
Mild19,Mild,0.005243127,0.006050493,0.012736008,0.012642976,0,0,0.018833942,0.058296817,0.036573602,0.006486678,0.025345935,0,0.024774865,0.030597216,0.0062016,0.010877115,0.014941736,0,0.0672584,0.026675591,0.264757278,0.106343936,0.254591743
Mild20,Mild,0.00712575,0.007771063,0.009063235,0.010353192,0,0.013122053,0.00678875,0.014101903,0.023739221,0,0.005931602,0,0.043579954,0.022886599,0.056871205,0,0.011022646,0,0.108531494,0.102399064,0.1485915,0.192387118,0.192659748
Mild21,Mild,0.004940265,0,0.01356854,0,0,0,0.013725514,0.016813676,0.03276935,0,0.016338384,0,0.037877413,0.019575545,0.067855748,0,0.000765634,0,0.075943887,0.097234924,0.180483731,0.241051706,0.169925958
Mild22,Mild,0.004666935,0,0.000186989,0.005491277,0.023900484,0,0.02257801,0.044769135,0.026722861,0,0,0,0.011170454,0.044666907,0,0,0.030027142,0,0.059222514,0.088631779,0.210959523,0.158858977,0.260235606
Mild23,Mild,0.003498839,0.005980455,0.015579025,0.013419944,0.008834556,0.007566717,0,0.053015784,0.019971423,0,0.000594424,0,0.018063062,0.029666168,0.065754567,0,0.034853647,0,0.120433566,0.075118772,0.155742098,0.167313281,0.195925624
Mild24,Mild,0.006226963,0,0.004763787,0,0.009564143,0,0,0,0.024104352,0.011766255,0.035728068,0,0.049575367,0.02567378,0.021943973,0.018600191,0.037493907,0.000312945,0.097167815,0.040851822,0.162943285,0.119223599,0.250682834
