"","colnames.raw.counts.","row.names.raw.samples.","raw.samples.lib.size"
"1","Healthy1","Healthy1",184334812
"2","Healthy2","Healthy2",148279621
"3","Healthy4","Healthy4",70617690
"4","Healthy5","Healthy5",47939911
"5","Healthy6","Healthy6",217777951
"6","Healthy7","Healthy7",85116961
"7","Healthy8","Healthy8",133713844
"8","Healthy9","Healthy9",199894526
"9","Healthy11","Healthy11",95072510
"10","Healthy12","Healthy12",72558760
"11","Healthy13","Healthy13",140210442
"12","Healthy14","Healthy14",106610838
"13","Healthy15","Healthy15",53834020
"14","Healthy17","Healthy17",142329497
"15","Healthy18","Healthy18",122062367
"16","Healthy19","Healthy19",117679586
"17","Healthy20","Healthy20",85245937
"18","Healthy21","Healthy21",131027941
"19","Healthy22","Healthy22",97454834
"20","Healthy23","Healthy23",104780815
"21","Healthy24","Healthy24",29730699
"22","Healthy25","Healthy25",110068133
"23","Healthy26","Healthy26",71488376
"24","Healthy27","Healthy27",76842935
"25","Healthy28","Healthy28",83092193
"26","Healthy29","Healthy29",54736261
"27","Healthy31","Healthy31",48096426
"28","Healthy32","Healthy32",146868013
"29","Healthy33","Healthy33",62085821
"30","Healthy34","Healthy34",54736325
"31","Healthy36","Healthy36",78800680
"32","Healthy37","Healthy37",173607581
"33","Healthy38","Healthy38",45719020
"34","Mild1","Mild1",98273326
"35","Mild3","Mild3",86779428
"36","Mild4","Mild4",86878320
"37","Mild5","Mild5",112378381
"38","Mild6","Mild6",81209105
"39","Mild7","Mild7",99852573
"40","Mild8","Mild8",140450528
"41","Mild9","Mild9",126661611
"42","Mild10","Mild10",143818980
"43","Mild11","Mild11",132029626
"44","Mild13","Mild13",39731901
"45","Mild14","Mild14",69572162
"46","Mild16","Mild16",154833456
"47","Mild17","Mild17",80147544
"48","Mild18","Mild18",25710036
"49","Mild19","Mild19",98266194
"50","Mild20","Mild20",120607076
"51","Mild21","Mild21",40799459
"52","Mild22","Mild22",80401777
"53","Mild23","Mild23",43035509
"54","Mild24","Mild24",39680481
"55","Mild25","Mild25",56534598
"56","Mild26","Mild26",72261387
"57","Mild27","Mild27",82351651
"58","Mild29","Mild29",130842354
"59","Mild30","Mild30",54149637
"60","Mild31","Mild31",68550829
"61","Mild32","Mild32",83505761
"62","Mild33","Mild33",67106776
"63","Mild34","Mild34",30664413
"64","Mild35","Mild35",31554721
"65","Mild36","Mild36",35637307
"66","Mild37","Mild37",57766366
"67","Mild38","Mild38",99058253
"68","Mild39","Mild39",167231096
"69","Mild40","Mild40",14521761
"70","Mild41","Mild41",88309072
"71","Mild42","Mild42",149605662
"72","Mild43","Mild43",82230121
"73","Mild44","Mild44",83251798
"74","Mild45","Mild45",112302563
"75","Mild48","Mild48",91408491
"76","Severe1","Severe1",22924320
"77","Severe11","Severe11",65870149
"78","Severe12","Severe12",77622315
"79","Severe13","Severe13",19776399
"80","Severe14","Severe14",96274707
"81","Severe15","Severe15",114057712
"82","Severe16","Severe16",78986533
"83","Severe17","Severe17",83556675
"84","Severe18","Severe18",100021005
"85","Severe19","Severe19",77077808
"86","Severe20","Severe20",42416811
"87","Severe21","Severe21",85060419
"88","Severe22","Severe22",72028913
"89","Severe23","Severe23",101472657
"90","Severe24","Severe24",114360383
"91","Severe25","Severe25",92578911
"92","Severe26","Severe26",68328665
"93","Severe27","Severe27",107031660
"94","Severe28","Severe28",185413149
"95","Severe29","Severe29",101990024
"96","Severe30","Severe30",101202991
"97","Severe31","Severe31",117477980
"98","Severe32","Severe32",147579579
"99","Severe33","Severe33",83396310
"100","Severe34","Severe34",165692827
"101","Severe35","Severe35",82807198
"102","Severe36","Severe36",119597891
