"","Variable","W_statistic","p_value","adjusted_p_value"
"1","FFAR4.high.Macrophages","544","0.138927139593072",0.186900196664173
"2","MSR1.C1QB.high.Macrophages","197","5.44256714226889e-05",0.000417263480907282
"3","Interferon.Responsive.Secretory.Cells","538","0.166730736449802",0.201831944123445
"4","AZGP1.SCGB3A1.LTF.high.Goblet.Cells","323","0.050902509228154",0.0836255508748244
"5","Interferon.Responsive.Macrophages","496","0.453981533383385",0.519527414521807
"6","Deuterosomal.Cells","676.5","0.000302309647891013",0.00115885365024888
"7","ITGAX.high.Macrophages","581.5","0.0313762849813068",0.0601378795475047
"8","Interferon.Responsive.Cytotoxic.CD8.T.Cells","266","0.00179212962797754",0.00515237268043543
"9","Dendritic.Cells","253.5","0.00391938679295398",0.00901458962379415
"10","Early.Response.T.Cells","706.5","9.31253853666176e-05",0.000428376772686441
"11","B.Cells","638","0.00432668683740328",0.00904670884184322
"12","Inflammatory.Macrophages","810","4.47453479216061e-08",1.02914300219694e-06
"13","SPRR2D.high.Squamous.Cells","494","0.474351117606867",0.519527414521807
"14","CD8.T.Cells","644","0.00280385935737183",0.00716541835772801
"15","AZGP1.high.Goblet.Cells","450","0.952582102137525",0.952582102137525
"16","Developing.Secretory.and.Goblet.Cells","709","9.23748541723574e-05",0.000428376772686441
"17","SERPINB11.high.Secretory.Cells","338","0.112300312359888",0.172193812285162
"18","Developing.Ciliated.Cells","310.5","0.0454075558748488",0.0803364450093479
"19","Early.Response.Secretory.Cells","213","0.000406458550789534",0.0013355066668799
"20","Early.Response.FOXJ1.high.Ciliated.Cells","166","1.50841295821466e-05",0.000173467490194686
"21","BEST4.high.Cilia.high.Ciliated.Cells","347","0.146269719128483",0.186900196664173
"22","MUC5AC.high.Goblet.Cells","412","0.626343302059464",0.654813452153076
"23","FOXJ1.high.Ciliated.Cells","550","0.122866002557583",0.176619878676526
