"","Variable","W_statistic","p_value","adjusted_p_value"
"1","FFAR4.high.Macrophages","691","0.118588402632757",0.170470828784588
"2","MSR1.C1QB.high.Macrophages","240","1.2725635034622e-05",7.31724014490765e-05
"3","Interferon.Responsive.Secretory.Cells","658","0.259961000169308",0.332172389105227
"4","AZGP1.SCGB3A1.LTF.high.Goblet.Cells","311","0.000930487937378248",0.00267515281996246
"5","Interferon.Responsive.Macrophages","508","0.46920209966944",0.513888013923672
"6","Deuterosomal.Cells","702.5","0.0899124684639381",0.137865784978038
"7","ITGAX.high.Macrophages","697.5","0.0884835635021073",0.137865784978038
"8","Interferon.Responsive.Cytotoxic.CD8.T.Cells","246.5","1.62720536949262e-05",7.48514469966605e-05
"9","Dendritic.Cells","268","0.000225109772180493",0.000739646394307334
"10","Early.Response.T.Cells","887.5","5.82437618084665e-05",0.000223267753599122
"11","B.Cells","719","0.0624991964135653",0.110575501347077
"12","Inflammatory.Macrophages","1000","3.70090750522288e-08",4.25604363100631e-07
"13","SPRR2D.high.Squamous.Cells","489.5","0.343622437181012",0.41596400290333
"14","CD8.T.Cells","753","0.0218462083246439",0.0456784355878918
"15","AZGP1.high.Goblet.Cells","600","0.688472578862431",0.688472578862431
"16","Developing.Secretory.and.Goblet.Cells","957","1.59756841643799e-06",1.22480245260246e-05
"17","SERPINB11.high.Secretory.Cells","739","0.0349437548076297",0.0669755300479569
"18","Developing.Ciliated.Cells","518.5","0.554040321208725",0.579223972172758
"19","Early.Response.Secretory.Cells","145","2.5191417481621e-08",4.25604363100631e-07
"20","Early.Response.FOXJ1.high.Ciliated.Cells","464","0.207560246450544",0.280816804021324
"21","BEST4.high.Cilia.high.Ciliated.Cells","500","0.416129595008519",0.478549034259797
"22","MUC5AC.high.Goblet.Cells","328","0.00294070960192596",0.00676363208442971
"23","FOXJ1.high.Ciliated.Cells","807","0.00281816991044994",0.00676363208442971
