"","ID","Gene.description","Gene.type","ENSGID","SYMBOL","KRvsHEALTHY_LFC","KRvsHEALTHY_P","KRvsHEALTHY_FDR","KRvsHEALTHY_sig0","KRvsHEALTHY_sig1","KRvsHEALTHY_sig2","NonKRvsHEALTHY_LFC","NonKRvsHEALTHY_P","NonKRvsHEALTHY_FDR","NonKRvsHEALTHY_sig0","NonKRvsHEALTHY_sig1","NonKRvsHEALTHY_sig2","KRvsNonKR_LFC","KRvsNonKR_P","KRvsNonKR_FDR","KRvsNonKR_sig0","KRvsNonKR_sig1","KRvsNonKR_sig2","KRvsHEALTHY_LFC_ABS","NonKRvsHEALTHY_LFC_ABS","KRvsNonKR_LFC_ABS"
"1","ENSG00000001626","CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]","protein_coding","ENSG00000001626","CFTR",-0.253365649996975,0.114137956109664,0.180993157567601,0,0,0,-1.04248703852237,1.58957559873333e-07,2.71594589682642e-05,-1,-1,0,0.789121388525395,5.93543221024294e-05,0.000687113754872247,1,0,0,0.253365649996975,1.04248703852237,0.789121388525395
"2","ENSG00000004848","aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]","protein_coding","ENSG00000004848","ARX",-1.37056386179745,1.00656392764689e-09,2.19856651436564e-08,-1,-1,0,-1.36934822631007,6.0176062494099e-08,1.52797052016266e-05,-1,-1,0,-0.00121563548737402,0.996168770028653,0.997412948250374,0,0,0,1.37056386179745,1.36934822631007,0.00121563548737402
"3","ENSG00000007968","E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]","protein_coding","ENSG00000007968","E2F2",1.56555476309627,3.22794734052265e-09,5.91909059974274e-08,1,1,0,1.3496244219514,2.46933596512644e-06,0.00015486929713359,1,1,0,0.215930341144875,0.39988254933654,0.538716537118796,0,0,0,1.56555476309627,1.3496244219514,0.215930341144875
"4","ENSG00000010030","ETS variant transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18160]","protein_coding","ENSG00000010030","ETV7",0.394802518112678,0.0196196382917789,0.0415146096354516,0,0,0,1.05498060417139,4.2377223492764e-08,1.28672972344078e-05,1,1,0,-0.660178086058715,0.00033999051426371,0.00263377397532591,-1,0,0,0.394802518112678,1.05498060417139,0.660178086058715
"5","ENSG00000010327","stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]","protein_coding","ENSG00000010327","STAB1",1.75752686983009,1.10840441005916e-12,6.63457259120548e-11,1,1,0,1.50050663641711,1.51642142057722e-08,7.05407325673794e-06,1,1,0,0.257020233412981,0.260980684466418,0.398118308933628,0,0,0,1.75752686983009,1.50050663641711,0.257020233412981
"6","ENSG00000010379","solute carrier family 6 member 13 [Source:HGNC Symbol;Acc:HGNC:11046]","protein_coding","ENSG00000010379","SLC6A13",-2.10473392540926,1.55287450524091e-10,4.26271046618834e-09,-1,-1,-1,-1.42140431912967,2.94524639067974e-05,0.000712235377174695,-1,-1,0,-0.683329606279588,0.0641282091683307,0.141721598067745,0,0,0,2.10473392540926,1.42140431912967,0.683329606279588
"7","ENSG00000010671","Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1133]","protein_coding","ENSG00000010671","BTK",1.6578598119951,1.49443139224549e-09,3.07497970883872e-08,1,1,0,1.03729361458439,0.000467137803485655,0.00449366657370415,1,1,0,0.620566197410706,0.0222702568452483,0.0633110619394439,0,0,0,1.6578598119951,1.03729361458439,0.620566197410706
"8","ENSG00000011426","anillin, actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]","protein_coding","ENSG00000011426","ANLN",2.09280568835337,1.25494467771305e-16,6.55511388512857e-14,1,1,1,1.48426142183913,1.52409962608658e-08,7.05407325673794e-06,1,1,0,0.608544266514245,0.00762830980805488,0.0282996671897036,1,0,0,2.09280568835337,1.48426142183913,0.608544266514245
"9","ENSG00000019505","synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]","protein_coding","ENSG00000019505","SYT13",-1.61739631426791,1.96723259805804e-06,1.48676917559724e-05,-1,-1,0,-2.00994062953978,8.7901610479797e-07,7.91018128267863e-05,-1,-1,-1,0.392544315271876,0.346199924531027,0.486957262571744,0,0,0,1.61739631426791,2.00994062953978,0.392544315271876
"10","ENSG00000026751","SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]","protein_coding","ENSG00000026751","SLAMF7",2.51950448140634,6.85379397061976e-13,4.49107746848998e-11,1,1,1,1.20826800381489,0.00119369007002253,0.00858809599645808,1,1,0,1.31123647759146,0.000109428595196914,0.00110194083028916,1,1,0,2.51950448140634,1.20826800381489,1.31123647759146
"11","ENSG00000035720","signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]","protein_coding","ENSG00000035720","STAP1",-0.901179839059459,0.000106099937074473,0.000468757624358511,-1,0,0,-1.07573947675095,6.47590102702441e-05,0.00120317502617947,-1,-1,0,0.17455963769149,0.524010611365384,0.651720262388649,0,0,0,0.901179839059459,1.07573947675095,0.17455963769149
