"","ID","two_clusters"
"ENSG00000288582","ENSG00000288582",1
"ENSG00000288563","ENSG00000288563",1
"ENSG00000288393","ENSG00000288393",1
"ENSG00000288235","ENSG00000288235",1
"ENSG00000288043","ENSG00000288043",1
"ENSG00000288011","ENSG00000288011",1
"ENSG00000288009","ENSG00000288009",1
"ENSG00000287988","ENSG00000287988",1
"ENSG00000287937","ENSG00000287937",1
"ENSG00000287926","ENSG00000287926",1
"ENSG00000287920","ENSG00000287920",1
"ENSG00000287913","ENSG00000287913",1
"ENSG00000287863","ENSG00000287863",1
"ENSG00000287789","ENSG00000287789",1
"ENSG00000287779","ENSG00000287779",1
"ENSG00000287771","ENSG00000287771",1
"ENSG00000287767","ENSG00000287767",1
"ENSG00000287736","ENSG00000287736",1
"ENSG00000287676","ENSG00000287676",1
"ENSG00000287656","ENSG00000287656",1
"ENSG00000287631","ENSG00000287631",1
"ENSG00000287630","ENSG00000287630",1
"ENSG00000287613","ENSG00000287613",1
"ENSG00000287537","ENSG00000287537",1
"ENSG00000287515","ENSG00000287515",1
"ENSG00000287458","ENSG00000287458",1
"ENSG00000287382","ENSG00000287382",1
"ENSG00000287355","ENSG00000287355",1
"ENSG00000287328","ENSG00000287328",1
"ENSG00000287255","ENSG00000287255",1
"ENSG00000287237","ENSG00000287237",1
"ENSG00000287216","ENSG00000287216",1
"ENSG00000287213","ENSG00000287213",1
"ENSG00000287201","ENSG00000287201",1
"ENSG00000287200","ENSG00000287200",1
"ENSG00000287109","ENSG00000287109",1
"ENSG00000287095","ENSG00000287095",1
"ENSG00000287037","ENSG00000287037",1
"ENSG00000286982","ENSG00000286982",1
"ENSG00000286813","ENSG00000286813",1
"ENSG00000286811","ENSG00000286811",1
"ENSG00000286771","ENSG00000286771",1
"ENSG00000286638","ENSG00000286638",1
"ENSG00000286618","ENSG00000286618",1
"ENSG00000286614","ENSG00000286614",1
"ENSG00000286587","ENSG00000286587",1
"ENSG00000286556","ENSG00000286556",1
"ENSG00000286536","ENSG00000286536",1
"ENSG00000286533","ENSG00000286533",1
"ENSG00000286520","ENSG00000286520",1
"ENSG00000286507","ENSG00000286507",1
"ENSG00000286365","ENSG00000286365",1
"ENSG00000286357","ENSG00000286357",1
"ENSG00000286288","ENSG00000286288",1
"ENSG00000286281","ENSG00000286281",1
"ENSG00000286256","ENSG00000286256",1
"ENSG00000286255","ENSG00000286255",1
"ENSG00000286236","ENSG00000286236",1
"ENSG00000286226","ENSG00000286226",1
"ENSG00000286076","ENSG00000286076",1
"ENSG00000286044","ENSG00000286044",1
