ID,SYMBOL,ICUvsNON_LFC,ICUvsNON_FDR
ENSG00000077984,CST7,4.975616665,0.00020696
ENSG00000091106,NLRC4,4.36823839,0.00020696
ENSG00000101916,TLR8,5.195948466,0.00020696
ENSG00000115604,IL18R1,4.06119516,0.00020696
ENSG00000125810,CD93,5.16055623,0.00020696
ENSG00000126251,GPR42,6.555544322,0.00020696
ENSG00000126860,EVI2A,3.497716153,0.00020696
ENSG00000154589,LY96,2.924099185,0.00020696
ENSG00000155307,SAMSN1,5.802147022,0.00020696
ENSG00000163563,MNDA,5.18628216,0.00020696
ENSG00000166527,CLEC4D,5.280482597,0.00020696
ENSG00000169554,ZEB2,4.626803117,0.00020696
ENSG00000169896,ITGAM,5.635607211,0.00020696
ENSG00000170439,METTL7B,5.314312726,0.00020696
ENSG00000170909,OSCAR,4.279537626,0.00020696
ENSG00000171860,C3AR1,3.946799426,0.00020696
ENSG00000179388,EGR3,5.107679772,0.00020696
ENSG00000203710,CR1,6.886134315,0.00020696
ENSG00000204936,CD177,6.834551405,0.00020696
ENSG00000244158,RP1-93H18.6,5.806563778,0.00020696
ENSG00000254415,SIGLEC14,5.760401117,0.00020696
ENSG00000272379,RP1-257A7.5,3.959749394,0.00020696
ENSG00000043462,LCP2,4.994795313,0.000228938
ENSG00000073756,PTGS2,4.494137298,0.000228938
ENSG00000076641,PAG1,4.005289157,0.000228938
ENSG00000081237,PTPRC,4.780196617,0.000228938
ENSG00000113070,HBEGF,4.67424332,0.000228938
ENSG00000115828,QPCT,3.775073387,0.000228938
ENSG00000117115,PADI2,4.516950007,0.000228938
ENSG00000137575,SDCBP,2.41726538,0.000228938
ENSG00000143119,CD53,4.659052274,0.000228938
ENSG00000155629,PIK3AP1,3.009454433,0.000228938
ENSG00000158825,CDA,5.301652783,0.000228938
ENSG00000160883,HK3,6.356807697,0.000228938
ENSG00000163297,ANTXR2,3.115025179,0.000228938
ENSG00000184611,KCNH7,5.354030136,0.000228938
ENSG00000189068,VSTM1,6.758864398,0.000228938
ENSG00000229672,RP11-184A2.3,7.252704144,0.000228938
ENSG00000250138,RP11-848G14.5,5.516042741,0.000228938
ENSG00000115165,CYTIP,4.556358721,0.00023534
ENSG00000188404,SELL,5.413788419,0.000239078
ENSG00000251230,MIR3945HG,4.952838142,0.00024622
ENSG00000159496,RGL4,5.341903806,0.000246339
ENSG00000087253,LPCAT2,2.418852618,0.000255518
ENSG00000151702,FLI1,2.861643334,0.000255518
ENSG00000239998,LILRA2,5.7020778,0.000255518
ENSG00000261026,CTD-3247F14.2,5.614974216,0.000255518
ENSG00000160255,ITGB2,4.593920004,0.000266579
ENSG00000168421,RHOH,4.533870001,0.000266579
ENSG00000173262,SLC2A14,6.464336407,0.000266579
ENSG00000174837,ADGRE1,5.84787568,0.000266579
ENSG00000240023,RP11-561B11.1,7.282011746,0.000266579
ENSG00000012779,ALOX5,4.316829701,0.000269838
ENSG00000059728,MXD1,4.11621932,0.000269838
ENSG00000068976,PYGM,4.490695286,0.000269838
ENSG00000077420,APBB1IP,4.335793425,0.000269838
ENSG00000109321,AREG,3.496937511,0.000269838
ENSG00000130830,MPP1,3.920883242,0.000269838
ENSG00000135636,DYSF,6.345821736,0.000269838
ENSG00000136040,PLXNC1,2.972688777,0.000269838
ENSG00000142319,SLC6A3,6.794551996,0.000269838
ENSG00000156414,TDRD9,5.842634567,0.000269838
ENSG00000164691,TAGAP,4.743257968,0.000269838
ENSG00000166523,CLEC4E,5.246642293,0.000269838
ENSG00000175857,GAPT,3.292386271,0.000269838
ENSG00000183696,UPP1,3.61767185,0.000269838
ENSG00000258227,CLEC5A,5.231925613,0.000269838
ENSG00000166128,RAB8B,2.5498313,0.000284475
ENSG00000213373,LINC00671,5.398550077,0.000284724
ENSG00000104804,TULP2,5.730842347,0.000291461
ENSG00000122862,SRGN,5.546630129,0.000291461
ENSG00000173559,NABP1,3.025470775,0.000291461
ENSG00000112303,VNN2,3.835733297,0.000291898
ENSG00000147416,ATP6V1B2,2.868393126,0.000291898
ENSG00000158869,FCER1G,4.785789129,0.000291898
ENSG00000082074,FYB,3.463648092,0.00030051
ENSG00000101265,RASSF2,4.186484016,0.00030226
ENSG00000100365,NCF4,4.665635418,0.000311146
ENSG00000186469,GNG2,4.532037434,0.000315448
ENSG00000171777,RASGRP4,6.304936748,0.000322788
ENSG00000150681,RGS18,4.412064207,0.000324947
ENSG00000086730,LAT2,4.01768072,0.000325484
ENSG00000173110,HSPA6,5.196815469,0.000325484
ENSG00000018280,SLC11A1,5.529294334,0.000329229
ENSG00000028137,TNFRSF1B,5.265164948,0.000329229
ENSG00000168404,MLKL,2.830702491,0.000329229
ENSG00000171049,FPR2,6.550957491,0.000329229
ENSG00000185897,FFAR3,7.25332035,0.000329229
ENSG00000196209,SIRPB2,4.675214479,0.000329229
ENSG00000259770,RP11-81A1.3,6.409715071,0.000329229
ENSG00000231964,RP11-67C2.2,5.599657376,0.000340698
ENSG00000146094,DOK3,5.025175611,0.000344616
ENSG00000105352,CEACAM4,4.226974135,0.000347676
ENSG00000108688,CCL7,5.450761911,0.000347676
ENSG00000110395,CBL,2.273436774,0.000347676
ENSG00000112242,E2F3,2.598862591,0.000347676
ENSG00000123329,ARHGAP9,4.230244564,0.000347676
ENSG00000123405,NFE2,5.316520048,0.000347676
ENSG00000130755,GMFG,3.96449211,0.000347676
ENSG00000132334,PTPRE,4.138610063,0.000347676
ENSG00000140090,SLC24A4,4.790228345,0.000347676
ENSG00000140749,IGSF6,3.357897785,0.000347676
ENSG00000148841,ITPRIP,3.790009646,0.000347676
