"","ID","Gene.description","Gene.type","ENSGID","SYMBOL","KRvsHEALTHY_LFC","KRvsHEALTHY_P","KRvsHEALTHY_FDR","KRvsHEALTHY_sig0","KRvsHEALTHY_sig1","KRvsHEALTHY_sig2","NonKRvsHEALTHY_LFC","NonKRvsHEALTHY_P","NonKRvsHEALTHY_FDR","NonKRvsHEALTHY_sig0","NonKRvsHEALTHY_sig1","NonKRvsHEALTHY_sig2","KRvsNonKR_LFC","KRvsNonKR_P","KRvsNonKR_FDR","KRvsNonKR_sig0","KRvsNonKR_sig1","KRvsNonKR_sig2","KRvsHEALTHY_LFC_ABS","NonKRvsHEALTHY_LFC_ABS","KRvsNonKR_LFC_ABS"
"1","ENSG00000000003","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]","protein_coding","ENSG00000000003","TSPAN6",-1.22538615693591,1.61769393767598e-09,3.29706583819313e-08,-1,-1,0,-0.977229254076653,7.99553249687078e-06,0.000317425244533749,-1,0,0,-0.248156902859256,0.252052072798927,0.38828868716326,0,0,0,1.22538615693591,0.977229254076653,0.248156902859256
"2","ENSG00000000938","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]","protein_coding","ENSG00000000938","FGR",3.27383606905253,8.07078895718199e-14,7.85658713103453e-12,1,1,1,0.678661046775287,0.155867510474972,0.285356481724758,0,0,0,2.59517502227724,1.53889953596113e-08,1.63096587341689e-06,1,1,1,3.27383606905253,0.678661046775287,2.59517502227724
"3","ENSG00000002726","amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]","protein_coding","ENSG00000002726","AOC1",-1.06036551904919,0.000346431750387816,0.00130797503257019,-1,-1,0,-0.538799735267742,0.0919962442207008,0.194762936349123,0,0,0,-0.521565783781451,0.124779647844,0.231885229378137,0,0,0,1.06036551904919,0.538799735267742,0.521565783781451
"4","ENSG00000002745","Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]","protein_coding","ENSG00000002745","WNT16",1.92027061667728,7.08012419675344e-12,3.12654180108808e-10,1,1,0,0.450391449112386,0.142011095074865,0.266609862411037,0,0,0,1.4698791675649,9.51288103618813e-07,3.15634285124485e-05,1,1,0,1.92027061667728,0.450391449112386,1.4698791675649
"5","ENSG00000003989","solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]","protein_coding","ENSG00000003989","SLC7A2",-1.41453572357024,3.68452614399973e-12,1.79150284480328e-10,-1,-1,0,-0.953459513929081,5.90759115164369e-06,0.000262250299498036,-1,0,0,-0.461076209641157,0.0284032415145144,0.0760665145196443,0,0,0,1.41453572357024,0.953459513929081,0.461076209641157
"6","ENSG00000004399","plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]","protein_coding","ENSG00000004399","PLXND1",1.06773930333479,4.22834555606873e-09,7.43651885099072e-08,1,1,0,0.513701191612967,0.0082620867183213,0.0336221412096494,0,0,0,0.554038111721827,0.00380220361283502,0.0166316273357698,0,0,0,1.06773930333479,0.513701191612967,0.554038111721827
"7","ENSG00000004848","aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]","protein_coding","ENSG00000004848","ARX",-1.37056386179745,1.00656392764689e-09,2.19856651436564e-08,-1,-1,0,-1.36934822631007,6.0176062494099e-08,1.52797052016266e-05,-1,-1,0,-0.00121563548737402,0.996168770028653,0.997412948250374,0,0,0,1.37056386179745,1.36934822631007,0.00121563548737402
"8","ENSG00000004939","solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]","protein_coding","ENSG00000004939","SLC4A1",2.31104464999198,2.70830776803319e-06,1.95688004561287e-05,1,1,1,1.02955165119403,0.0667054388104248,0.154027007556954,0,0,0,1.28149299879795,0.0130670252787636,0.0423791655395344,1,1,0,2.31104464999198,1.02955165119403,1.28149299879795
"9","ENSG00000005020","src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]","protein_coding","ENSG00000005020","SKAP2",1.92815942292098,4.57533362879592e-12,2.16419791466098e-10,1,1,0,0.204829669775557,0.487668731964436,0.63350966728064,0,0,0,1.72332975314542,1.74192155212291e-08,1.75943700640392e-06,1,1,0,1.92815942292098,0.204829669775557,1.72332975314542
"10","ENSG00000005102","mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]","protein_coding","ENSG00000005102","MEOX1",1.06756763759351,9.14678475860079e-06,5.6105190054266e-05,1,1,0,0.828052200037587,0.00191428942309249,0.0119213788213806,1,0,0,0.239515437555918,0.344367809748118,0.485238914626004,0,0,0,1.06756763759351,0.828052200037587,0.239515437555918
"11","ENSG00000005381","myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]","protein_coding","ENSG00000005381","MPO",1.98977132462946,1.90160105472956e-08,2.6939225480485e-07,1,1,0,0.118357642932127,0.774976566982197,0.858569904103247,0,0,0,1.87141368169734,3.89962213780149e-06,8.95639345769935e-05,1,1,0,1.98977132462946,0.118357642932127,1.87141368169734
"12","ENSG00000006128","tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]","protein_coding","ENSG00000006128","TAC1",-1.32144777142642,0.000407582550000446,0.00150579451937115,-1,-1,0,-0.936447559430894,0.0227523001941227,0.0700737116153893,0,0,0,-0.385000211995521,0.382355372821563,0.522223370507177,0,0,0,1.32144777142642,0.936447559430894,0.385000211995521
"13","ENSG00000006611","USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]","protein_coding","ENSG00000006611","USH1C",-2.17589460976896,1.9337202122245e-17,2.02012988113648e-14,-1,-1,-1,-0.26757942653687,0.20738286250339,0.349370944737097,0,0,0,-1.90831518323209,1.94992359059847e-12,1.12571130819216e-08,-1,-1,0,2.17589460976896,0.26757942653687,1.90831518323209
