GeneID	geneSymbol	gene	seqnames	start	end	width	strand	L	area	beta	stat	pval	qval	index.start	index.end	index.width	direction	difference	ICU11	ICU12	ICU20	ICU26	NON05	NON12	NON22	NON23	NON25	NON27	NON28
ENSG00000005206	SPPL2B	signal peptide peptidase like 2B	chr19	2291488	2291654	167	*	27	13.00346229	-1.489222216	-10.78570164	0.000387826	0.048665148	1202948	1202974	27	Hypomethylated	-47	0.782775322	0.518123163	0.70109102	0.774475398	0.16959989	0.116140653	0.229351662	0.31530071	0.307539821	0.447859264	0.09647695
ENSG00000007168	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	chr17	2563173	2563777	605	*	7	4.304013765	-1.681731486	-9.793281956	0.000653181	0.048665148	1076743	1076749	7	Hypomethylated	-54	0.921860803	0.929286524	0.91460528	0.835610737	0.345507938	0.379837782	0.493091107	0.404669435	0.474737739	0.383476684	0.129449229
ENSG00000007545	CRAMP1	cramped chromatin regulator homolog 1	chr16	1680112	1680327	216	*	8	3.949886787	-1.476043955	-8.175989031	0.001265539	0.049321012	1007725	1007732	8	Hypomethylated	-47	0.169810199	0.364638197	0.753149132	0.438737689	0.207036249	0.562693697	0.538765082	0.53652337	0.424152798	0.436613951	0.305039858
ENSG00000008283	CYB561	cytochrome b561	chr17	63432297	63433189	893	*	6	3.13389378	-1.710337104	-8.560751088	0.001020596	0.048665148	1129080	1129085	6	Hypomethylated	-54	0.555101133	0.562868006	0.512535273	0.584155763	0.279171537	0.312624658	0.441981111	0.362437759	0.489483418	0.366405067	0.163006852
ENSG00000008441	NFIX	nuclear factor I X	chr19	13025317	13025550	234	*	11	7.391590567	-1.899295468	-11.98035511	0.000204119	0.048665148	1228867	1228877	11	Hypomethylated	-60	0.832753028	0.853495502	0.769863902	0.821222083	0.076268292	0.396784672	0.153925011	0.185441282	0.207427262	0.342158997	0.029196587
ENSG00000008441.1	NFIX.1	nuclear factor I X	chr19	13036376	13036566	191	*	7	4.446409461	-1.637892047	-8.007092389	0.001347186	0.049535451	1228880	1228886	7	Hypomethylated	-52	0.895032806	0.897972598	0.639105982	0.857171988	0.112492328	0.469356417	0.287295188	0.372922722	0.296900913	0.343214293	0.129796713
ENSG00000011028	MRC2	mannose receptor C type 2	chr17	62670020	62670403	384	*	16	9.151133348	-1.269657264	-8.721050164	0.001000184	0.048665148	1128734	1128749	16	Hypomethylated	-40	0.792628131	0.864037487	0.705099802	0.864112546	0.166475104	0.377275441	0.291879819	0.355845911	0.398595716	0.470470788	0.188529466
ENSG00000011304	PTBP1	polypyrimidine tract binding protein 1	chr19	802931	803021	91	*	11	7.296274076	-1.948226023	-10.03359159	0.000612357	0.048665148	1192099	1192109	11	Hypomethylated	-62	0.961869414	0.870655656	0.965018345	0.938704622	0.230239421	0.372815353	0.596920467	0.460358967	0.361779753	0.646192022	0.328702089
ENSG00000012779	ALOX5	arachidonate 5-lipoxygenase	chr10	45426514	45427824	1311	*	21	9.828582695	-1.307626483	-8.263302093	0.001204303	0.049321012	694873	694893	21	Hypomethylated	-42	0.952508282	0.887230095	0.901828184	0.803551108	0.429022006	0.437681	0.439627154	0.422327933	0.454073229	0.799236702	0.374847228
ENSG00000019144	PHLDB1	pleckstrin homology like domain family B member 1	chr11	118635077	118635491	415	*	17	8.638305882	-1.252178211	-10.30936273	0.000510298	0.048665148	803136	803152	17	Hypomethylated	-40	0.859272351	0.763246239	0.866125576	0.738368595	0.211116793	0.526518851	0.507488722	0.352881169	0.354072872	0.538495167	0.095708411
