_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.5,M8280,M1,1,0,Transcription Factor Targets,16,NFAT Q4 01,,-6.5,4.8,7,30337,267,380,16,4.2,1,639|2672|3200|3339|3985|5998|8553|9536|11187|23327|26053|50619|51477|55182|55684|374655,PRDM1|GFI1|HOXA3|HSPG2|LIMK2|RGS3|BHLHE40|PTGES|PKP3|NEDD4L|AUTS2|DEF6|ISYNA1|RNF220|RABL6|ZNF710,-3.1,0
1,-6.5,M30159,M1,1,0,Transcription Factor Targets,16,SIX1 TARGET GENES,,-6.5,4,6.7,30337,376,380,19,5,1.1,218|1298|1305|1999|2052|2817|5581|5725|8519|10801|23136|50619|51422|55620|56937|64359|153090|285095|100130449,ALDH3A1|COL9A2|COL13A1|ELF3|EPHX1|GPC1|PRKCE|PTBP1|IFITM1|SEPTIN9|EPB41L3|DEF6|PRKAG2|STAP2|PMEPA1|NXN|DAB2IP|FAM240C|GPC1-AS1,-3.1,0
1,-5.9,M7691,M1,1,0,Transcription Factor Targets,16,CATTGTYY SOX9 B1,,-5.9,3.9,6.3,30337,368,380,18,4.7,1.1,639|3200|3339|4155|4330|5595|7171|7465|10801|26468|64359|65244|83879|89796|90427|146664|153090|374655,PRDM1|HOXA3|HSPG2|MBP|MN1|MAPK3|TPM4|WEE1|SEPTIN9|LHX6|NXN|SPATS2|CDCA7|NAV1|BMF|MGAT5B|DAB2IP|ZNF710,-2.7,0
1,-5.8,M30316,M1,1,0,Transcription Factor Targets,16,ZNF410 TARGET GENES,,-5.8,3.1,5.9,30337,623,380,24,6.3,1.2,2548|4784|5209|5581|5725|6533|6595|6886|7171|8224|8519|9612|9828|10043|10815|22904|26147|55182|57597|80790|90427|219654|221472|399693,GAA|NFIX|PFKFB3|PRKCE|PTBP1|SLC6A6|SMARCA2|TAL1|TPM4|SYN3|IFITM1|NCOR2|ARHGEF17|TOM1|CPLX1|SBNO2|PHF19|RNF220|BAHCC1|CMIP|BMF|ZCCHC24|FGD2|CCDC187,-2.7,0
1,-5.7,M30025,M1,1,0,Transcription Factor Targets,16,IGLV5 37 TARGET GENES,,-5.7,3,5.8,30337,636,380,24,6.3,1.2,1298|1305|1534|3955|4330|4772|5133|5581|5909|7161|9620|10815|23654|26102|26468|54729|57597|79026|83481|83879|85452|116988|153090|399693,COL9A2|COL13A1|CYB561|LFNG|MN1|NFATC1|PDCD1|PRKCE|RAP1GAP|TP73|CELSR1|CPLX1|PLXNB2|DKFZP434A062|LHX6|NKX1-1|BAHCC1|AHNAK|EPPK1|CDCA7|CFAP74|AGAP3|DAB2IP|CCDC187,-2.6,0
1,-5.5,M30246,M1,1,0,Transcription Factor Targets,16,ZFP3 TARGET GENES,,-5.5,3.8,6,30337,355,380,17,4.5,1.1,1305|1523|2049|2314|3090|5771|5802|6452|7171|9745|23526|51477|57224|80790|81873|116988|201191,COL13A1|CUX1|EPHB3|FLII|HIC1|PTPN2|PTPRS|SH3BP2|TPM4|ZNF536|ARHGAP45|ISYNA1|NHSL1|CMIP|ARPC5L|AGAP3|SAMD14,-2.5,0
1,-5.2,M30115,M1,1,0,Transcription Factor Targets,16,PCGF1 TARGET GENES,,-5.2,3.1,5.5,30337,546,380,21,5.5,1.2,1487|1759|2052|2548|4772|5909|6886|8553|9314|10458|23353|26147|51422|51477|54897|55620|57584|57585|57666|79026|84875,CTBP1|DNM1|EPHX1|GAA|NFATC1|RAP1GAP|TAL1|BHLHE40|KLF4|BAIAP2|SUN1|PHF19|PRKAG2|ISYNA1|CASZ1|STAP2|ARHGAP21|CRAMP1|FBRSL1|AHNAK|PARP10,-2.2,0
1,-4.6,M10112,M1,1,0,Transcription Factor Targets,16,RNGTGGGC UNKNOWN,,-4.6,2.5,4.9,30337,784,380,25,6.6,1.3,886|1003|1788|1952|2034|2049|2672|3142|3559|4035|4053|5209|5493|6586|7071|9828|10636|23136|25862|55684|56262|79026|81873|92922|150209,CCKAR|CDH5|DNMT3A|CELSR2|EPAS1|EPHB3|GFI1|HLX|IL2RA|LRP1|LTBP2|PFKFB3|PPL|SLIT3|KLF10|ARHGEF17|RGS14|EPB41L3|USP49|RABL6|LRRC8A|AHNAK|ARPC5L|CCDC102A|AIFM3,-1.8,0
1,-4.4,M5667,M1,1,0,Transcription Factor Targets,16,EGR2 01,,-4.4,4.4,5.5,30337,198,380,11,2.9,0.86,2049|3200|3216|5581|9314|9536|9902|23174|29933|79026|130497,EPHB3|HOXA3|HOXB6|PRKCE|KLF4|PTGES|MRC2|ZCCHC14|GPR132|AHNAK|OSR1,-1.6,0
1,-4.3,M217,M1,1,0,Transcription Factor Targets,16,VDR Q6,,-4.3,3.8,5.2,30337,276,380,13,3.4,0.93,575|1788|3202|3216|7022|9314|11187|22859|25862|55684|58504|84628|374655,ADGRB1|DNMT3A|HOXA5|HOXB6|TFAP2C|KLF4|PKP3|ADGRL1|USP49|RABL6|ARHGAP22|NTNG2|ZNF710,-1.6,0
1,-4.1,M30042,M1,1,0,Transcription Factor Targets,16,KMT2D TARGET GENES,,-4.1,2.4,4.5,30337,795,380,24,6.3,1.2,1312|2817|3955|4298|5581|7434|10458|10801|11078|22904|23187|23353|23654|26147|54090|54961|57153|64359|80305|89796|284186|342977|399474|100128126,COMT|GPC1|LFNG|MLLT1|PRKCE|VIPR2|BAIAP2|SEPTIN9|TRIOBP|SBNO2|PHLDB1|SUN1|PLXNB2|PHF19|LINC00111|SSH3|SLC44A2|NXN|TRABD|NAV1|TMEM105|NANOS3|TMEM200B|STAU2-AS1,-1.5,0
1,-4,M30363,M1,1,0,Transcription Factor Targets,16,ZNF596 TARGET GENES,,-4,2.6,4.5,30337,656,380,21,5.5,1.2,3216|4774|4782|4784|5048|5581|7078|7171|8224|9228|9922|23499|26053|65250|85379|94086|148641|157697|201191|374655|100874362,HOXB6|NFIA|NFIC|NFIX|PAFAH1B1|PRKCE|TIMP3|TPM4|SYN3|DLGAP2|IQSEC1|MACF1|AUTS2|CPLANE1|KIAA1671|HSPB9|SLC35F3|ERICH1|SAMD14|ZNF710|HOXB-AS1,-1.4,0
1,-3.9,M17000,M1,1,0,Transcription Factor Targets,16,CP2 01,,-3.9,3.7,4.9,30337,260,380,12,3.2,0.9,4062|5595|5998|6595|6649|8642|23526|65244|84069|90427|153090|374655,LY6H|MAPK3|RGS3|SMARCA2|SOD3|DCHS1|ARHGAP45|SPATS2|PLEKHN1|BMF|DAB2IP|ZNF710,-1.3,0
1,-3.9,M17024,M1,1,0,Transcription Factor Targets,16,ETF Q6,,-3.9,5.4,5.4,30337,119,380,8,2.1,0.74,1952|4774|5909|22883|23352|55182|63976|219699,CELSR2|NFIA|RAP1GAP|CLSTN1|UBR4|RNF220|PRDM16|UNC5B,-1.3,0
1,-3.8,M1460,M1,1,0,Transcription Factor Targets,16,TGGNNNNNNKCCAR UNKNOWN,,-3.8,2.9,4.6,30337,436,380,16,4.2,1,1003|1788|2779|3200|3216|4772|4774|5595|6382|8553|10160|51477|54453|84628|153090|164045,CDH5|DNMT3A|GNAT1|HOXA3|HOXB6|NFATC1|NFIA|MAPK3|SDC1|BHLHE40|FARP1|ISYNA1|RIN2|NTNG2|DAB2IP|HFM1,-1.3,0
1,-3.8,M15349,M1,1,0,Transcription Factor Targets,16,DBP Q6,,-3.8,3.6,4.8,30337,265,380,12,3.2,0.9,2672|3200|4330|4774|4784|6595|8642|22997|23369|26053|79778|153090,GFI1|HOXA3|MN1|NFIA|NFIX|SMARCA2|DCHS1|IGSF9B|PUM2|AUTS2|MICALL2|DAB2IP,-1.3,0
1,-3.8,M9376,M1,1,0,Transcription Factor Targets,16,AP1 Q2,,-3.8,3.6,4.8,30337,265,380,12,3.2,0.9,639|1759|1969|3200|5595|6595|8642|10160|10458|51252|79990|256364,PRDM1|DNM1|EPHA2|HOXA3|MAPK3|SMARCA2|DCHS1|FARP1|BAIAP2|FAM178B|PLEKHH3|EML3,-1.3,0
1,-3.8,M572,M1,1,0,Transcription Factor Targets,16,TGCCAAR NF1 Q6,,-3.8,2.4,4.4,30337,727,380,22,5.8,1.2,105|379|3142|3559|4053|4773|4774|4784|6586|6595|7078|7799|9922|10804|23369|54453|56262|116986|119587|130497|202333|389558,ADARB2|ARL4D|HLX|IL2RA|LTBP2|NFATC2|NFIA|NFIX|SLIT3|SMARCA2|TIMP3|PRDM2|IQSEC1|GJB6|PUM2|RIN2|LRRC8A|AGAP2|CPXM2|OSR1|CMYA5|FAM180A,-1.3,0
1,-3.8,M9769,M1,1,0,Transcription Factor Targets,16,CTGCAGY UNKNOWN,,-3.8,2.4,4.3,30337,779,380,23,6.1,1.2,1759|1788|3200|3216|3985|4062|4784|5048|5909|7071|8553|10044|10160|23136|23369|26960|50619|55684|56262|114781|149134|164045|168002,DNM1|DNMT3A|HOXA3|HOXB6|LIMK2|LY6H|NFIX|PAFAH1B1|RAP1GAP|KLF10|BHLHE40|SH2D3C|FARP1|EPB41L3|PUM2|NBEA|DEF6|RABL6|LRRC8A|BTBD9|LINC01341|HFM1|DACT2,-1.3,0
1,-3.8,M16919,M1,1,0,Transcription Factor Targets,16,AP1FJ Q2,,-3.8,3.5,4.7,30337,271,380,12,3.2,0.9,639|1759|1969|5048|5595|6595|8642|10160|51252|79990|202333|256364,PRDM1|DNM1|EPHA2|PAFAH1B1|MAPK3|SMARCA2|DCHS1|FARP1|FAM178B|PLEKHH3|CMYA5|EML3,-1.2,0
