chr,start,end,n,width
chr1,10497,10579,7,82
chr1,181541,181673,18,132
chr1,777996,779703,18,1707
chr1,827289,828434,21,1145
chr1,869379,870087,17,708
chr1,873755,873798,5,43
chr1,898426,899119,11,693
chr1,902698,902915,8,217
chr1,904017,905473,56,1456
chr1,906716,907934,13,1218
chr1,909867,910919,62,1052
chr1,912159,916535,21,4376
chr1,920881,921313,16,432
chr1,923599,925980,170,2381
chr1,927931,930199,26,2268
chr1,935045,937235,38,2190
chr1,939258,944041,147,4783
chr1,945917,946264,7,347
chr1,948038,948110,5,72
chr1,950928,951255,13,327
chr1,953534,953586,6,52
chr1,958377,961903,157,3526
chr1,963425,964085,14,660
chr1,966183,968163,63,1980
chr1,970960,976729,63,5769
chr1,978008,979556,43,1548
chr1,983708,985171,22,1463
chr1,995667,995883,11,216
chr1,997181,1001966,251,4785
chr1,1003983,1004869,6,886
chr1,1007823,1008920,11,1097
chr1,1011596,1011638,5,42
chr1,1012748,1013477,14,729
chr1,1015331,1015851,13,520
chr1,1017414,1021529,118,4115
chr1,1024126,1025886,18,1760
chr1,1032608,1034586,87,1978
chr1,1040086,1042003,52,1917
chr1,1043953,1045299,23,1346
chr1,1046956,1049880,56,2924
chr1,1050890,1052122,27,1232
chr1,1055276,1055362,6,86
chr1,1056539,1057293,11,754
chr1,1059124,1064819,125,5695
chr1,1066131,1067374,11,1243
chr1,1068471,1072814,93,4343
chr1,1073878,1074240,8,362
chr1,1081367,1086374,88,5007
chr1,1088231,1089010,11,779
chr1,1110665,1110739,6,74
chr1,1112026,1112213,9,187
chr1,1113801,1113838,5,37
chr1,1115171,1117284,101,2113
chr1,1118815,1119129,9,314
chr1,1122325,1123278,14,953
chr1,1125112,1126129,11,1017
chr1,1127677,1129156,23,1479
chr1,1130514,1130993,12,479
chr1,1132590,1133397,21,807
chr1,1135115,1138297,49,3182
chr1,1140941,1141825,11,884
chr1,1142993,1143105,6,112
chr1,1144159,1145183,37,1024
chr1,1147675,1148772,11,1097
chr1,1150880,1151547,10,667
chr1,1156251,1158768,25,2517
chr1,1160998,1171999,181,11001
chr1,1173476,1176838,43,3362
chr1,1179978,1180585,9,607
chr1,1182093,1183327,29,1234
chr1,1197470,1197759,14,289
chr1,1200470,1201733,44,1263
chr1,1203472,1207301,45,3829
chr1,1208330,1210234,26,1904
chr1,1211333,1211722,11,389
chr1,1212863,1214052,22,1189
chr1,1217039,1217400,12,361
chr1,1219945,1220976,16,1031
chr1,1223948,1224382,9,434
chr1,1225607,1225674,5,67
chr1,1228883,1229643,12,760
chr1,1231691,1235308,83,3617
chr1,1237708,1244436,97,6728
chr1,1245587,1247753,68,2166
chr1,1251229,1251514,7,285
chr1,1252594,1255346,34,2752
chr1,1265730,1268965,20,3235
chr1,1272078,1274349,79,2271
chr1,1279246,1279495,7,249
chr1,1280935,1282021,10,1086
chr1,1286619,1287583,20,964
chr1,1290373,1292395,29,2022
chr1,1294091,1296435,22,2344
chr1,1302341,1303392,18,1051
chr1,1304696,1305900,14,1204
chr1,1307467,1309994,164,2527
chr1,1312741,1312860,5,119
chr1,1316510,1316753,7,243
chr1,1318590,1319084,7,494
chr1,1323152,1323235,6,83
chr1,1324403,1325973,51,1570
chr1,1327420,1328125,21,705
chr1,1330861,1332060,11,1199
chr1,1333271,1333605,18,334
chr1,1334757,1338107,38,3350
chr1,1344362,1345625,13,1263
chr1,1347448,1349947,131,2499
chr1,1351451,1352296,18,845
chr1,1353526,1355680,54,2154
chr1,1357204,1358825,13,1621
chr1,1360096,1360185,7,89
chr1,1362052,1362427,8,375
chr1,1370208,1370278,5,70
chr1,1371963,1372174,6,211
chr1,1373397,1377057,92,3660
chr1,1378238,1379238,15,1000
chr1,1385448,1387529,31,2081
chr1,1396740,1396841,5,101
chr1,1398527,1400093,71,1566
chr1,1406183,1409170,98,2987
chr1,1410790,1411902,7,1112
chr1,1419823,1420530,38,707
chr1,1422503,1423906,13,1403
chr1,1425815,1428430,69,2615
chr1,1430491,1431749,17,1258
chr1,1433145,1433778,12,633
chr1,1435477,1437057,49,1580
chr1,1439273,1441671,41,2398
chr1,1447595,1453034,27,5439
chr1,1455073,1455903,22,830
chr1,1460039,1460745,15,706
chr1,1462090,1462968,8,878
chr1,1464978,1465447,9,469
chr1,1471335,1472983,55,1648
chr1,1474411,1475334,8,923
chr1,1476669,1478686,15,2017
chr1,1483083,1484012,5,929
chr1,1485435,1486214,18,779
chr1,1487412,1488587,6,1175
chr1,1489870,1491732,13,1862
chr1,1499821,1500408,18,587
chr1,1503854,1504176,11,322
chr1,1510621,1512578,54,1957
chr1,1516836,1517088,7,252
chr1,1520206,1522132,24,1926
chr1,1523163,1523943,15,780
chr1,1527278,1529545,20,2267
chr1,1530753,1531399,7,646
chr1,1535241,1536679,31,1438
chr1,1539808,1541432,60,1624
chr1,1546475,1546812,9,337
chr1,1547822,1548932,15,1110
chr1,1552041,1552457,7,416
chr1,1554185,1555271,20,1086
chr1,1567346,1567431,6,85
chr1,1571895,1575366,83,3471
chr1,1583882,1584636,7,754
chr1,1586532,1587483,13,951
chr1,1597222,1600866,99,3644
chr1,1613875,1616584,134,2709
chr1,1621795,1621988,8,193
chr1,1623346,1623734,13,388
chr1,1626971,1627172,10,201
chr1,1628394,1632472,157,4078
chr1,1640431,1641365,13,934
chr1,1644917,1645017,6,100
chr1,1649556,1650735,17,1179
chr1,1658982,1659217,17,235
chr1,1660443,1660780,11,337
chr1,1669626,1669708,9,82
chr1,1673065,1673879,5,814
